ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35143930,B,Hookeriaceae,,Pterygophyllum,,"acuminatum",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35143930,,"Index Bryol.","1051","1051","1898",
tro-35143931,B,Hookeriaceae,,Pterygophyllum,,"acutifolium",,"","(Hook. & Grev.) Müll. Hal.",Accepted,,M,TRO,35143931,,"Linnaea","21: 194","194","1841",
tro-35143933,B,Hookeriaceae,,Pterygophyllum,,"albicans",,"","(Hedw.) Brid.",Accepted,,M,TRO,35143933,,"Muscol. Recent. Suppl.","4: 150","150","1819",
tro-35143934,B,Hookeriaceae,,Pterygophyllum,,"anomalum",,"","(Schwägr.) Mitt.",Accepted,,M,TRO,35143934,,"J. Linn. Soc., Bot.","12: 397","397","1869",
tro-35143936,B,Hookeriaceae,,Pterygophyllum,,"apiculatum",,"","(Hook. f. & Wilson) A. Jaeger",Accepted,,M,TRO,35143936,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 342 (Gen. Sp. Musc. 2: 246)","342 ","1877",
tro-35143937,B,Hookeriaceae,,Pterygophyllum,,"arcuatum",,"","(Hedw.) Brid.",Accepted,,M,TRO,35143937,,"Bryol. Univ.","2: 348","348","1827",
tro-35143938,B,Daltoniaceae,,Pterygophyllum,,"asplenioides",,"","Brid.",Synonym,,M,TRO,35143938,,"Muscol. Recent. Suppl.","4: 151","151","1819",tro-35140408
tro-35143939,B,Hookeriaceae,,Pterygophyllum,,"atrovirens",,"","(Colenso) Paris",Accepted,,M,TRO,35143939,,"Index Bryol.","1052","1052","1898",
tro-35143940,B,Hookeriaceae,,Pterygophyllum,,"balantii",,"","Broth.",Accepted,,M,TRO,35143940,,"Nat. Pflanzenfam.","I(3): 932","932","1907",
tro-35143941,B,Hookeriaceae,,Pterygophyllum,,"blumeanum",,"","(Müll. Hal.) Bosch & Sande Lac.",Accepted,,M,TRO,35143941,,"Bryol. Jav.","2: 38. 161","38","1862",
tro-35143943,B,Hookeriaceae,,Pterygophyllum,,"bryoides",,"","Broth.",Synonym,,M,TRO,35143943,,"Nat. Pflanzenfam.","I(3): 932","932","1907",tro-35169326
tro-35143946,B,Hookeriaceae,,Pterygophyllum,,"chonoticum",,"","Mitt.",Accepted,,M,TRO,35143946,,"Rep. Challenger, Bot.","1(4): 81","81","1885",
tro-35143948,B,Hookeriaceae,,Pterygophyllum,,"complanatum",,"","(Hampe) A. Jaeger",Accepted,,M,TRO,35143948,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 342 (Gen. Sp. Musc. 2: 246)","342 ","1877",
tro-35143949,B,Hookeriaceae,,Pterygophyllum,,"convallium",,"","Brid.",Accepted,,M,TRO,35143949,,"Bryol. Univ.","2: 354","354","1827",
tro-35141358,B,Hookeriaceae,,Pterygophyllum,,"crassirete",,"","Matteri",Accepted,,M,TRO,35141358,,"Revista Mus. Argent. Ci. Nat., Bernardino Rivadavia Inst. Nac. Invest. Ci. Nat., Bot.","4: 250","250","1972",
tro-35143950,B,Hookeriaceae,,Pterygophyllum,,"curvisetum",,"","(Colenso) Broth. ex Paris",Accepted,,M,TRO,35143950,,"Coll. Nom. Broth.","27","27","1909",
tro-35143951,B,Hookeriaceae,,Pterygophyllum,,"cyclophyllum",,"","Broth.",Synonym,,M,TRO,35143951,,"Nat. Pflanzenfam.","I(3): 932","932","1907",tro-35169326
tro-35143952,B,Hookeriaceae,,Pterygophyllum,,"debile",,"","(Sull.) A. Jaeger",Accepted,,M,TRO,35143952,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 344 (Gen. Sp. Musc. 2: 248)","344 ","1877",
tro-35143953,B,Neckeraceae,,Pterygophyllum,,"decompositum",,"","Brid.",Synonym,,M,TRO,35143953,,"Bryol. Univ.","2: 764","764","1827",tro-35182293
tro-35143954,B,Hookeriaceae,,Pterygophyllum,,"dentatum",,"","(Hook. f. & Wilson) Dixon",Accepted,,M,TRO,35143954,,"J. Linn. Soc., Bot.","40: 455","455","1912",
tro-35143956,B,Hookeriaceae,,Pterygophyllum,,"dentatum",var.,"robustum","(Hook. f. & Wilson) Dixon",Accepted,,L,TRO,35143956,,"New Zealand Inst. Bull.","3(5): 289","289","1927",
tro-35143959,B,Hookeriaceae,,Pterygophyllum,,"depressum",,"","(Hedw.) Brid.",Accepted,,M,TRO,35143959,,"Bryol. Univ.","2: 351","351","1827",
tro-35143960,B,Hookeriaceae,,Pterygophyllum,,"diaphanum",,"","(Sw. ex Hedw.) Brid.",Accepted,,M,TRO,35143960,,"Muscol. Recent. Suppl.","4: 150","150","1819",
tro-35143961,B,Hookeriaceae,,Pterygophyllum,,"distichophylloides",,"","Broth. & Dixon",Accepted,,M,TRO,35143961,,"Bull. Torrey Bot. Club","42: 106. pl. 9: f. 11","106","1915",
tro-35143963,B,Hookeriaceae,,Pterygophyllum,,"falcatum",,"","(Schimp. ex Besch.) Brid.",Accepted,,M,TRO,35143963,,"Bryol. Univ.","2: 353","353","1827",
tro-35143964,B,Hookeriaceae,,Pterygophyllum,,"filiculaeforme",,"","(Hedw.) Brid.",Accepted,,M,TRO,35143964,,"Muscol. Recent. Suppl.","4: 151","151","1819",
tro-35143965,B,Hookeriaceae,,Pterygophyllum,,"flaccidissimum",,"","Broth.",Synonym,,M,TRO,35143965,,"Nat. Pflanzenfam.","I(3): 932","932","1907",tro-35169326
tro-35143966,B,Hookeriaceae,,Pterygophyllum,,"flavum",,"","(Colenso) Paris",Accepted,,M,TRO,35143966,,"Index Bryol.","1052","1052","1898",
tro-35143967,B,Hookeriaceae,,Pterygophyllum,,"fragile",,"","Mitt.",Accepted,,M,TRO,35143967,,"Rep. Challenger, Bot.","1(4): 81","81","1885",
tro-35141359,B,Hookeriaceae,,Pterygophyllum,,"haesselianum",,"","Matteri",Accepted,,M,TRO,35141359,,"Revista Mus. Argent. Ci. Nat., Bernardino Rivadavia Inst. Nac. Invest. Ci. Nat., Bot.","4: 247. f. 1","247","1972",
tro-35143969,B,Hookeriaceae,,Pterygophyllum,,"hepaticaefolium",,"","(Hampe & Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35143969,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 343 (Gen. Sp. Musc. 2: 247)","343 ","1877",
tro-35143971,B,Stereophyllaceae,,Pterygophyllum,,"indicum",,"","Bél.",Synonym,,M,TRO,35143971,,"Voy. Indes Or.","2(Crypt.): 87. pl. 9: f. 2","87","1834",tro-35177407
