ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2408363,A,Amaranthaceae,,Ptilotus,,"aervoides",,"","F.Muell.",Unresolved,,L,WCSP (in review),,61201-1,"Fragm.","6: 231","","1868",kew-2435372
kew-2408400,A,Amaranthaceae,,Ptilotus,,"albidus",,"","(C.A.Gardner) Benl",Unresolved,,L,WCSP (in review),,61202-1,"Mitt. Bot. Staatssamml. München","4: 277","","1962",kew-2435370
kew-2408399,A,Amaranthaceae,,Ptilotus,,"alexandri",,"","Benl",Unresolved,,L,WCSP (in review),,61203-1,"Nuytsia","1: 344","","1974",
kew-2408398,A,Amaranthaceae,,Ptilotus,,"alopecuroideus",,"","F.Muell.",Unresolved,,L,WCSP (in review),,61204-1,"Fragm.","6: 227","","1868",kew-2435350
kew-2408397,A,Amaranthaceae,,Ptilotus,,"amabilis",,"","Span.",Unresolved,,L,WCSP (in review),,61205-1,"Linnaea","15: 345","","1841",
kew-2408396,A,Amaranthaceae,,Ptilotus,,"aphyllus",,"","Benl",Unresolved,,L,WCSP (in review),,61206-1,"Nuytsia","3: 161","","1980",
kew-2408395,A,Amaranthaceae,,Ptilotus,,"appendiculatus",,"","Benl",Unresolved,,L,WCSP (in review),,61207-1,"Muelleria","1: 102","","1959",
kew-2408393,A,Amaranthaceae,,Ptilotus,,"aristatus",,"","Benl",Unresolved,,L,WCSP (in review),,61208-1,"Mitt. Bot. Staatssamml. München","4: 79","","1961",
kew-2408376,A,Amaranthaceae,,Ptilotus,,"arthrolasius",,"","F.Muell.",Unresolved,,L,WCSP (in review),,,"Fragm.","6: 233","","1868",kew-2435352
kew-2408388,A,Amaranthaceae,,Ptilotus,,"astrolasius",,"","F.Muell.",Unresolved,,L,WCSP (in review),,61210-1,"Fragm.","6: 233","","1868",kew-2435362
kew-2408401,A,Amaranthaceae,,Ptilotus,,"astrolasius",var.,"luteolus","Benl & H.Eichler",Unresolved,,L,WCSP (in review),,917960-1,"Nuytsia","4: 269","","1983",kew-2900440
