ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35144072,B,Ptychomitriaceae,,Ptychomitrium,,"acutifolium",,"","Hook. & Wilson",Accepted,,M,TRO,35144072,,"Fl. Tasman.","2: 180. 173 f. 2","180","1859",
tro-35144073,B,Ptychomitriaceae,,Ptychomitrium,,"adamsonii",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35144073,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 103 (Gen. Sp. Musc. 1: 381)","103 ","1874",
tro-35168008,B,Ptychomitriaceae,,Ptychomitrium,,"africanum",,"","(Dixon) S.P. Churchill",Accepted,,M,TRO,35168008,,"Advances Cladist.","143","143","1981",
tro-35169757,B,Ptychomitriaceae,,Ptychomitrium,,"aligrimmioides",,"","Broth.",Accepted,,M,TRO,35169757,,"Ark. Bot.","15(6): 6","6","1918",
tro-35144075,B,Ptychomitriaceae,,Ptychomitrium,,"altaicum",,"","Broth.",Accepted,,M,TRO,35144075,,"Rev. Bryol., n.s.","2: 6","6","1929",
tro-35204708,B,Ptychomitriaceae,,Ptychomitrium,,"angusticarpum",,"","Schiavone & Biasuso",Accepted,,M,TRO,35204708,,"Lilloa","39: 103. f. 1","103","1997",
tro-35144077,B,Ptychomitriaceae,,Ptychomitrium,,"angustifolium",,"","(S. Okamura) Broth.",Synonym,,M,TRO,35144077,,"Nat. Pflanzenfam. (ed. 2)","11: 9","9","1925",tro-35144181
tro-35144079,B,Ptychomitriaceae,,Ptychomitrium,,"australe",,"","(Hampe) A. Jaeger",Accepted,,M,TRO,35144079,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 105 (Gen. Sp. Musc. 1: 383)","105 ","1874",
tro-35144080,B,Ptychomitriaceae,,Ptychomitrium,,"azoricum",,"","(Cardot) Paris",Accepted,,M,TRO,35144080,,"Index Bryol. Suppl.","289","289","1900",
tro-35144081,B,Ptychomitriaceae,,Ptychomitrium,,"balansae",,"","Besch.",Synonym,,M,TRO,35144081,,"Mém. Soc. Sci. Nat. Cherbourg","21: 261","261","1877",tro-35144149
tro-35144082,B,Ptychomitriaceae,,Ptychomitrium,,"barrii",,"","(R. Br. bis) Dixon",Accepted,,M,TRO,35144082,,"New Zealand Inst. Bull.","3(4): 155","155","1926",
tro-35144083,B,Ptychomitriaceae,,Ptychomitrium,,"brevidens",,"","(Broth.) Paris",Synonym,,M,TRO,35144083,,"Index Bryol. Suppl.","289","289","1900",tro-35144199
tro-35144084,B,Ptychomitriaceae,,Ptychomitrium,,"brevifolium",,"","(Müll. Hal.) Kindb.",Accepted,,M,TRO,35144084,,"Enum. Bryin. Exot., Suppl. 1","94","94","1889",
tro-35144085,B,Ptychomitriaceae,,Ptychomitrium,,"brevisetum",,"","Dixon ex Sakurai",Synonym,,M,TRO,35144085,,"Bot. Mag. (Tokyo)","53: 248. 2","248","1939",tro-35144107
tro-35144086,B,Ptychomitriaceae,,Ptychomitrium,,"buchtienii",,"","Broth.",Synonym,,M,TRO,35144086,,"Mitt. Inst. Allg. Bot. Hamburg","8: 403","403","1931",tro-35144087
tro-35144087,B,Ptychomitriaceae,,Ptychomitrium,,"chimborazense",,"","(Spruce ex Mitt.) A. Jaeger",Accepted,,M,TRO,35144087,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 103 (Gen. Sp. Musc. 1: 381)","103 ","1874",
tro-35144089,B,Ptychomitriaceae,,Ptychomitrium,,"cochabambae",,"","(Herzog) Cardot",Accepted,,M,TRO,35144089,,"Rev. Bryol.","40: 44","44","1913",
tro-35144090,B,Ptychomitriaceae,,Ptychomitrium,,"cockerellae",,"","(E. Britton & Hollick) Broth.",Accepted,,M,TRO,35144090,,"Nat. Pflanzenfam. (ed. 2)","11: 523","523","1925",
tro-35144091,B,Ptychomitriaceae,,Ptychomitrium,,"commutatum",,"","(Müll. Hal.) Paris",Synonym,,M,TRO,35144091,,"Index Bryol. Suppl.","289","289","1900",tro-35146075
tro-35144092,B,Ptychomitriaceae,,Ptychomitrium,,"crassinervium",,"","(Müll. Hal.) Schimp. ex Paris",Accepted,,M,TRO,35144092,,"Index Bryol. Suppl.","289","289","1900",
tro-35144093,B,Ptychomitriaceae,,Ptychomitrium,,"crispatum",,"","(Hedw.) A. Jaeger",Accepted,,M,TRO,35144093,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 103 (Gen. Sp. Musc. 1: 381)","103 ","1874",
tro-35144095,B,Ptychomitriaceae,,Ptychomitrium,,"cucullatifolium",,"","(Müll. Hal.) A. Jaeger",Accepted,,M,TRO,35144095,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 104 (Gen. Sp. Musc. 1: 382)","104 ","1874",
tro-35144096,B,Ptychomitriaceae,,Ptychomitrium,,"cummingii",,"","Duby",Synonym,,M,TRO,35144096,,"Flora","63: 168","168","1880",tro-35144109
tro-35144098,B,Ptychomitriaceae,,Ptychomitrium,,"cylindrothecium",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35144098,,"Index Bryol.","1056","1056","1898",
tro-35144099,B,Ptychomitriaceae,,Ptychomitrium,,"deltorii",,"","(Thér.) Broth.",Accepted,,M,TRO,35144099,,"Nat. Pflanzenfam. (ed. 2)","11: 9","9","1925",
tro-35144100,B,Ptychomitriaceae,,Ptychomitrium,,"dentatum",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35144100,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 102 (Gen. Sp. Musc. 1: 380)","102 ","1874",
tro-35144101,B,Ptychomitriaceae,,Ptychomitrium,,"depressum",,"","(Müll. Hal.) Paris",Accepted,,M,TRO,35144101,,"Index Bryol. Suppl.","289","289","1900",
tro-35141031,B,Ptychomitriaceae,,Ptychomitrium,,"diexaratum",,"","Magill",Accepted,,M,TRO,35141031,,"Mem. Bot. Surv. S. Africa","42: 3. f. 20–32","3","1979",
tro-35144102,B,Ptychomitriaceae,,Ptychomitrium,,"drouhardii",,"","Thér.",Synonym,,M,TRO,35144102,,"Recueil Publ. Soc. Havraise Études Diverses","1926: 51. ic","51","1927",tro-35144099
tro-35144103,B,Ptychomitriaceae,,Ptychomitrium,,"drummondii",,"","(Wilson) Sull.",Accepted,,M,TRO,35144103,,"Manual (ed. 2)","636","636","1856",
tro-35144104,B,Ptychomitriaceae,,Ptychomitrium,,"emersum",,"","(Müll. Hal.) Kindb.",Accepted,,M,TRO,35144104,,"Enum. Bryin. Exot., Suppl. 1","94","94","1889",
tro-35144105,B,Ptychomitriaceae,,Ptychomitrium,,"eurybasis",,"","Dixon",Synonym,,M,TRO,35144105,,"S. African J. Sci.","18: 316","316","1922",tro-35144149
tro-35144106,B,Ptychomitriaceae,,Ptychomitrium,,"evanidinerve",,"","(Broth.) Broth.",Accepted,,M,TRO,35144106,,"Nat. Pflanzenfam. (ed. 2)","11: 532","532","1925",
tro-35163054,B,Ptychomitriaceae,,Ptychomitrium,,"exaratifolium",,"","H. Rob.",Accepted,,M,TRO,35163054,,"Bryologist","62: 227. 15–22","227","1960",
tro-35144107,B,Ptychomitriaceae,,Ptychomitrium,,"fauriei",,"","Besch.",Accepted,,M,TRO,35144107,,"J. Bot. (Morot)","12: 297","297","1898",
tro-35144108,B,Ptychomitriaceae,,Ptychomitrium,,"felipponei",,"","Thér.",Synonym,,M,TRO,35144108,,"Rev. Bryol., n.s.","2: 220. 14","220","1930",tro-35144181
tro-35144109,B,Ptychomitriaceae,,Ptychomitrium,,"fernandesianum",,"","(Mitt.) A. Jaeger",Accepted,,M,TRO,35144109,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1872–73: 104 (Gen. Sp. Musc. 1: 382)","104 ","1874",
tro-35144111,B,Ptychomitriaceae,,Ptychomitrium,,"ferrugineum",,"","(Herzog) Broth.",Accepted,,M,TRO,35144111,,"Nat. Pflanzenfam. (ed. 2)","11: 8","8","1925",
tro-35144112,B,Ptychomitriaceae,,Ptychomitrium,,"fluviatile",,"","Broth.",Accepted,,M,TRO,35144112,,"Ergebn. Bot. Exped. Südbras., Musci","286","286","1924",
tro-35144113,B,Ptychomitriaceae,,Ptychomitrium,,"formosicum",,"","Broth. & Yasuda",Accepted,,M,TRO,35144113,,"Ann. Bryol.","1: 19","19","1928",
tro-35144114,B,Ptychomitriaceae,,Ptychomitrium,,"gardneri",,"","Lesq.",Accepted,,M,TRO,35144114,,"Mem. Calif. Acad. Sci.","1: 16","16","1868",
tro-35144115,B,Dicranaceae,,Ptychomitrium,,"geniculatum",,"","(Schwägr.) Hampe",Synonym,,M,TRO,35144115,,"Flora","20: 280","280","1837",tro-35183127
tro-35144116,B,Ptychomitriaceae,,Ptychomitrium,,"glyphomitrioides",,"","(Bals.-Criv. & De Not.) Venturi & Bott.",Synonym,,M,TRO,35144116,,"Atti Soc. Crittog. Ital.","3: 220","220","1884",tro-35144121
tro-35163055,B,Ptychomitriaceae,,Ptychomitrium,,"godfreyi",,"","H. Rob.",Synonym,,M,TRO,35163055,,"Bryologist","62: 225. 1–8","225","1960",tro-35144063
tro-35144117,B,Ptychomitriaceae,,Ptychomitrium,,"helenicum",,"","(Mitt.) Paris",Accepted,,M,TRO,35144117,,"Index Bryol.","1057","1057","1898",
tro-35144118,B,Ptychomitriaceae,,Ptychomitrium,,"hieronymi",,"","Besch.",Accepted,,M,TRO,35144118,,"J. Bot. (Morot)","5: 253","253","1891",
tro-35216901,B,Ptychomitriaceae,,Ptychomitrium,,"hieronymi",var.,"obtusifolium","(Thér.) T. Cao & Guo Shui-liang",Accepted,,L,TRO,35216901,,"J. Hattori Bot. Lab.","100: 48","48","2006",
