ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-170933,A,Apocynaceae,,Pulassarium,,"affine",,"","(Van Heurck & Müll.Arg.) Kuntze",Synonym,,H,WCSP,170933,81449-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7470
kew-170934,A,Apocynaceae,,Pulassarium,,"alyxia",,"","(G.Forst.) Kuntze",Synonym,,H,WCSP,170934,81450-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7278
kew-170935,A,Apocynaceae,,Pulassarium,,"breviflorum",,"","(Kurz) Kuntze",Synonym,,H,WCSP,170935,81451-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7402
kew-170936,A,Apocynaceae,,Pulassarium,,"brevifolium",,"","Kuntze",Synonym,,H,WCSP,170936,81452-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7470
kew-170937,A,Apocynaceae,,Pulassarium,,"buxifolium",,"","(R.Br.) Kuntze",Synonym,,H,WCSP,170937,81453-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7220
kew-170938,A,Apocynaceae,,Pulassarium,,"ceylanicum",,"","(Wight) Kuntze",Synonym,,H,WCSP,170938,81454-1,"Revis. Gen. Pl.","2: 417","","1891",kew-150789
kew-170939,A,Apocynaceae,,Pulassarium,,"coriaceum",,"","(Wall.) Kuntze",Synonym,,H,WCSP,170939,81455-1,"Revis. Gen. Pl.","2: 417","","1891",kew-124249
kew-170940,A,Apocynaceae,,Pulassarium,,"daphnodes",,"","(A.Cunn.) Kuntze",Synonym,,H,WCSP,170940,81456-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7278
kew-170941,A,Apocynaceae,,Pulassarium,,"disphaerocarpum",,"","(Van Heurck & Müll.Arg.) Kuntze",Synonym,,H,WCSP,170941,81457-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7470
kew-170942,A,Apocynaceae,,Pulassarium,,"fasciculare",,"","(Wall. ex G.Don) Kuntze",Synonym,,H,WCSP,170942,81458-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7260
kew-170943,A,Apocynaceae,,Pulassarium,,"flavescens",,"","Pierre",Synonym,Invalid,H,WCSP,170943,81459-1,"Prodr. Apoc.","261","","1894",kew-7402
kew-170944,A,Apocynaceae,,Pulassarium,,"glaucophyllum",,"","(Van Heurck & Müll.Arg.) Kuntze",Synonym,,H,WCSP,170944,81460-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7272
kew-170945,A,Apocynaceae,,Pulassarium,,"gracile",,"","(Wall. ex A.DC.) Kuntze",Synonym,,H,WCSP,170945,81461-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7275
kew-170946,A,Apocynaceae,,Pulassarium,,"halmaheirae",,"","(Miq.) Kuntze",Synonym,,H,WCSP,170946,81462-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7281
kew-170947,A,Apocynaceae,,Pulassarium,,"ilicifolium",,"","(F.Muell.) Kuntze",Synonym,,H,WCSP,170947,81463-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7284
kew-170948,A,Apocynaceae,,Pulassarium,,"laurinum",,"","(Gaudich.) Kuntze",Synonym,,H,WCSP,170948,81464-1,"Revis. Gen. Pl.","2: 417","","1891",kew-7307
