ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2426270,A,Gesneriaceae,,Ramonda,,"chloropoda",,"","Jord.",Synonym,,M,WCSP (in review),,,"Icon. Fl. Eur.","2: 39","","1903",kew-2605321
kew-2426271,A,Gesneriaceae,,Ramonda,,"crenulata",,"","Jord.",Synonym,,M,WCSP (in review),,,"Icon. Fl. Eur.","2: 40","","1903",kew-2605321
kew-2426272,A,Gesneriaceae,,Ramonda,,"floribunda",,"","Jord.",Synonym,,M,WCSP (in review),,,"Icon. Fl. Eur.","2: 39","","1903",kew-2605321
kew-2426280,A,Gesneriaceae,,Ramonda,,"heldreichii",,"","(Boiss.) C.B.Clarke",Synonym,,M,WCSP (in review),,,"Monogr. Phan.","5: 169","","1883",kew-2331576
kew-2426274,A,Gesneriaceae,,Ramonda,,"lobulosa",,"","Jord.",Synonym,,M,WCSP (in review),,,"Icon. Fl. Eur.","2: 39","","1903",kew-2605321
kew-2426267,A,Gesneriaceae,,Ramonda,,"micoi",,"","Pau",Synonym,Spelling variant,M,WCSP (in review),,,"Bol. Soc. Aragonesa Ci. Nat.","7: 106","","1908",kew-2605321
kew-2605321,A,Gesneriaceae,,Ramonda,,"myconi",,"","(L.) Rchb.",Accepted,,M,WCSP (in review),,,"Fl. Germ. Excurs.","1: 388","","1831",
kew-2422130,A,Gesneriaceae,,Ramonda,,"nathaliae",,"","Pančić & Petrovič",Accepted,,M,WCSP (in review),,,"Fl. Agr. Nyss.","574","","1882",
kew-2426290,A,Gesneriaceae,,Ramonda,,"nathaliae",f.,"jankovicii","Gajić",Synonym,,L,WCSP (in review),,881179-1,"Glasn. Prir. Mus. Beogradu, Ser. B, Biol. Nauke","28: 16","","1973",kew-2422130
kew-2426288,A,Gesneriaceae,,Ramonda,,"nathaliae",f.,"serbicifolia","Gajić",Synonym,,L,WCSP (in review),,881180-1,"Glasn. Prir. Mus. Beogradu, Ser. B, Biol. Nauke","28: 16","","1973",kew-2422130
kew-2422132,A,Gesneriaceae,,Ramonda,,"pyrenaica",,"","Rich.",Synonym,Illegitimate,M,WCSP (in review),,,"Syn. Pl.","1: 216","","1805",kew-2605321
kew-2422133,A,Gesneriaceae,,Ramonda,,"scapiflora",,"","J.St.-Hil.",Synonym,,M,WCSP (in review),,,"Expos. Fam. Nat.","1: 280","","1805",kew-2605321
kew-2422128,A,Gesneriaceae,,Ramonda,,"serbica",,"","Pančić",Accepted,,M,WCSP (in review),,,"Fl. Serbiae","498","","1874",
kew-2426268,A,Gesneriaceae,,Ramonda,,"serbica",f.,"longipetiolata","Gajić",Synonym,,L,WCSP (in review),,881181-1,"Glasn. Prir. Mus. Beogradu, Ser. B, Biol. Nauke","28: 18","","1973",kew-2422128
kew-2422106,A,Gesneriaceae,,Ramonda,×,"van-dedemii",,"","Beauverd",Synonym,,L,WCSP (in review),,,"Bull. Soc. Bot. Genève","II, 19: 364","","1927 publ. 1928",kew-2331572
