ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2527710,A,Malvaceae,,Rulingia,,"althaeifolia",,"","Turcz.",Unresolved,,L,WCSP (in review),,824974-1,"Bull. Soc. Imp. Naturalistes Moscou","25(2): 151","","1852",
kew-2605398,A,Malvaceae,,Rulingia,,"borealis",,"","(E.Pritz.) C.F.Wilkins",Unresolved,,L,WCSP (in review),,77075931-1,"Nuytsia","15: 518","","2005",
kew-2527691,A,Malvaceae,,Rulingia,,"coacta",,"","S.Moore",Unresolved,,L,WCSP (in review),,824976-1,"J. Linn. Soc., Bot.","34: 180","","1899",
kew-2527705,A,Malvaceae,,Rulingia,,"corylifolia",,"","Graham",Unresolved,,L,WCSP (in review),,824978-1,"Edinburgh New Philos. J.","13: 171","","1832",
kew-2527707,A,Malvaceae,,Rulingia,,"corylifolia",,"","Steud.",Unresolved,,L,WCSP (in review),,824977-1,"Pl. Preiss.","1: 237","","1845",
kew-2527684,A,Malvaceae,,Rulingia,,"craurophylla",,"","F.Muell.",Unresolved,,L,WCSP (in review),,824979-1,"Fragm.","9: 59","","1875",
kew-2527685,A,Malvaceae,,Rulingia,,"crispa",,"","Turcz.",Unresolved,,L,WCSP (in review),,824980-1,"Bull. Soc. Imp. Naturalistes Moscou","22(2): 10","","1849",kew-2733284
kew-2527686,A,Malvaceae,,Rulingia,,"cristifolia",,"","A.Cunn. ex Benth.",Unresolved,,L,WCSP (in review),,824981-1,"Fl. Austral.","1: 240","","1863",
kew-2527687,A,Malvaceae,,Rulingia,,"cuneata",,"","Turcz.",Unresolved,,L,WCSP (in review),,824982-1,"Bull. Soc. Imp. Naturalistes Moscou","25(2): 151","","1852",
kew-2527688,A,Malvaceae,,Rulingia,,"cygnorum",,"","(Steud.) C.A.Gardner",Unresolved,,L,WCSP (in review),,824983-1,"Enum. Pl. Austr. Occ.","80","","1931",kew-2733287
kew-2527697,A,Malvaceae,,Rulingia,,"dasyphylla",,"","Sweet",Unresolved,,L,WCSP (in review),,824984-1,"Hort. Brit.","55","","1826",
kew-2527690,A,Malvaceae,,Rulingia,,"densiflora",,"","Benth.",Unresolved,,L,WCSP (in review),,824985-1,"Fl. Austral.","1: 241","","1863",
kew-2527683,A,Malvaceae,,Rulingia,,"grandiflora",,"","Endl.",Unresolved,,L,WCSP (in review),,824986-1,"Enum. Pl. Hügel","12","","1837",kew-2903581
kew-2527692,A,Malvaceae,,Rulingia,,"hermaniifolia",,"","(DC.) Endl.",Unresolved,,L,WCSP (in review),,,"Cat. Horti Vindob.","2: 358","","1842",
kew-2527693,A,Malvaceae,,Rulingia,,"hermanniifolia",,"","Steetz",Unresolved,,L,WCSP (in review),,824987-1,"Pl. Preiss.","2: 353","","1848",
kew-2527858,A,Malvaceae,,Rulingia,,"hexamera",,"","Turcz.",Unresolved,,L,WCSP (in review),,824988-1,"Bull. Soc. Imp. Naturalistes Moscou","25(2): 151","","1852",
kew-2527859,A,Malvaceae,,Rulingia,,"kempeana",,"","F.Muell.",Unresolved,,L,WCSP (in review),,824989-1,"Fragm.","11: 113","","1881",
