ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35209517,B,Geocalycaceae,,Saccogynidium,,"australe",,"","(Mitt.) Grolle",Accepted,,M,TRO,35209517,,"J. Hattori Bot. Lab.","23: 49","49","1960",
tro-35209518,B,Geocalycaceae,,Saccogynidium,,"bidentulum",,"","(Horik.) P.C. Chen",Accepted,,M,TRO,35209518,,"","","","",
tro-35212505,B,Geocalycaceae,,Saccogynidium,,"caldense",,"","(Ångström) Grolle",Accepted,,M,TRO,35212505,,"J. Hattori Bot. Lab.","23: 44","44","1960",
tro-35214705,B,Geocalycaceae,,Saccogynidium,,"chiloscyphoides",,"","R.M. Schust.",Unresolved,,L,TRO,35214705,,"J. Hattori Bot. Lab.","26: 272","272","1963",
tro-35212513,B,Geocalycaceae,,Saccogynidium,,"decurvum",,"","(Mitt.) Grolle",Accepted,,M,TRO,35212513,,"J. Hattori Bot. Lab.","23: 59","59","1960",
tro-35212510,B,Geocalycaceae,,Saccogynidium,,"goebelii",,"","(Herzog) Grolle",Accepted,,M,TRO,35212510,,"J. Hattori Bot. Lab.","23: 52","52","1960",
tro-35207699,B,Geocalycaceae,,Saccogynidium,,"iwatsukii",,"","S. Hatt.",Synonym,,M,TRO,35207699,,"J. Jap. Bot.","39: 206","206","1964",tro-35207180
tro-35212512,B,Geocalycaceae,,Saccogynidium,,"jugatum",,"","(Mitt.) Grolle",Accepted,,M,TRO,35212512,,"J. Hattori Bot. Lab.","23: 57","57","1960",
tro-35209519,B,Geocalycaceae,,Saccogynidium,,"muricellum",,"","(De Not.) Grolle",Accepted,,M,TRO,35209519,,"J. Hattori Bot. Lab.","36: 80","80","1972",
tro-35209520,B,Geocalycaceae,,Saccogynidium,,"rigidulum",,"","(Nees) Grolle",Accepted,,M,TRO,35209520,,"J. Hattori Bot. Lab.","23: 52","52","1960",
tro-35212360,B,Geocalycaceae,,Saccogynidium,,"schiloscyphoides",,"","R.M. Schust.",Unresolved,,L,TRO,35212360,,"J. Hattori Bot. Lab.","26: 272","272","1963",
tro-35208330,B,Geocalycaceae,,Saccogynidium,,"vasculosum",,"","(Hook. f. & Taylor) Grolle",Accepted,,M,TRO,35208330,,"J. Hattori Bot. Lab.","23: 46","46","1960",
