ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50110871,A,Annonaceae,,Sapranthus,,"borealis",,"","R.E. Fr.",Accepted,,M,TRO,50110871,227627-2,"Acta Horti Berg.","10: 11, f. 2c","11","1930",
kew-2480644,A,Annonaceae,,Sapranthus,,"campechianus",,"","(Kunth) Standl.",Accepted,,M,WCSP (in review),,227628-2,"Contr. U. S. Natl. Herb.","23: 279","","1922",
tro-1601382,A,Annonaceae,,Sapranthus,,"chiapensis",,"","G.E. Schatz",Accepted,,M,TRO,1601382,,"Novon","","","2001",
tro-50110868,A,Annonaceae,,Sapranthus,,"foetidus",,"","(Rose) Saff.",Accepted,,L,TRO,50110868,227629-2,"Contr. U.S. Natl. Herb.","23(2): 278","278","1922",
tro-50143437,A,Annonaceae,,Sapranthus,,"hirsutus",,"","van Rooden ex G.E. Schatz",Accepted,,M,TRO,50143437,,"Novon","","","2001",
kew-2480468,A,Annonaceae,,Sapranthus,,"humilis",,"","Miranda",Synonym,,M,WCSP (in review),,308984-2,"Ceiba","4: 126","","1954",kew-2480326
kew-2897272,A,Annonaceae,,Sapranthus,,"isae",,"","J.G.Vélez & Cogollo",Unresolved,,L,WCSP (in review),,,"Caldasia","29: 230","","2007",
kew-2480682,A,Annonaceae,,Sapranthus,,"ligularis",,"","Saff. ex R.E.Fr.",Unresolved,,L,WCSP (in review),,227631-2,"Kongl. Svenska Vetensk. Acad. Handl.","III, 24(10): 14","","1948",
tro-1600453,A,Annonaceae,,Sapranthus,,"longepedunculatus",,"","R.E. Fr.",Synonym,,M,TRO,1600453,227632-2,"Acta Horti Berg.","10: 7, f. 1","7","1930",kew-2870547
kew-2480293,A,Annonaceae,,Sapranthus,,"megistanthus",,"","Standl. & Steyerm.",Synonym,,M,WCSP (in review),,227633-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","23: 7","","1943",kew-2870547
kew-2480294,A,Annonaceae,,Sapranthus,,"microcarpus",,"","(Donn.Sm.) R.E.Fr.",Accepted,,M,WCSP (in review),,227634-2,"Kongl. Svenska Vetensk. Acad. Handl.","n.s., 34(5): 12","","1900",
kew-2480295,A,Annonaceae,,Sapranthus,,"nicaraguensis",,"","Seem.",Synonym,,M,WCSP (in review),,75148-1,"J. Bot.","4: 369","","1866",kew-2870547
kew-2480296,A,Annonaceae,,Sapranthus,,"palanga",,"","R.E.Fr.",Accepted,,M,WCSP (in review),,227635-2,"Acta Horti Berg.","10: 12","","1930",
tro-50116680,A,Annonaceae,,Sapranthus,,"palanga",var.,"santae-rosae","R.E. Fr.",Synonym,,L,TRO,50116680,227636-2,"Acta Horti Berg.","10(1): 13–14","13","1930",kew-2480296
tro-1602698,A,Annonaceae,,Sapranthus,,"stenopetalus",,"","(Donn. Sm.) P.J. Stafford ex Standl.",Synonym,,M,TRO,1602698,227637-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","4(8): 206","206","1929",kew-2480328
kew-2870547,A,Annonaceae,,Sapranthus,,"violaceus",,"","(Dunal) Saff.",Accepted,,M,WCSP (in review),,,"Science","n.s., 33: 471","","1911",
tro-1602308,A,Annonaceae,,Sapranthus,,"viridiflorus",,"","G.E. Schatz",Accepted,,M,TRO,1602308,1005402-1,"Novon","8(4): 436–439, f. 1–2","436","1998",
