ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-442153,A,Poaceae,,Setaria,,"abyssinica",,"","Hack.",Synonym,,H,WCSP,442153,421425-1,"Oesterr. Bot. Z.","51: 460","","1901",kew-442442
kew-442154,A,Poaceae,,Setaria,,"abyssinica",var.,"annua","Chiov.",Synonym,,L,WCSP,442154,,"Annuario Reale Ist. Bot. Roma","8: 311","","1908",kew-442157
kew-442155,A,Poaceae,,Setaria,,"abyssinica",var.,"breviseta","Chiov.",Synonym,,L,WCSP,442155,,"Annuario Reale Ist. Bot. Roma","8: 311","","1908",kew-442442
kew-442156,A,Poaceae,,Setaria,,"abyssinica",var.,"longiseta","Chiov.",Synonym,,L,WCSP,442156,,"Annuario Reale Ist. Bot. Roma","8: 311","","1908",kew-442442
kew-442157,A,Poaceae,,Setaria,,"acromelaena",,"","(Hochst.) T.Durand & Schinz",Accepted,,H,WCSP,442157,421426-1,"Consp. Fl. Afric.","5: 772","","1894",
kew-442158,A,Poaceae,,Setaria,,"acuta",,"","Stapf & C.E.Hubb.",Synonym,,H,WCSP,442158,421427-1,"Fl. Trop. Afr.","9: 846","","1930",kew-442540
kew-442159,A,Poaceae,,Setaria,,"adhaerens",,"","(Forssk.) Chiov.",Synonym,,H,WCSP,442159,421428-1,"Nuovo Giorn. Bot. Ital.","n.s., 26: 77","","1919",kew-442773
kew-442161,A,Poaceae,,Setaria,,"adhaerens",var.,"ambigua","(Guss.) Belo-Corr.",Synonym,,L,WCSP,442161,2954064-1,"Bol. Soc. Brot.","II, 62: 290","","1989",kew-442778
kew-442162,A,Poaceae,,Setaria,,"adhaerens",var.,"antrorsa","(A.Braun) H.Scholz",Synonym,,L,WCSP,442162,883055-1,"Willdenowia","7: 420","","1974",kew-442778
kew-442163,A,Poaceae,,Setaria,,"adhaerens",var.,"font-queri","Calduch",Synonym,,L,WCSP,442163,,"Collect. Bot. (Barcelona)","7: 160","","1968",kew-442773
kew-442160,A,Poaceae,,Setaria,,"adhaerens",subsp.,"verticillata","(L.) Belo-Corr.",Synonym,,L,WCSP,442160,2954063-1,"Bol. Soc. Brot.","II, 62: 289","","1989",kew-442773
kew-442164,A,Poaceae,,Setaria,,"adhaerens",var.,"verticillata","(L.) Belo-Corr.",Synonym,,L,WCSP,442164,,"Revista Biol. (Lisbon)","62: 289","","1990",kew-442773
kew-442165,A,Poaceae,,Setaria,,"aequalis",,"","Stapf",Synonym,,H,WCSP,442165,421429-1,"Bull. Misc. Inform. Kew","1927: 267","","1927",kew-442424
kew-442166,A,Poaceae,,Setaria,,"affinis",,"","Schult.",Synonym,,H,WCSP,442166,421430-1,"Mant.","2: 275","","1824",kew-442600
kew-442167,A,Poaceae,,Setaria,,"albida",,"","Stapf",Synonym,,H,WCSP,442167,421431-1,"Fl. Trop. Afr.","9: 791","","1930",kew-442442
kew-442168,A,Poaceae,,Setaria,,"albovillosa",,"","(S.T.Blake) R.D.Webster",Synonym,,H,WCSP,442168,984806-1,"Sida","16: 441","","1995",kew-431136
kew-442169,A,Poaceae,,Setaria,,"almaspicata",,"","de Wit",Synonym,,H,WCSP,442169,421432-1,"Bull. Jard. Bot. Buitenzorg","III, 17: 47","","1941",kew-442714
kew-442170,A,Poaceae,,Setaria,,"alonsoi",,"","Pensiero & A.M.Anton",Accepted,,H,WCSP,442170,304110-2,"Novon","4: 287","","1994",
tro-50088901,A,Poaceae,,Setaria,,"alopecuroides",,"","A. Braun",Unresolved,,L,TRO,50088901,,"Index Sem. (Berlin)","4: 4","4","1857",
kew-442171,A,Poaceae,,Setaria,,"alopecurus",,"","Fisch. ex Trin.",Synonym,Invalid,H,WCSP,442171,,"Mém. Acad. Imp. Sci. Saint-Pétersbourg, Sér. 6, Sci. Math., Seconde Pt. Sci. Nat.","3: 227","","1835",kew-442830
kew-442172,A,Poaceae,,Setaria,,"alpestris",,"","Peter",Synonym,,H,WCSP,442172,421434-1,"Repert. Spec. Nov. Regni Veg. Beih.","40(1 Anh.): 66","","1930",kew-442714
kew-442173,A,Poaceae,,Setaria,,"ambigua",,"","Schrad.",Synonym,,H,WCSP,442173,421435-1,"Linnaea","12: 430","","1838",kew-442600
kew-442174,A,Poaceae,,Setaria,,"ambigua",,"","(Guss.) Guss.",Synonym,Illegitimate,H,WCSP,442174,421436-1,"Fl. Sicul. Syn.","1: 114","","1843",kew-442778
kew-442178,A,Poaceae,,Setaria,,"ambigua",var.,"latifolia","Freyn",Synonym,,L,WCSP,442178,,"Verh. K. K. Zool.-Bot. Ges. Wien","27: 458","","1877",kew-442778
kew-442175,A,Poaceae,,Setaria,,"ambigua",f.,"major","Bujor.",Synonym,,L,WCSP,442175,,"Bul. Grad. Bot. Univ. Cluj","22: 81","","1942",kew-442773
tro-25550001,A,Poaceae,,Setaria,,"ambigua",var.,"major","Bujor.",Synonym,,L,TRO,25550001,,"","","","",kew-442773
kew-442176,A,Poaceae,,Setaria,,"ambigua",f.,"ramiflora","Bujor.",Synonym,,L,WCSP,442176,,"Bul. Grad. Bot. Univ. Cluj","22: 81","","1942",kew-442773
kew-442177,A,Poaceae,,Setaria,,"ambigua",f.,"schulteissii","A.Zimm.",Synonym,,L,WCSP,442177,,"Ill. Fl. Mitt.-Eur.","ed. 2, 1: 268","","1935",kew-442778
tro-25550008,A,Poaceae,,Setaria,,"ambigua",f.,"schulteissii","A.F. Schwarz",Synonym,,L,TRO,25550008,,"","","","",kew-442778
kew-442179,A,Poaceae,,Setaria,,"anceps",,"","Stapf ex Massey",Synonym,,H,WCSP,442179,,"Sudan Grasses","33","","1926",kew-442714
tro-25546656,A,Poaceae,,Setaria,,"anceps",,"","Stapf",Synonym,,M,TRO,25546656,421437-1,"Fl. Trop. Afr.","9(5): 793–794","793","1930",kew-442714
kew-442180,A,Poaceae,,Setaria,,"anceps",var.,"sericea","Stapf",Synonym,,L,WCSP,442180,,"Fl. Trop. Afr.","9: 794","","1930",kew-442714
kew-442181,A,Poaceae,,Setaria,,"angustifolia",,"","Stapf",Synonym,,H,WCSP,442181,421438-1,"Fl. Trop. Afr.","9: 803","","1930",kew-442714
kew-442182,A,Poaceae,,Setaria,,"angustissima",,"","Stapf",Synonym,,H,WCSP,442182,421439-1,"Fl. Trop. Afr.","9: 835","","1930",kew-442506
kew-442183,A,Poaceae,,Setaria,,"antillarum",,"","(Roem. & Schult.) Kunth",Synonym,,L,WCSP,442183,421440-1,"Révis. Gramin.","1: 46","","1829",kew-432745
kew-442184,A,Poaceae,,Setaria,,"aparine",,"","(Steud.) Chiov.",Synonym,,H,WCSP,442184,421441-1,"Nuovo Giorn. Bot. Ital.","n.s., 19: 419","","1912",kew-442773
kew-442185,A,Poaceae,,Setaria,,"apiculata",,"","(Scribn. & Merr.) K.Schum.",Accepted,,H,WCSP,442185,421442-1,"Just's Bot. Jahresber.","28(1): 417","","1902",
kew-442186,A,Poaceae,,Setaria,,"appendiculata",,"","(Hack.) Stapf",Accepted,,H,WCSP,442186,421443-1,"Fl. Cap.","7: 422","","1899",
kew-442187,A,Poaceae,,Setaria,,"arenaria",,"","Kitag.",Synonym,,H,WCSP,442187,421444-1,"Rep. Inst. Sci. Res. Manchoukuo","4: 77","","1940",kew-442790
kew-442188,A,Poaceae,,Setaria,,"argentina",,"","R.A.W.Herrm.",Synonym,,H,WCSP,442188,235153-2,"Beitr. Biol. Pflanzen","10: 54","","1910",kew-442481
kew-442189,A,Poaceae,,Setaria,,"arizonica",,"","Rominger",Accepted,,H,WCSP,442189,235154-2,"Illinois Biol. Monogr.","29, 66","","1962",
kew-442190,A,Poaceae,,Setaria,,"asiatica",,"","Rchb.",Synonym,Invalid,H,WCSP,442190,,"Fl. Germ. Excurs.","1: 29","","1830",kew-442451
kew-442191,A,Poaceae,,Setaria,,"aspera",,"","Miq.",Synonym,,H,WCSP,442191,421448-1,"Fl. Ned. Ind.","3: 469","","1857",kew-438337
kew-442192,A,Poaceae,,Setaria,,"aspera",,"","Link ex Loudon",Unresolved,,L,WCSP,442192,421449-1,"Hort. Brit.","25","","1830",
kew-442193,A,Poaceae,,Setaria,,"atrata",,"","Hack. ex Engl.",Accepted,,H,WCSP,442193,421450-1,"Abh. Königl. Akad. Wiss. Berlin","1891(2): 122","","1892",
kew-442194,A,Poaceae,,Setaria,,"atroseta",,"","Steud.",Synonym,Invalid,H,WCSP,442194,421451-1,"Syn. Pl. Glumac.","1: 102","","1854",kew-432571
kew-442195,A,Poaceae,,Setaria,,"aurea",,"","Hochst. ex A.Braun",Synonym,,H,WCSP,442195,421453-1,"Flora","24: 276","","1841",kew-442714
kew-442199,A,Poaceae,,Setaria,,"aurea",var.,"fumigata","Peter",Synonym,,L,WCSP,442199,,"Repert. Spec. Nov. Regni Veg. Beih.","40(1 Anh.): 65","","1930",kew-442714
tro-50088411,A,Poaceae,,Setaria,,"aurea",var.,"kinsundensis","Vanderyst",Synonym,,L,TRO,50088411,,"Bull. Agric. Congo Belge","16: 683","683","1925",kew-442714
kew-442197,A,Poaceae,,Setaria,,"aurea",subsp.,"kisunduensis","Vanderyst",Synonym,,L,WCSP,442197,,"Bull. Agric. Congo Belge","16: 683","","1925",kew-442714
kew-442200,A,Poaceae,,Setaria,,"aurea",var.,"latifolia","Peter",Synonym,,L,WCSP,442200,,"Repert. Spec. Nov. Regni Veg. Beih.","40(1 Anh.): 65","","1930",kew-442714
kew-442201,A,Poaceae,,Setaria,,"aurea",var.,"longiseta","Chiov.",Synonym,,L,WCSP,442201,,"Annuario Reale Ist. Bot. Roma","8: 310","","1908",kew-442714
kew-442196,A,Poaceae,,Setaria,,"aurea",f.,"minor","Pilg.",Synonym,,L,WCSP,442196,,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 270","","1928",kew-442714
