ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-192497,A,Myrtaceae,,Siphoneugena,,"angustifolia",,"","(Kiaersk.) Mattos & N.Silveira",Synonym,,H,WCSP,192497,915495-1,"Loefgrenia","87: 1","","1985",kew-192518
kew-192498,A,Myrtaceae,,Siphoneugena,,"angustifolia",var.,"elliptica","(Kiaersk.) Mattos & N.Silveira",Synonym,,L,WCSP,192498,924554-1,"Loefgrenia","87: 1","","1985",kew-192518
kew-192499,A,Myrtaceae,,Siphoneugena,,"aromatica",,"","O.Berg",Unresolved,,L,WCSP,192499,,"Linnaea","27: 345","","1856",
kew-192500,A,Myrtaceae,,Siphoneugena,,"baporeti",,"","(D.Legrand) Kausel",Synonym,,H,WCSP,192500,601225-1,"Lilloa","32: 345","","1967",kew-161403
kew-192501,A,Myrtaceae,,Siphoneugena,,"boraceiensis",,"","Mattos & N.Silveira",Synonym,,H,WCSP,192501,907049-1,"Loefgrenia","87: 1","","1985",kew-192528
kew-192502,A,Myrtaceae,,Siphoneugena,,"bracteata",,"","(Burret) Kausel",Synonym,,H,WCSP,192502,601226-1,"Lilloa","32: 367","","1967",kew-192507
kew-192503,A,Myrtaceae,,Siphoneugena,,"cantareirae",,"","Mattos",Synonym,,H,WCSP,192503,601227-1,"Ci. & Cult.","19: 332","","1967",kew-131815
kew-192504,A,Myrtaceae,,Siphoneugena,,"chnoosepala",,"","(Kiaersk.) Kausel",Synonym,,H,WCSP,192504,601228-1,"Lilloa","32: 367","","1967",kew-192507
kew-192505,A,Myrtaceae,,Siphoneugena,,"chnoosepala",var.,"macrophylla","(Burret) Mattos & N.Silveira",Synonym,,L,WCSP,192505,924555-1,"Loefgrenia","87: 1","","1985",kew-192507
kew-192506,A,Myrtaceae,,Siphoneugena,,"chnoosepala",var.,"pilosa","Mattos & N.Silveira",Synonym,,L,WCSP,192506,919126-1,"Loefgrenia","87: 1","","1985",kew-192507
kew-461845,A,Myrtaceae,,Siphoneugena,,"crassifolia",,"","(DC.) Proença & Sobral",Accepted,,H,WCSP,461845,77107090-1,"Phytotaxa","8: 57","","2010",
kew-348472,A,Myrtaceae,,Siphoneugena,,"delicata",,"","Sobral & Proença",Accepted,,H,WCSP,348472,,"Novon","16: 530","","2006",
kew-192507,A,Myrtaceae,,Siphoneugena,,"densiflora",,"","O.Berg",Accepted,,H,WCSP,192507,,"Fl. Bras.","14(1): 379","","1857",
kew-192509,A,Myrtaceae,,Siphoneugena,,"densiflora",var.,"densiflora","",Synonym,,L,WCSP,192509,,"Unknown","","","",kew-192507
kew-192510,A,Myrtaceae,,Siphoneugena,,"densiflora",var.,"salicifolia","McVaugh",Synonym,,L,WCSP,192510,285084-2,"Mem. New York Bot. Gard.","18(2): 231","","1969",kew-192513
kew-192511,A,Myrtaceae,,Siphoneugena,,"densiflora",var.,"tepuiensis","Steyerm.",Synonym,,L,WCSP,192511,,"Fieldiana, Bot.","28: 1024","","1957",kew-192513
kew-192512,A,Myrtaceae,,Siphoneugena,,"dusenii",,"","Kausel",Synonym,,H,WCSP,192512,601230-1,"Lilloa","33: 109","","1971 publ. 1972",kew-192528
kew-192513,A,Myrtaceae,,Siphoneugena,,"dussii",,"","(Krug & Urb.) Proença",Accepted,,H,WCSP,192513,962174-1,"Edinburgh J. Bot.","47: 251","","1990",
kew-192515,A,Myrtaceae,,Siphoneugena,,"dussii",var.,"salicifolia","(McVaugh) Proença",Synonym,,L,WCSP,192515,966353-1,"Edinburgh J. Bot.","47: 254","","1990",kew-192513
kew-466584,A,Myrtaceae,,Siphoneugena,,"glabrata",,"","Loza & P.Jørg.",Accepted,,H,WCSP,466584,77111144-1,"Novon","20: 294","","2010",
kew-192516,A,Myrtaceae,,Siphoneugena,,"gomesiana",,"","Mattos",Synonym,,H,WCSP,192516,601231-1,"Loefgrenia","19: 1","","1964",kew-192528
kew-192517,A,Myrtaceae,,Siphoneugena,,"guilfoyleiana",,"","Proença",Accepted,,H,WCSP,192517,285085-2,"Edinburgh J. Bot.","47: 254","","1990",
kew-192518,A,Myrtaceae,,Siphoneugena,,"kiaerskoviana",,"","(Burret) Kausel",Accepted,,H,WCSP,192518,601232-1,"Lilloa","32: 367","","1967",
kew-192519,A,Myrtaceae,,Siphoneugena,,"krukoffiana",,"","Kausel",Unresolved,,L,WCSP,192519,601233-1,"Lilloa","33: 110","","1971 publ. 1972",
kew-192520,A,Myrtaceae,,Siphoneugena,,"kuhlmannii",,"","Mattos",Accepted,,H,WCSP,192520,601234-1,"Ci. & Cult.","19: 334","","1967",
kew-192521,A,Myrtaceae,,Siphoneugena,,"legrandii",,"","Mattos & N.Silveira",Synonym,,H,WCSP,192521,907050-1,"Loefgrenia","87: 2","","1985",kew-161403
kew-192522,A,Myrtaceae,,Siphoneugena,,"macrophylla",,"","(Burret) Kausel",Synonym,,H,WCSP,192522,601235-1,"Lilloa","32: 367","","1967",kew-192507
