ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50079917,A,Brassicaceae,,Sophia,,"adenophora",,"","Wooton & Standl.",Synonym,,M,TRO,50079917,289925-1,"Contr. U.S. Natl. Herb.","16(4): 127","127","1913",kew-2761794
tro-50079439,A,Brassicaceae,,Sophia,,"andrenarum",,"","Cockerell",Synonym,,M,TRO,50079439,,"Bull. Torrey Bot. Club","28(1): 48","48","1901",kew-2761821
tro-50104399,A,Brassicaceae,,Sophia,,"andrenarum",var.,"osmiarum","Cockerell",Synonym,,L,TRO,50104399,,"Bull. Torrey Bot. Club","28(1): 48","48","1901",kew-2761807
tro-50104484,A,Brassicaceae,,Sophia,,"brachycarpa",,"","(Richardson) Rydb.",Synonym,,M,TRO,50104484,240687-2,"Man. Fl. N. States","462","462","1901",kew-2761808
tro-50104456,A,Brassicaceae,,Sophia,,"brevipes",,"","(Nutt.) Rydb.",Synonym,,L,TRO,50104456,,"Bull. Torrey Bot. Club","29(4): 238","238","1902",kew-2761750
tro-50104477,A,Brassicaceae,,Sophia,,"californica",,"","(Torr. & A. Gray) Rydb.",Synonym,,L,TRO,50104477,,"Bull. Torrey Bot. Club","29(4): 238","238","1902",kew-2761807
tro-50061511,A,Malvaceae,,Sophia,,"carolina",,"","L.",Synonym,,M,TRO,50061511,564465-1,"Pl. Surin.","11","11","1775",kew-2412843
kew-2475294,A,Brassicaceae,,Sophia,,"chirurgorum",,"","Garsault",Synonym,Invalid,M,WCSP (in review),,,"Fig. Pl. Méd.","t. 553","","1764",kew-2761851
tro-100360411,A,Brassicaceae,,Sophia,,"cumingiana",,"","(Fisch. & E. Mey.) Macloskie",Synonym,,M,TRO,100360411,240690-2,"Rep. Princeton Univ. Exp. Patagonia, Botany","5: 447.","447.","1905",kew-2761725
tro-50095217,A,Brassicaceae,,Sophia,,"deserticola",,"","(Speg.) Macloskie",Synonym,,M,TRO,50095217,1114038-2,"","","","",tro-50095215
