ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-193220,A,Orchidaceae,,Spathoglottis,,"affinis",,"","de Vriese",Accepted,,H,WCSP,193220,,"Ill. Orchid. Ind. Orient.","3: t. 15","","1855",
kew-193221,A,Orchidaceae,,Spathoglottis,,"albida",,"","Kraenzl.",Accepted,,H,WCSP,193221,658026-1,"Notizbl. Königl. Bot. Gart. Berlin","2: 107","","1898",
kew-193222,A,Orchidaceae,,Spathoglottis,,"alpina",,"","R.S.Rogers",Accepted,,H,WCSP,193222,658027-1,"Trans. & Proc. Roy. Soc. South Australia","54: 38","","1930",
kew-193223,A,Orchidaceae,,Spathoglottis,,"altigena",,"","Schltr.",Accepted,,H,WCSP,193223,658028-1,"Repert. Spec. Nov. Regni Veg. Beih.","1: 396","","1912",
kew-193224,A,Orchidaceae,,Spathoglottis,,"angustifolia",,"","(Gaudich.) Benth. & Hook.f.",Synonym,,H,WCSP,193224,658029-1,"Gen. Pl.","3: 512","","1883",kew-193276
kew-193225,A,Orchidaceae,,Spathoglottis,,"augustorum",,"","Rchb.f.",Synonym,,H,WCSP,193225,,"Gard. Chron.","n.s., 25: 9","","1886",kew-193276
kew-193226,A,Orchidaceae,,Spathoglottis,,"aurea",,"","Lindl.",Accepted,,H,WCSP,193226,658031-1,"J. Hort. Soc. London","5: 34","","1850",
kew-193227,A,Orchidaceae,,Spathoglottis,,"bensonii",,"","Hook.f.",Synonym,,H,WCSP,193227,658032-1,"Fl. Brit. India","5: 814","","1890",kew-193280
kew-193228,A,Orchidaceae,,Spathoglottis,,"breviscapa",,"","Schltr.",Synonym,,H,WCSP,193228,658033-1,"Bot. Jahrb. Syst.","39: 65","","1906",kew-193299
kew-193229,A,Orchidaceae,,Spathoglottis,,"bulbosa",,"","Schltr.",Accepted,,H,WCSP,193229,658034-1,"Repert. Spec. Nov. Regni Veg. Beih.","1: 400","","1912",
kew-193230,A,Orchidaceae,,Spathoglottis,,"carolinensis",,"","Schltr.",Accepted,,H,WCSP,193230,658035-1,"Bot. Jahrb. Syst.","53: 8","","1914",
kew-193231,A,Orchidaceae,,Spathoglottis,,"chrysantha",,"","Ames",Accepted,,H,WCSP,193231,658036-1,"Orchidaceae","2: 161","","1908",
kew-266199,A,Orchidaceae,,Spathoglottis,,"chrysodorus",,"","T.Green",Accepted,,H,WCSP,266199,20007475-1,"Orchid Digest","66: 141","","2002",
kew-193232,A,Orchidaceae,,Spathoglottis,,"confusa",,"","J.J.Sm.",Accepted,,H,WCSP,193232,658037-1,"Bull. Jard. Bot. Buitenzorg","III, 12: 122","","1932",
kew-193233,A,Orchidaceae,,Spathoglottis,,"curvatocallosa",,"","Gilli",Synonym,,H,WCSP,193233,903126-1,"Ann. Naturhist. Mus. Wien, B","84: 41","","1980 publ. 1983",kew-193271
kew-193234,A,Orchidaceae,,Spathoglottis,,"daenikeri",,"","Kraenzl.",Synonym,,H,WCSP,193234,658038-1,"Vierteljahrsschr. Naturf. Ges. Zürich","74: 80","","1929",kew-193276
kew-193235,A,Orchidaceae,,Spathoglottis,,"deplanchei",,"","Rchb.f.",Synonym,,H,WCSP,193235,658039-1,"Linnaea","41: 86","","1876",kew-193276
kew-193236,A,Orchidaceae,,Spathoglottis,,"doctersii",,"","J.J.Sm.",Accepted,,H,WCSP,193236,658040-1,"Nova Guinea","18: 18","","1935",
