ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2603018,A,Monimiaceae,,Steganthera,,"alpina",,"","Perkins",Unresolved,,L,WCSP (in review),,582408-1,"Bot. Jahrb. Syst.","52: 201","","1915",
kew-2603017,A,Monimiaceae,,Steganthera,,"australiana",,"","C.T.White",Unresolved,,L,WCSP (in review),,582409-1,"Proc. Roy. Soc. Queensland","55: 78","","1944",
kew-2603016,A,Monimiaceae,,Steganthera,,"brassii",,"","(A.C.Sm.) Kaneh. & Hatus.",Unresolved,,L,WCSP (in review),,582410-1,"Bot. Mag. (Tokyo)","56: 261","","1942",kew-2602809
kew-2603015,A,Monimiaceae,,Steganthera,,"buergersiana",,"","Perkins",Unresolved,,L,WCSP (in review),,582411-1,"Bot. Jahrb. Syst.","52: 199","","1915",
kew-2603004,A,Monimiaceae,,Steganthera,,"chimbuensis",,"","Philipson",Unresolved,,L,WCSP (in review),,905332-1,"Blumea","29: 495","","1984",
kew-2605596,A,Monimiaceae,,Steganthera,,"cooperorum",,"","Whiffin",Unresolved,,L,WCSP (in review),,77081976-1,"in Fl. Australia","2: 453","","2007",
kew-2603013,A,Monimiaceae,,Steganthera,,"crispula",,"","Perkins",Unresolved,,L,WCSP (in review),,,"Pflanzenr.","IV, 101(49): 21","","1911",
kew-2603022,A,Monimiaceae,,Steganthera,,"cyclopensis",,"","Philipson",Unresolved,,L,WCSP (in review),,905333-1,"Blumea","29: 489","","1984",
kew-2603011,A,Monimiaceae,,Steganthera,,"dentata",,"","(Valeton) Kaneh. & Hatus.",Unresolved,,L,WCSP (in review),,582413-1,"Bot. Mag. (Tokyo)","56: 257","","1942",
kew-2603010,A,Monimiaceae,,Steganthera,,"elliptica",,"","A.C.Sm.",Unresolved,,L,WCSP (in review),,582414-1,"J. Arnold Arbor.","22: 236","","1941",
kew-2603009,A,Monimiaceae,,Steganthera,,"fasciculata",,"","Philipson",Unresolved,,L,WCSP (in review),,905334-1,"Blumea","29: 487","","1984",
kew-2603008,A,Monimiaceae,,Steganthera,,"fengeriana",,"","Perkins",Unresolved,,L,WCSP (in review),,582415-1,"Bot. Jahrb. Syst.","25: 566","","1898",
kew-2603007,A,Monimiaceae,,Steganthera,,"forbesii",,"","Perkins",Unresolved,,L,WCSP (in review),,,"Pflanzenr.","IV, 101(49): 23","","1911",
kew-2603006,A,Monimiaceae,,Steganthera,,"hentyi",,"","Philipson",Unresolved,,L,WCSP (in review),,905335-1,"Blumea","29: 487","","1984",
kew-2602910,A,Monimiaceae,,Steganthera,,"hirsuta",,"","Perkins",Unresolved,,L,WCSP (in review),,582417-1,"Bot. Jahrb. Syst.","25: 567","","1898",
kew-2603040,A,Monimiaceae,,Steganthera,,"hospitans",,"","(Becc.) Kaneh. & Hatus.",Unresolved,,L,WCSP (in review),,582418-1,"Bot. Mag. (Tokyo)","56: 256","","1942",
kew-2602928,A,Monimiaceae,,Steganthera,,"ilicifolia",,"","A.C.Sm.",Unresolved,,L,WCSP (in review),,582419-1,"J. Arnold Arbor.","22: 235","","1941",
kew-2602819,A,Monimiaceae,,Steganthera,,"insculpta",,"","Perkins",Unresolved,,L,WCSP (in review),,582420-1,"Bot. Jahrb. Syst.","52: 202","","1915",
kew-2602818,A,Monimiaceae,,Steganthera,,"insignis",,"","Perkins",Unresolved,,L,WCSP (in review),,,"Pflanzenr.","IV, 101(49): 24","","1911",
kew-2605597,A,Monimiaceae,,Steganthera,,"laxiflora",,"","(Benth.) Whiffin & Foreman",Unresolved,,L,WCSP (in review),,77081970-1,"in Fl. Australia","2: 452","","2007",
kew-2602817,A,Monimiaceae,,Steganthera,,"ledermannii",,"","(Perkins) Kaneh. & Hatus.",Unresolved,,L,WCSP (in review),,582422-1,"Bot. Mag. (Tokyo)","56: 256","","1942",
kew-2602816,A,Monimiaceae,,Steganthera,,"macooraia",,"","(F.M.Bailey) P.K.Endress",Unresolved,,L,WCSP (in review),,582423-1,"Blumea","25: 315","","1979",
kew-2602815,A,Monimiaceae,,Steganthera,,"moszkowskii",,"","(Perkins) Kaneh. & Hatus.",Unresolved,,L,WCSP (in review),,582424-1,"Bot. Mag. (Tokyo)","56: 256","","1942",
kew-2602814,A,Monimiaceae,,Steganthera,,"myrtifolia",,"","(A.C.Sm.) Philipson",Unresolved,,L,WCSP (in review),,914639-1,"Blumea","29: 491","","1984",
kew-2602813,A,Monimiaceae,,Steganthera,,"oblongiflora",,"","Perkins",Unresolved,,L,WCSP (in review),,582425-1,"Bot. Jahrb. Syst.","25: 566","","1898",
kew-2602803,A,Monimiaceae,,Steganthera,,"odontophylla",,"","Perkins",Unresolved,,L,WCSP (in review),,,"Pflanzenr.","IV, 101(49): 23","","1911",
kew-2602811,A,Monimiaceae,,Steganthera,,"oligantha",,"","(Perkins) Kaneh. & Hatus.",Unresolved,,L,WCSP (in review),,582427-1,"Bot. Mag. (Tokyo)","56: 257","","1942",
kew-2602820,A,Monimiaceae,,Steganthera,,"oligocarpella",,"","Kaneh. & Hatus.",Unresolved,,L,WCSP (in review),,582428-1,"Bot. Mag. (Tokyo)","56: 257","","1942",kew-2334945
kew-2602809,A,Monimiaceae,,Steganthera,,"parvifolia",,"","(Perkins) Kaneh. & Hatus.",Unresolved,,L,WCSP (in review),,582429-1,"Bot. Mag. (Tokyo)","56: 257","","1942",
kew-2602808,A,Monimiaceae,,Steganthera,,"psychotrioides",,"","Perkins",Unresolved,,L,WCSP (in review),,582430-1,"Bot. Jahrb. Syst.","52: 198","","1915",
kew-2602807,A,Monimiaceae,,Steganthera,,"pycnoneura",,"","Perkins",Unresolved,,L,WCSP (in review),,,"Pflanzenr.","IV, 101(49): 23","","1911",
kew-2602806,A,Monimiaceae,,Steganthera,,"riparia",,"","Kaneh. & Hatus.",Unresolved,,L,WCSP (in review),,582432-1,"Bot. Mag. (Tokyo)","56: 259","","1942",
kew-2602805,A,Monimiaceae,,Steganthera,,"royenii",,"","Philipson",Unresolved,,L,WCSP (in review),,905336-1,"Blumea","29: 489","","1984",
kew-2602804,A,Monimiaceae,,Steganthera,,"salomonensis",,"","(Hemsl.) Philipson",Unresolved,,L,WCSP (in review),,914640-1,"Blumea","29: 490","","1984",
kew-2602829,A,Monimiaceae,,Steganthera,,"schlechteri",,"","Perkins",Unresolved,,L,WCSP (in review),,,"Pflanzenr.","IV, 101(49): 21","","1911",
kew-2602831,A,Monimiaceae,,Steganthera,,"schumanniana",,"","Perkins",Unresolved,,L,WCSP (in review),,582434-1,"Bot. Jahrb. Syst.","25: 565","","1898",
kew-2602812,A,Monimiaceae,,Steganthera,,"stevensii",,"","W.N.Takeuchi",Unresolved,,L,WCSP (in review),,20003269-1,"Kew Bull.","56: 995","","2001",
kew-2602837,A,Monimiaceae,,Steganthera,,"suberoso-alata",,"","Kosterm.",Unresolved,,L,WCSP (in review),,582435-1,"Gard. Bull. Singapore","22: 445","","1968",
kew-2602836,A,Monimiaceae,,Steganthera,,"symplocoides",,"","Perkins",Unresolved,,L,WCSP (in review),,,"Pflanzenr.","IV, 101(49): 23","","1911",
kew-2602835,A,Monimiaceae,,Steganthera,,"thyrsiflora",,"","Perkins",Unresolved,,L,WCSP (in review),,582437-1,"Bot. Jahrb. Syst.","25: 565","","1898",
kew-2602834,A,Monimiaceae,,Steganthera,,"torricelliensis",,"","Perkins",Unresolved,,L,WCSP (in review),,,"Pflanzenr.","IV, 101(49): 21","","1911",
kew-2602833,A,Monimiaceae,,Steganthera,,"villosa",,"","Kaneh. & Hatus.",Unresolved,,L,WCSP (in review),,582439-1,"Bot. Mag. (Tokyo)","56: 259","","1942",kew-2807569
kew-2602832,A,Monimiaceae,,Steganthera,,"warburgii",,"","Perkins",Unresolved,,L,WCSP (in review),,582440-1,"Bot. Jahrb. Syst.","25: 564","","1898",
