ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-446099,A,Poaceae,,Stylagrostis,,"chrysantha",,"","(J.Presl) Mez",Synonym,,H,WCSP,446099,247401-2,"Bot. Arch.","1: 20","","1922",kew-402551
kew-446100,A,Poaceae,,Stylagrostis,,"chrysostachya",,"","(Desv.) Mez",Synonym,,H,WCSP,446100,247402-2,"Bot. Arch.","1: 20","","1922",kew-402551
kew-446101,A,Poaceae,,Stylagrostis,,"elegans",,"","(Wedd.) Mez",Synonym,,H,WCSP,446101,247403-2,"Bot. Arch.","1: 20","","1922",kew-402632
kew-446102,A,Poaceae,,Stylagrostis,,"eminens",,"","(J.Presl) Mez",Synonym,,H,WCSP,446102,247404-2,"Bot. Arch.","1: 20","","1922",kew-402632
kew-446103,A,Poaceae,,Stylagrostis,,"erythrostachya",,"","(Desv.) Mez",Synonym,,H,WCSP,446103,247405-2,"Bot. Arch.","1: 20","","1922",kew-402733
kew-446104,A,Poaceae,,Stylagrostis,,"fulva",,"","(Griseb.) Mez",Synonym,,H,WCSP,446104,247406-2,"Bot. Arch.","1: 20","","1922",kew-402727
kew-446105,A,Poaceae,,Stylagrostis,,"laxiflora",,"","(Phil.) Mez",Synonym,,H,WCSP,446105,247407-2,"Bot. Arch.","1: 20","","1922",kew-389644
kew-446106,A,Poaceae,,Stylagrostis,,"leiopoda",,"","(Wedd.) Mez",Synonym,,H,WCSP,446106,247408-2,"Bot. Arch.","1: 20","","1922",kew-402551
kew-446107,A,Poaceae,,Stylagrostis,,"longigluma",,"","(Pilg.) Mez",Synonym,,H,WCSP,446107,247409-2,"Bot. Arch.","1: 20","","1922",kew-402963
kew-446108,A,Poaceae,,Stylagrostis,,"nivalis",,"","(Wedd.) Mez",Synonym,,H,WCSP,446108,247410-2,"Bot. Arch.","1: 20","","1922",kew-403139
kew-446109,A,Poaceae,,Stylagrostis,,"ovata",,"","(J.Presl) Mez",Synonym,,H,WCSP,446109,247411-2,"Bot. Arch.","1: 20","","1922",kew-403139
kew-446110,A,Poaceae,,Stylagrostis,,"phalaroides",,"","(Wedd.) Mez",Synonym,,H,WCSP,446110,247412-2,"Bot. Arch.","1: 20","","1922",kew-402551
kew-446111,A,Poaceae,,Stylagrostis,,"polystachya",,"","(Wedd.) Mez",Synonym,,H,WCSP,446111,247413-2,"Bot. Arch.","1: 20","","1922",kew-402632
kew-446112,A,Poaceae,,Stylagrostis,,"robusta",,"","(Phil.) Mez",Synonym,,H,WCSP,446112,247414-2,"Bot. Arch.","1: 20","","1922",kew-402632
