ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-8901417,A,Crassulaceae,,Stylophyllum,,"albidum",,"","Rose",Accepted,,M,TRO,8901417,247501-2,"New N. Amer. Crassul.","34","34","1903",
tro-8902401,A,Crassulaceae,,Stylophyllum,,"anomala",,"","Davidson",Synonym,,M,TRO,8902401,247502-2,"Bull. S. Calif. Acad. Sci.","27: 79","79","1928",kew-2778904
tro-8902423,A,Crassulaceae,,Stylophyllum,,"attenuatum",,"","(S. Watson) Britton & Rose",Synonym,,L,TRO,8902423,247503-2,"New N. Amer. Crassul.","36","36","1903",kew-2778907
tro-8902403,A,Crassulaceae,,Stylophyllum,,"coronatum",,"","Fröd.",Synonym,,M,TRO,8902403,247504-2,"Svensk Bot. Tidskr.","30: 216","216","1936",kew-2778904
tro-8902433,A,Crassulaceae,,Stylophyllum,,"densiflorum",,"","Rose",Synonym,,M,TRO,8902433,247505-2,"New N. Amer. Crassul.","36","36","1903",kew-2778946
tro-8901419,A,Crassulaceae,,Stylophyllum,,"edule",,"","(Nutt.) Britton & Rose",Accepted,,M,TRO,8901419,247506-2,"New N. Amer. Crassul.","36","36","1903",
tro-8900245,A,Crassulaceae,,Stylophyllum,,"hassei",,"","Rose",Accepted,,M,TRO,8900245,247507-2,"New N. Amer. Crassul.","35","35","1903",
kew-2490154,A,Crassulaceae,,Stylophyllum,,"insulare",,"","Rose",Synonym,,M,WCSP (in review),,247508-2,"Bull. New York Bot. Gard.","3: 34","","1903",kew-2779017
tro-8901421,A,Crassulaceae,,Stylophyllum,,"nudicaule",,"","(Munz) Abrams",Synonym,,M,TRO,8901421,276761-1,"Ill. Fl. Pacific States","2: 339","339","1944",kew-2778946
tro-8901422,A,Crassulaceae,,Stylophyllum,,"orcuttii",,"","Rose",Accepted,,M,TRO,8901422,,"New N. Amer. Crassul.","36–37","36","1903",
tro-8901420,A,Crassulaceae,,Stylophyllum,,"parishii",,"","Britton",Accepted,,M,TRO,8901420,247511-2,"New N. Amer. Crassul.","37","37","1903",
tro-8902439,A,Crassulaceae,,Stylophyllum,,"semiteres",,"","Rose",Accepted,,M,TRO,8902439,290451-2,"New N. Amer. Crassul.","35","35","1903",
tro-8901418,A,Crassulaceae,,Stylophyllum,,"traskiae",,"","Rose",Accepted,,M,TRO,8901418,247512-2,"New N. Amer. Crassul.","34","34","1903",
tro-8901416,A,Crassulaceae,,Stylophyllum,,"virens",,"","Rose",Accepted,,M,TRO,8901416,247513-2,"New N. Amer. Crassul.","34","34","1903",
tro-8901415,A,Crassulaceae,,Stylophyllum,,"viscidum",,"","(S. Watson) Britton & Rose",Synonym,,M,TRO,8901415,247514-2,"New N. Amer. Crassul.","33","33","1903",kew-2779019
