ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-461585,A,Orchidaceae,,Sudamerlycaste,,"acaroi",,"","(Oakeley) Archila",Accepted,,H,WCSP,461585,77103442-1,"Richardiana","10: 24","","2009",
kew-461592,A,Orchidaceae,,Sudamerlycaste,,"acaroi",var.,"minor","(Oakeley) Archila",Synonym,,L,WCSP,461592,77103443-1,"Richardiana","10: 24","","2009",kew-461585
kew-374978,A,Orchidaceae,,Sudamerlycaste,,"andreettae",,"","(Dodson) Archila",Accepted,,H,WCSP,374978,77096724-1,"Revista Guatemal.","5(3): 78","","2002",
kew-464267,A,Orchidaceae,,Sudamerlycaste,,"andreettae",var.,"andreettae","",Synonym,,L,WCSP,464267,,"Unknown","","","",kew-374978
kew-464175,A,Orchidaceae,,Sudamerlycaste,,"andreettae",var.,"pallida","(Oakeley) Archila",Accepted,,L,WCSP,464175,77103444-1,"Richardiana","10: 25","","2009",
kew-464171,A,Orchidaceae,,Sudamerlycaste,,"angustitepala",,"","(Oakeley) Archila",Accepted,,H,WCSP,464171,77103445-1,"Richardiana","10: 25","","2009",
kew-461571,A,Orchidaceae,,Sudamerlycaste,,"ariasii",,"","(Oakeley) Archila",Accepted,,H,WCSP,461571,77103446-1,"Richardiana","10: 25","","2009",
kew-375001,A,Orchidaceae,,Sudamerlycaste,,"barbifrons",,"","(Lindl.) Archila",Synonym,,H,WCSP,375001,77096725-1,"Revista Guatemal.","5(3): 78","","2002",kew-376538
kew-375006,A,Orchidaceae,,Sudamerlycaste,,"barringtoniae",,"","(Sm.) Archila",Accepted,,H,WCSP,375006,77096726-1,"Revista Guatemal.","5(3): 78","","2002",
kew-461572,A,Orchidaceae,,Sudamerlycaste,,"barrowiorum",,"","(Oakeley) Archila",Accepted,,H,WCSP,461572,77103447-1,"Richardiana","10: 25","","2009",
kew-461619,A,Orchidaceae,,Sudamerlycaste,,"castanea",,"","(Oakeley) Archila",Accepted,,H,WCSP,461619,77103448-1,"Richardiana","10: 25","","2009",
kew-375000,A,Orchidaceae,,Sudamerlycaste,,"ciliata",,"","(Ruiz & Pav.) Archila",Accepted,,H,WCSP,375000,77096727-1,"Revista Guatemal.","5(3): 78","","2002",
kew-376532,A,Orchidaceae,,Sudamerlycaste,,"cinnabarina",,"","(Lindl. ex J.C.Stevens) Archila",Accepted,,H,WCSP,376532,77096728-1,"Revista Guatemal.","5(3): 79","","2002",
kew-461630,A,Orchidaceae,,Sudamerlycaste,,"cinnabarina",var.,"major","(Oakeley) Archila",Synonym,,L,WCSP,461630,77103449-1,"Richardiana","10: 25","","2009",kew-376532
kew-376533,A,Orchidaceae,,Sudamerlycaste,,"cobbiana",,"","(B.S.Williams) Archila",Accepted,,H,WCSP,376533,77096730-1,"Revista Guatemal.","5(3): 79","","2002",
kew-376534,A,Orchidaceae,,Sudamerlycaste,,"costata",,"","(Lindl.) Archila",Accepted,,H,WCSP,376534,77096731-1,"Revista Guatemal.","5(3): 79","","2002",
kew-374999,A,Orchidaceae,,Sudamerlycaste,,"denningiana",,"","(Rchb.f.) Archila",Synonym,,H,WCSP,374999,77096732-1,"Revista Guatemal.","5(3): 79","","2002",kew-376532
kew-376535,A,Orchidaceae,,Sudamerlycaste,,"diastasia",,"","(D.E.Benn. & Oakeley) Archila",Accepted,,H,WCSP,376535,77096733-1,"Revista Guatemal.","5(3): 79","","2002",
kew-376536,A,Orchidaceae,,Sudamerlycaste,,"dunstervillei",,"","(Bergold) Archila",Accepted,,H,WCSP,376536,77096734-1,"Revista Guatemal.","5(3): 79","","2002",
kew-374993,A,Orchidaceae,,Sudamerlycaste,,"dyeriana",,"","(Sander ex Mast.) Archila",Accepted,,H,WCSP,374993,77096735-1,"Revista Guatemal.","5(3): 80","","2002",
kew-461616,A,Orchidaceae,,Sudamerlycaste,,"ejirii",,"","(Oakeley) Archila",Accepted,,H,WCSP,461616,77103450-1,"Richardiana","10: 25","","2009",
kew-374981,A,Orchidaceae,,Sudamerlycaste,,"fimbriata",,"","(Poepp. & Endl.) Archila",Accepted,,H,WCSP,374981,77096736-1,"Revista Guatemal.","5(3): 80","","2002",
kew-374977,A,Orchidaceae,,Sudamerlycaste,,"fowliei",,"","(Oakeley) Archila",Synonym,,H,WCSP,374977,77096739-1,"Revista Guatemal.","5(3): 80","","2002",kew-376539
kew-374980,A,Orchidaceae,,Sudamerlycaste,,"fragans",,"","(Oakeley) Archila",Accepted,,H,WCSP,374980,77096737-1,"Revista Guatemal.","5(3): 80","","2002",
kew-374979,A,Orchidaceae,,Sudamerlycaste,,"fulvescens",,"","(Hook.) Archila",Accepted,,H,WCSP,374979,77096738-1,"Revista Guatemal.","5(3): 80","","2002",
kew-376537,A,Orchidaceae,,Sudamerlycaste,,"gigantea",,"","(Lindl.) Archila",Accepted,,H,WCSP,376537,77096741-1,"Revista Guatemal.","5(3): 81","","2002",
kew-374976,A,Orchidaceae,,Sudamerlycaste,,"grandis",,"","Archila",Accepted,,H,WCSP,374976,77096740-1,"Revista Guatemal.","5(3): 81","","2002",
kew-376538,A,Orchidaceae,,Sudamerlycaste,,"heynderycxii",,"","(E.Morren) Archila",Accepted,,H,WCSP,376538,77096742-1,"Revista Guatemal.","5(3): 81","","2002",
kew-374970,A,Orchidaceae,,Sudamerlycaste,,"hirtzii",,"","(Dodson) Archila",Accepted,,H,WCSP,374970,77096743-1,"Revista Guatemal.","5(3): 81","","2002",
kew-461623,A,Orchidaceae,,Sudamerlycaste,,"jamesiorum",,"","(Oakeley) Archila",Accepted,,H,WCSP,461623,77103451-1,"Richardiana","10: 26","","2009",
kew-461608,A,Orchidaceae,,Sudamerlycaste,,"jimenezii",,"","(Oakeley) Archila",Accepted,,H,WCSP,461608,77103452-1,"Richardiana","10: 26","","2009",
