ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50131957,A,Moraceae,,Taxotrophis,,"aquifolioides",,"","W.C. Ko",Synonym,,M,TRO,50131957,584656-1,"Acta Phytotax. Sin.","8(4): 353–354","353","1963",tro-50085754
tro-50131941,A,Moraceae,,Taxotrophis,,"balansae",,"","Hutch.",Synonym,,M,TRO,50131941,,"Bull. Misc. Inform. Kew","1918(4): 151","151","1918",tro-50131937
tro-50131935,A,Moraceae,,Taxotrophis,,"caudata",,"","Hutch.",Synonym,,M,TRO,50131935,,"Bull. Misc. Inform. Kew","1918(4): 149–150","149","1918",tro-50131925
kew-2516904,A,Moraceae,,Taxotrophis,,"crenata",,"","Gagnep.",Unresolved,,L,WCSP (in review),,584659-1,"Fl. Indo-Chine","5: 702","","1928",
kew-2516914,A,Moraceae,,Taxotrophis,,"eberhardtii",,"","Gagnep.",Unresolved,,L,WCSP (in review),,584660-1,"Fl. Indo-Chine","5: 700","","1928",
kew-2516924,A,Moraceae,,Taxotrophis,,"ilicifolia",,"","S.Vidal",Unresolved,,L,WCSP (in review),,,"Revis. Pl. Vasc. Filip.","349","","1886",
tro-50131949,A,Moraceae,,Taxotrophis,,"ilicifolius",,"","Vidal",Synonym,,M,TRO,50131949,856697-1,"Revis. Pl. Vasc. Filip.","249","249","1886",tro-50085754
kew-2516912,A,Moraceae,,Taxotrophis,,"javanica",,"","Blume",Unresolved,,L,WCSP (in review),,856698-1,"Mus. Bot.","2: 77","","1856",kew-2449061
kew-2516911,A,Moraceae,,Taxotrophis,,"laxiflora",,"","Hutch.",Unresolved,,L,WCSP (in review),,584661-1,"Bull. Misc. Inform. Kew","1918: 151","","1918",
tro-50131960,A,Moraceae,,Taxotrophis,,"longispina",,"","Merr. & Chun",Synonym,,M,TRO,50131960,,"in sched.","","","1984",tro-50085754
tro-50261548,A,Moraceae,,Taxotrophis,,"macrophylla",,"","(Blume) Boerl.",Accepted,,M,TRO,50261548,,"Handl. Fl. Ned. Ind.","3: 379","379","1900",
kew-2516909,A,Moraceae,,Taxotrophis,,"microphylla",,"","F.Muell.",Unresolved,,L,WCSP (in review),,856700-1,"Fragm.","6: 193","","1868",
tro-50131951,A,Moraceae,,Taxotrophis,,"obtusa",,"","Elmer",Synonym,,M,TRO,50131951,584662-1,"Leafl. Philipp. Bot.","5: 1813","1813","1913",tro-50085754
kew-2516907,A,Moraceae,,Taxotrophis,,"poilanei",,"","Gagnep.",Unresolved,,L,WCSP (in review),,584663-1,"Fl. Indo-Chine","5: 701","","1928",
kew-2516906,A,Cannabaceae,,Taxotrophis,,"rectinervis",,"","F.Muell.",Unresolved,,L,WCSP (in review),,856701-1,"Fragm.","6: 192","","1868",kew-2643348
kew-2516933,A,Moraceae,,Taxotrophis,,"roxburghii",,"","Blume",Unresolved,,L,WCSP (in review),,856702-1,"Mus. Bot.","2: 78","","1856",
kew-2516913,A,Moraceae,,Taxotrophis,,"spinosa",,"","(Blume) Steenis ex Backer",Unresolved,,L,WCSP (in review),,584664-1,"Bekn. Fl. Java","6(129): 9","","1948",kew-2449061
tro-50131952,A,Moraceae,,Taxotrophis,,"triapiculata",,"","Gamble",Synonym,,M,TRO,50131952,,"Bull. Misc. Inform. Kew","1913(5): 188","188","1913",tro-50085754
tro-50131929,A,Moraceae,,Taxotrophis,,"zeylanica",,"","(Thwaites) Thwaites",Synonym,,M,TRO,50131929,,"Enum. Pl. Zeyl.","264","264","1864",tro-50131925
