ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2521001,A,Scrophulariaceae,,Terebinthina,,"aquatica",,"","Kuntze",Unresolved,,L,WCSP (in review),,810256-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520989,A,Scrophulariaceae,,Terebinthina,,"aromatica",,"","Kuntze",Unresolved,,L,WCSP (in review),,810257-1,"Revis. Gen. Pl.","2: 467","","1891",
kew-2520725,A,Scrophulariaceae,,Terebinthina,,"balsamea",,"","Kuntze",Unresolved,,L,WCSP (in review),,810258-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520724,A,Scrophulariaceae,,Terebinthina,,"camphorata",,"","Kuntze",Unresolved,,L,WCSP (in review),,810259-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520723,A,Scrophulariaceae,,Terebinthina,,"cana",,"","Kuntze",Unresolved,,L,WCSP (in review),,810260-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520722,A,Scrophulariaceae,,Terebinthina,,"connata",,"","Kuntze",Unresolved,,L,WCSP (in review),,810261-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520721,A,Scrophulariaceae,,Terebinthina,,"erecta",,"","Kuntze",Unresolved,,L,WCSP (in review),,810262-1,"Revis. Gen. Pl.","2: 467","","1891",
kew-2520750,A,Scrophulariaceae,,Terebinthina,,"glabra",,"","Kuntze",Unresolved,,L,WCSP (in review),,810263-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520752,A,Scrophulariaceae,,Terebinthina,,"helferi",,"","Kuntze",Unresolved,,L,WCSP (in review),,810264-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520731,A,Scrophulariaceae,,Terebinthina,,"indica",,"","Kuntze",Unresolved,,L,WCSP (in review),,810265-1,"Revis. Gen. Pl.","2: 467","","1891",
kew-2520760,A,Scrophulariaceae,,Terebinthina,,"javanica",,"","Kuntze",Unresolved,,L,WCSP (in review),,810266-1,"Revis. Gen. Pl.","2: 467","","1891",
kew-2520759,A,Scrophulariaceae,,Terebinthina,,"laxa",,"","Kuntze",Unresolved,,L,WCSP (in review),,810267-1,"Revis. Gen. Pl.","2: 467","","1891",
kew-2520758,A,Scrophulariaceae,,Terebinthina,,"micrantha",,"","Kuntze",Unresolved,,L,WCSP (in review),,810268-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520757,A,Scrophulariaceae,,Terebinthina,,"polyantha",,"","Kuntze",Unresolved,,L,WCSP (in review),,810269-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520756,A,Scrophulariaceae,,Terebinthina,,"punctata",,"","Kuntze",Unresolved,,L,WCSP (in review),,810270-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520755,A,Scrophulariaceae,,Terebinthina,,"pygmaea",,"","Kuntze",Unresolved,,L,WCSP (in review),,810271-1,"Revis. Gen. Pl.","2: 467","","1891",
kew-2520754,A,Scrophulariaceae,,Terebinthina,,"racemosa",,"","Kuntze",Unresolved,,L,WCSP (in review),,810272-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520753,A,Scrophulariaceae,,Terebinthina,,"rugosa",,"","Kuntze",Unresolved,,L,WCSP (in review),,810273-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520741,A,Scrophulariaceae,,Terebinthina,,"sessiliflora",,"","Kuntze",Unresolved,,L,WCSP (in review),,810274-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520751,A,Scrophulariaceae,,Terebinthina,,"tillaeodes",,"","Kuntze",Unresolved,,L,WCSP (in review),,810275-1,"Revis. Gen. Pl.","2: 468","","1891",
kew-2520762,A,Scrophulariaceae,,Terebinthina,,"villifera",,"","Kuntze",Unresolved,,L,WCSP (in review),,810276-1,"Revis. Gen. Pl.","2: 467","","1891",
kew-2520749,A,Scrophulariaceae,,Terebinthina,,"villosa",,"","Kuntze",Unresolved,,L,WCSP (in review),,810277-1,"Revis. Gen. Pl.","2: 467","","1891",
