ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2514728,A,Simaroubaceae,,Tetradium,,"amarissimum",,"","Poir.",Unresolved,,L,WCSP (in review),,775378-1,"Encycl.","Suppl. 5: 291","","1817",kew-2683970
tro-50116460,A,Rutaceae,,Tetradium,,"austrosinense",,"","(Hand.-Mazz.) T.G. Hartley",Accepted,,M,TRO,50116460,909754-1,"Gard. Bull. Singapore","34(1): 120–121","120","1981",
tro-50116457,A,Rutaceae,,Tetradium,,"calcicolum",,"","(Chun ex C.C. Huang) T.G. Hartley",Accepted,,M,TRO,50116457,909755-1,"Gard. Bull. Singapore","34(1): 108–109","108","1981",
kew-2514725,A,Rutaceae,,Tetradium,,"cymosum",,"","Wall. ex Royle",Unresolved,,L,WCSP (in review),,775379-1,"Ill. Bot. Himal. Mts.","157","","1835",kew-2805741
kew-2514724,A,Rutaceae,,Tetradium,,"daniellii",,"","(Benn.) T.G.Hartley",Accepted,,M,WCSP (in review),,909756-1,"Gard. Bull. Singapore","34: 105","","1981",
tro-50116455,A,Rutaceae,,Tetradium,,"fraxinifolium",,"","(Hook. f.) T.G. Hartley",Accepted,,M,TRO,50116455,909757-1,"Gard. Bull. Singapore","34(1): 102–105","102","1981",
tro-50101406,A,Rutaceae,,Tetradium,,"glabrifolium",,"","(Champ. ex Benth.) T.G. Hartley",Accepted,,M,TRO,50101406,909758-1,"Gard. Bull. Singapore","34(1): 109–114","109","1981",
tro-50321653,A,Rutaceae,,Tetradium,,"glabrifolium",var.,"glaucum","(Miq.) T. Yamaz.",Synonym,,L,TRO,50321653,,"","","","",tro-50101406
tro-100363211,A,Crassulaceae,,Tetradium,,"odoratum",,"","(Lam.) Dulac",Synonym,,M,TRO,100363211,276771-1,"Fl. Hautes-Pyrénées","321","321","1867",kew-2475525
kew-2514718,A,Rutaceae,,Tetradium,,"ruticarpum",,"","(A.Juss.) T.G.Hartley",Accepted,,M,WCSP (in review),,909759-1,"Gard. Bull. Singapore","34: 116","","1981",
tro-50116453,A,Rutaceae,,Tetradium,,"sambucinum",,"","(Blume) T.G. Hartley",Accepted,,M,TRO,50116453,909760-1,"Gard. Bull. Singapore","34: 100","100","1981",
kew-2514716,A,Rutaceae,,Tetradium,,"sumatranum",,"","T.G.Hartley",Unresolved,,L,WCSP (in review),,898893-1,"Gard. Bull. Singapore","34: 121","","1981",
tro-50101215,A,Rutaceae,,Tetradium,,"taiwanense",,"","(T. Yamaz.) T. Yamaz.",Synonym,,M,TRO,50101215,997100-1,"J. Jap. Bot.","72(4): 249","249","1997",tro-50101406
tro-50055053,A,Rutaceae,,Tetradium,,"trichotomum",,"","Lour.",Accepted,,M,TRO,50055053,775381-1,"Fl. Cochinch.","1: 91","91","1790",
