ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-100369746,A,Melastomataceae,,Tetrazygia,,"acunae",,"","Borhidi",Unresolved,,L,TRO,100369746,252008-2,"Acta Bot. Acad. Sci. Hung.","23(1–2): 38","38","1977",
ifn-80524,A,Melastomataceae,,Tetrazygia,,"adenophora",,"","Griseb.",Unresolved,,L,IPNI,576141-1,576141-1,"Abh. K","9: 53","","1861",
tro-100369749,A,Melastomataceae,,Tetrazygia,,"albicans",,"","Triana",Unresolved,,L,TRO,100369749,576142-1,"Trans. Linn. Soc. London","28(1): 100","100","",
tro-50074105,A,Melastomataceae,,Tetrazygia,,"ancistrophora",,"","C. Wright",Synonym,,M,TRO,50074105,285969-2,"Anales Acad. Ci. Med. Habana","5: 465","465","1868",tro-50074104
tro-100369841,A,Melastomataceae,,Tetrazygia,,"angustiflora",,"","Griseb.",Unresolved,,L,TRO,100369841,576145-1,"Abh. Königl. Ges. Wiss. Göttingen","9: 53","53","1861",
tro-20302122,A,Melastomataceae,,Tetrazygia,,"angustifolia",,"","(Sw.) DC.",Accepted,,M,TRO,20302122,1016423-2,"Prodr.","3: 172","172","1828",
tro-50178729,A,Melastomataceae,,Tetrazygia,,"argyrophylla",,"","(A. Rich.) Millsp.",Accepted,,M,TRO,50178729,252011-2,"Publ. Field Columb. Mus., Bot. Ser.","1(6): 431","431","1900",
tro-100369842,A,Melastomataceae,,Tetrazygia,,"aurea",,"","R.A. Howard & W.R. Briggs",Unresolved,,L,TRO,100369842,252012-2,"J. Arnold Arbor.","34: 183","183","1953",
tro-100369843,A,Melastomataceae,,Tetrazygia,,"barbata",,"","Borhidi",Unresolved,,L,TRO,100369843,252013-2,"Acta Bot. Acad. Sci. Hung.","23: 38–39","38","1977",
tro-20300238,A,Melastomataceae,,Tetrazygia,,"bicolor",,"","(Mill.) Cogn.",Accepted,,M,TRO,20300238,252014-2,"Monogr. Phan.","7: 724","724","1891",
tro-20302124,A,Melastomataceae,,Tetrazygia,,"biflora",,"","Urb.",Accepted,,M,TRO,20302124,1156941-2,"","","","",
tro-100001591,A,Melastomataceae,,Tetrazygia,,"brachycentra",,"","(Griseb.) C. Wright",Synonym,,M,TRO,100001591,576152-1,"Anales Acad. Ci. Med. Habana","5: 466","466","1868",tro-100370346
tro-100369846,A,Melastomataceae,,Tetrazygia,,"brevicollis",,"","Leonard",Unresolved,,L,TRO,100369846,252018-2,"J. Wash. Acad. Sci.","17: 70","70","1927",
tro-50074106,A,Melastomataceae,,Tetrazygia,,"cordata",,"","A. H. Liogier",Synonym,,M,TRO,50074106,,"Brittonia","20: 158","158","1978",tro-50074108
tro-100369847,A,Melastomataceae,,Tetrazygia,,"coriacea",,"","Urb.",Unresolved,,L,TRO,100369847,252021-2,"Repert. Spec. Nov. Regni Veg.","22: 225","225","1926",
tro-50187960,A,Melastomataceae,,Tetrazygia,,"cornifolia",,"","(Desr.) Griseb.",Accepted,,M,TRO,50187960,,"Fl. Brit. W. I.","255","255","1860",
tro-100369848,A,Melastomataceae,,Tetrazygia,,"cristalensis",,"","Borhidi",Unresolved,,L,TRO,100369848,252020-2,"Acta Bot. Acad. Sci. Hung.","23: 37–38","37","1977",
tro-20300239,A,Melastomataceae,,Tetrazygia,,"crotonifolia",,"","DC.",Unresolved,,L,TRO,20300239,,"","","","",
tro-100352995,A,Melastomataceae,,Tetrazygia,,"decorticans",,"","Becquer",Unresolved,,L,TRO,100352995,,"Willdenowia","37: 314","314","2007",
tro-100369850,A,Melastomataceae,,Tetrazygia,,"delicatula",,"","(A. Rich.) Borhidi",Accepted,,M,TRO,100369850,576159-1,"Acta Bot. Acad. Sci. Hung.","23(1–2): 37","37","1977",
ifn-70860,A,Melastomataceae,,Tetrazygia,,"deliculata",,"","Borhidi",Unresolved,,L,IPNI,252022-2,252022-2,"Acta Bot. Acad. Sci. Hung.","23: 37","","1977",
tro-20300240,A,Melastomataceae,,Tetrazygia,,"discolor",,"","(L.) DC.",Accepted,,M,TRO,20300240,,"Prodr.","3: 173","173","1828",
tro-100369854,A,Melastomataceae,,Tetrazygia,,"ekmanii",,"","Urb.",Synonym,,M,TRO,100369854,252025-2,"Repert. Spec. Nov. Regni Veg.","22: 222","222","1926",tro-100370351
tro-20302126,A,Melastomataceae,,Tetrazygia,,"eleagnoides",,"","(Sw.) DC.",Accepted,,M,TRO,20302126,30140581-2,"Prodr.","3: 172","172","1828",
tro-100369900,A,Melastomataceae,,Tetrazygia,,"elegans",,"","Urb.",Unresolved,,L,TRO,100369900,252027-2,"Symb. Antill.","9(1): 111","111","1923",
