ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50097249,A,Brassicaceae,,Thelypodium,,"affine",,"","Greene",Synonym,,M,TRO,50097249,251109-2,"Pittonia","4(25A): 314–315","314","1901",tro-4101507
tro-50097250,A,Brassicaceae,,Thelypodium,,"ambiguum",,"","S. Watson",Synonym,,M,TRO,50097250,251110-2,"Proc. Amer. Acad. Arts","14: 290","290","1879",tro-4101493
tro-50097252,A,Brassicaceae,,Thelypodium,,"amplifolium",,"","Greene",Synonym,,M,TRO,50097252,251111-2,"Erythea","4(11): 173","173","1896",tro-4101517
tro-50129667,A,Brassicaceae,,Thelypodium,,"anisopetalum",,"","Greene",Synonym,,M,TRO,50129667,251112-2,"Pittonia","3(17C): 247","247","1897",tro-4100589
tro-50004681,A,Brassicaceae,,Thelypodium,,"aureum",,"","Eastw.",Synonym,,M,TRO,50004681,251113-2,"Zoë","2(3): 227","227","1891",tro-4100640
tro-50130129,A,Brassicaceae,,Thelypodium,,"auriculatum",,"","(A. Gray) S. Watson",Synonym,,M,TRO,50130129,,"Proc. Amer. Acad. Arts","17: 321","321","1882",kew-2730268
tro-50158591,A,Brassicaceae,,Thelypodium,,"australe",,"","Brandegee",Synonym,,M,TRO,50158591,251114-2,"Zoë","5(10): 180","180","1904",tro-4102975
tro-50066575,A,Brassicaceae,,Thelypodium,,"bakeri",,"","Greene",Synonym,,M,TRO,50066575,251115-2,"Pl. Baker.","3: 8–9","8","1901",tro-4101495
tro-4101499,A,Brassicaceae,,Thelypodium,,"brachycarpum",,"","Torr.",Accepted,,M,TRO,4101499,290386-1,"U.S. Expl. Exped.","17(2): 231–232, pl. 1","231","1874",
tro-50109915,A,Brassicaceae,,Thelypodium,,"brachycarpum",var.,"crispum","(Greene ex Payson) Jeps.",Synonym,,L,TRO,50109915,251117-2,"Fl. Calif.","2(2): 40–41","40","1936",tro-4101500
tro-50004686,A,Brassicaceae,,Thelypodium,,"cooperi",,"","S. Watson",Synonym,,M,TRO,50004686,290387-1,"Proc. Amer. Acad. Arts","12: 246","246","1877",kew-2706016
tro-4104921,A,Brassicaceae,,Thelypodium,,"crenatum",,"","Greene",Synonym,,M,TRO,4104921,251119-2,"Pittonia","4(20C): 20","20","1899",tro-50097253
tro-4101500,A,Brassicaceae,,Thelypodium,,"crispum",,"","Greene ex Payson",Accepted,,M,TRO,4101500,1091079-2,"Ann. Missouri Bot. Gard.","9(3): 264–265","264","1922",
kew-2437493,A,Brassicaceae,,Thelypodium,,"deserti",,"","M.E.Jones",Synonym,,M,WCSP (in review),,251121-2,"Contr. W. Bot.","12: 1","","1908",kew-2476435
kew-2437494,A,Brassicaceae,,Thelypodium,,"diehlii",,"","M.E.Jones",Unresolved,,L,WCSP (in review),,251122-2,"Contr. W. Bot.","12: 2","","1908",
tro-50066576,A,Brassicaceae,,Thelypodium,,"elegans",,"","M.E. Jones",Synonym,,M,TRO,50066576,251123-2,"Zoë","4(3): 265–266","265","1893",tro-4101495
tro-4101501,A,Brassicaceae,,Thelypodium,,"eucosmum",,"","B.L. Rob.",Accepted,,M,TRO,4101501,251124-2,"Syn. Fl. N. Amer.","1(1[1]): 175","175","1895",
kew-2437497,A,Brassicaceae,,Thelypodium,,"flavescens",,"","Jeps.",Unresolved,,L,WCSP (in review),,1136240-2,"Fl. W. Calif.","212","","1901",
kew-2437505,A,Brassicaceae,,Thelypodium,,"flavescens",,"","S.Watson",Unresolved,,L,WCSP (in review),,251125-2,"Botany [Fortieth Parallel]","25","","1871",
tro-50095064,A,Brassicaceae,,Thelypodium,,"flexicaule",,"","(Dusén) Gilg & Muschl.",Synonym,,M,TRO,50095064,,"","","","",kew-2718250
tro-4101502,A,Brassicaceae,,Thelypodium,,"flexuosum",,"","B.L. Rob.",Accepted,,M,TRO,4101502,251128-2,"Syn. Fl. N. Amer.","1(1[1]): 175","175","1895",
tro-50109914,A,Brassicaceae,,Thelypodium,,"gracilipes",,"","(B.L. Rob.) Rydb.",Synonym,,M,TRO,50109914,251129-2,"Fl. Colorado","167","167","1906",tro-50130380
tro-50109912,A,Brassicaceae,,Thelypodium,,"greenei",,"","Jeps.",Synonym,,M,TRO,50109912,251130-2,"Fl. W. Calif.","212","212","1901",kew-2834957
tro-50094774,A,Brassicaceae,,Thelypodium,,"harmsianum",,"","Muschl.",Synonym,,M,TRO,50094774,251131-2,"Bot. Jahrb. Syst.","40: 267","267","1908",tro-50094775
tro-50094777,A,Brassicaceae,,Thelypodium,,"harmsianum",var.,"dentatum","Muschl.",Synonym,,L,TRO,50094777,251132-2,"Bot. Jahrb. Syst.","40: 268","268","1908",tro-50094775
tro-50109911,A,Brassicaceae,,Thelypodium,,"hookeri",,"","Greene",Synonym,,M,TRO,50109911,251133-2,"Fl. Francisc.","2: 263","263","1891",kew-2834957
tro-4101503,A,Brassicaceae,,Thelypodium,,"howellii",,"","S. Watson",Accepted,,M,TRO,4101503,251134-2,"Proc. Amer. Acad. Arts","21(2): 445","445","1886",
tro-4105204,A,Brassicaceae,,Thelypodium,,"howellii",subsp.,"howellii","",Synonym,,L,TRO,4105204,,"","","","",tro-4101503
tro-50295163,A,Brassicaceae,,Thelypodium,,"howellii",var.,"howellii","",Synonym,,L,TRO,50295163,,"","","","",tro-4101503
tro-4101504,A,Brassicaceae,,Thelypodium,,"howellii",var.,"spectabilis","M. Peck",Synonym,,L,TRO,4101504,251135-2,"Torreya","32(6): 150","150","1932",tro-50130377
tro-50130377,A,Brassicaceae,,Thelypodium,,"howellii",subsp.,"spectabilis","(M. Peck) Al-Shehbaz",Accepted,,L,TRO,50130377,251136-2,"Contr. Gray Herb.","204: 116","116","1973",
tro-4101505,A,Brassicaceae,,Thelypodium,,"integrifolium",,"","(Nutt.) Endl.",Accepted,,M,TRO,4101505,290401-1,"Repert. Bot. Syst.","1: 172","172","1842",
tro-4101507,A,Brassicaceae,,Thelypodium,,"integrifolium",subsp.,"affine","(Greene) Al-Shehbaz",Accepted,,L,TRO,4101507,251140-2,"Contr. Gray Herb.","204: 110","110","1973",
tro-4101506,A,Brassicaceae,,Thelypodium,,"integrifolium",var.,"gracilipes","B.L. Rob.",Synonym,,L,TRO,4101506,251139-2,"Syn. Fl. N. Amer.","1(1[1]): 176","176","1895",tro-50130380
tro-50130380,A,Brassicaceae,,Thelypodium,,"integrifolium",subsp.,"gracilipes","(B.L. Rob.) Al-Shehbaz",Accepted,,L,TRO,50130380,879368-1,"Contr. Gray Herb.","204: 108","108","1973",
tro-50131461,A,Brassicaceae,,Thelypodium,,"integrifolium",subsp.,"integrifolium","",Synonym,,L,TRO,50131461,,"","","","",tro-4101505
tro-50294371,A,Brassicaceae,,Thelypodium,,"integrifolium",var.,"integrifolium","",Synonym,,L,TRO,50294371,,"","","","",tro-4101505
tro-4102698,A,Brassicaceae,,Thelypodium,,"jaegeri",,"","Rollins",Synonym,,M,TRO,4102698,251144-2,"Contr. Dudley Herb.","3(5): 174–175, pl. 46, f. 3","174","1941",tro-50292792
kew-2437489,A,Brassicaceae,,Thelypodium,,"laciniatum",,"","Endl.",Accepted,,M,WCSP (in review),,290403-1,"Repert. Bot. Syst.","1: 172","","1842",
tro-4102559,A,Brassicaceae,,Thelypodium,,"laciniatum",var.,"laciniatum","",Synonym,,L,TRO,4102559,,"","","","",kew-2437489
tro-4102558,A,Brassicaceae,,Thelypodium,,"laciniatum",var.,"milleflorum","(A. Nelson) Payson",Synonym,,L,TRO,4102558,,"Ann. Missouri Bot. Gard.","9(3): 274","274","1922",tro-4101513
tro-4102557,A,Brassicaceae,,Thelypodium,,"laciniatum",var.,"streptanthoides","(Leiberg ex Piper) Payson",Synonym,,L,TRO,4102557,,"Ann. Missouri Bot. Gard.","9(3): 274","274","1922",kew-2437489
tro-4102275,A,Brassicaceae,,Thelypodium,,"lasiophyllum",,"","(Hook. & Arn.) Greene",Synonym,,M,TRO,4102275,251147-2,"Bull. Torrey Bot. Club","13(8): 142","142","1886",kew-2834961
tro-4102566,A,Brassicaceae,,Thelypodium,,"lasiophyllum",var.,"inalienum","B.L. Rob.",Synonym,,L,TRO,4102566,251148-2,"Syn. Fl. N. Amer.","1(1[1]): 177","177","1895",kew-2834961
tro-4102568,A,Brassicaceae,,Thelypodium,,"lasiophyllum",var.,"utahense","(Rydb.) Jeps.",Synonym,,L,TRO,4102568,251150-2,"Man. Fl. Pl. Calif.","413","413","1925",kew-2834961
tro-50128306,A,Brassicaceae,,Thelypodium,,"lasiophyllum",f.,"xerophyllum","(E. Fourn.) Thell.",Synonym,,L,TRO,50128306,251151-2,"Mitt. Bot. Mus. Univ. Zürich","83: 735","735","1919",kew-2834961
tro-4101511,A,Brassicaceae,,Thelypodium,,"laxiflorum",,"","Al-Shehbaz",Accepted,,M,TRO,4101511,251152-2,"Contr. Gray Herb.","204: 129–132, pl. 22(A)","129","1973",
tro-4101512,A,Brassicaceae,,Thelypodium,,"lemmonii",,"","Greene",Synonym,,M,TRO,4101512,251153-2,"W. Amer. Sci.","3(28): 156–157","156","1887",kew-2834962
tro-50066573,A,Brassicaceae,,Thelypodium,,"leptosepalum",,"","Rydb.",Synonym,,M,TRO,50066573,251154-2,"Bull. Torrey Bot. Club","34(8): 433","433","1907",kew-2437489
tro-50080179,A,Brassicaceae,,Thelypodium,,"lilacinum",,"","Greene",Synonym,,M,TRO,50080179,251155-2,"Pl. Baker.","3: 9","9","1901",tro-4101505
tro-50004705,A,Brassicaceae,,Thelypodium,,"linearifolium",,"","(A. Gray) S. Watson",Synonym,,M,TRO,50004705,290409-1,"Botany (Fortieth Parallel)","25","25","1871",tro-50066585
tro-4101025,A,Brassicaceae,,Thelypodium,,"lobatum",,"","Brandegee",Synonym,,M,TRO,4101025,251157-2,"Univ. Calif. Publ. Bot.","4(11): 178","178","1911",kew-2730268
tro-4105221,A,Brassicaceae,,Thelypodium,,"longifolium",,"","(Benth.) S. Watson",Synonym,,M,TRO,4105221,1011350-2,"Botany (Fortieth Parallel)","25","25","1871",tro-4100589
tro-50095027,A,Brassicaceae,,Thelypodium,,"longifolium",var.,"catalinense","M.E. Jones",Synonym,,L,TRO,50095027,251158-2,"Contr. W. Bot.","12: 2","2","1908",tro-4101412
tro-50204331,A,Brassicaceae,,Thelypodium,,"longipes",,"","(Rollins) Rollins",Accepted,,M,TRO,50204331,251159-2,"Contr. Gray Herb.","206: 16","16","1976",
tro-50109954,A,Brassicaceae,,Thelypodium,,"longirostre",,"","(S. Watson) Jeps.",Synonym,,M,TRO,50109954,1036164-2,"Man. Fl. Pl. Calif.","413","413","1925",tro-4100628
tro-100359999,A,Brassicaceae,,Thelypodium,,"longirostris",,"","(S. Watson) Jeps.",Synonym,,M,TRO,100359999,,"Man. Fl. Pl. Calif.","413.","413.","1925",tro-4100628
tro-50109951,A,Brassicaceae,,Thelypodium,,"macropetalum",,"","Rydb.",Synonym,,M,TRO,50109951,251161-2,"Bull. Torrey Bot. Club","29(4): 233","233","1902",tro-4101517
tro-4101640,A,Brassicaceae,,Thelypodium,,"macrorrhizum",,"","Muschl.",Synonym,,M,TRO,4101640,251162-2,"Bot. Jahrb. Syst.","40: 268","268","1908",tro-50303888
tro-100359998,A,Brassicaceae,,Thelypodium,,"mexicanum",,"","Brandegee",Synonym,,M,TRO,100359998,251163-2,"Zoë","5: 179.","179.","1905",tro-4102975
tro-50066588,A,Brassicaceae,,Thelypodium,,"micranthum",,"","(A. Gray) S. Watson",Synonym,,M,TRO,50066588,1017353-2,"Proc. Amer. Acad. Arts","17: 321","321","1882",tro-4101412
tro-4101513,A,Brassicaceae,,Thelypodium,,"milleflorum",,"","A. Nelson",Accepted,,M,TRO,4101513,251164-2,"Bot. Gaz.","52(4): 263","263","1911",
kew-2437527,A,Brassicaceae,,Thelypodium,,"neglectum",,"","M.E.Jones",Unresolved,,L,WCSP (in review),,,"Amer. Naturalist","17: 875","","1883",
tro-50097248,A,Brassicaceae,,Thelypodium,,"nuttallii",,"","S. Watson",Synonym,,M,TRO,50097248,290419-1,"Botany (Fortieth Parallel)","26","26","1871",tro-4101517
tro-4102858,A,Brassicaceae,,Thelypodium,,"ovalifolium",,"","Rydb.",Synonym,,M,TRO,4102858,285996-2,"Bull. Torrey Bot. Club","30(4): 253","253","1903",tro-4101518
tro-50187744,A,Brassicaceae,,Thelypodium,,"pallidum",,"","Rose",Synonym,,M,TRO,50187744,251167-2,"Contr. U.S. Natl. Herb.","8(4): 294","294","1905",tro-50145909
tro-50066572,A,Brassicaceae,,Thelypodium,,"palmeri",,"","Rydb.",Synonym,,M,TRO,50066572,251168-2,"Bull. Torrey Bot. Club","34(8): 432–433","432","1907",tro-4101518
tro-4101514,A,Brassicaceae,,Thelypodium,,"paniculatum",,"","A. Nelson",Accepted,,M,TRO,4101514,251169-2,"Bull. Torrey Bot. Club","26(3): 126","126","1899",
kew-2437533,A,Brassicaceae,,Thelypodium,,"paysonii",,"","Rollins",Synonym,,M,WCSP (in review),,251170-2,"Rhodora","59: 61","","1957",kew-2607015
tro-50154360,A,Brassicaceae,,Thelypodium,,"petiolatum",,"","Hemsl.",Synonym,,M,TRO,50154360,251171-2,"Diagn. Pl. Nov. Mexic.","1: 2","2","1878",tro-50003375
tro-50129215,A,Brassicaceae,,Thelypodium,,"pinnatifidum",,"","(Michx.) S. Watson",Synonym,,L,TRO,50129215,290426-1,"Botany (Fortieth Parallel)","25","25","1871",tro-4101315
tro-50109949,A,Brassicaceae,,Thelypodium,,"procerum",,"","(Brewer ex A. Gray) Greene",Accepted,,M,TRO,50109949,251172-2,"Fl. Francisc.","2: 263","263","1891",
tro-4101009,A,Brassicaceae,,Thelypodium,,"purpusii",,"","Brandegee",Synonym,,M,TRO,4101009,251173-2,"Zoë","5(11A): 232","232","1906",tro-4101496
tro-4101515,A,Brassicaceae,,Thelypodium,,"repandum",,"","Rollins",Accepted,,M,TRO,4101515,251174-2,"Contr. Dudley Herb.","3(11): 371–372","371","1946",
tro-50109934,A,Brassicaceae,,Thelypodium,,"rhomboideum",,"","Greene",Synonym,,M,TRO,50109934,251175-2,"Pittonia","4(25A): 314","314","1901",tro-4101507
tro-50109933,A,Brassicaceae,,Thelypodium,,"rhomboideum",var.,"gracilipes","(B.L. Rob.) Payson",Synonym,,L,TRO,50109933,,"Ann. Missouri Bot. Gard.","9(3): 277","277","1922",tro-50130380
tro-50109936,A,Brassicaceae,,Thelypodium,,"rigidum",,"","Greene",Synonym,,M,TRO,50109936,251177-2,"Pittonia","1(4): 62–63","62","1887",kew-2834961
tro-4101516,A,Brassicaceae,,Thelypodium,,"rollinsii",,"","Al-Shehbaz",Accepted,,M,TRO,4101516,,"Contr. Gray Herb.","204: 97–99, pl. 1, f. 1 [left], pl. 3 [upper center], pl. 6, f. 7, pl. 17, f. 2, pl. 18, f. 1–2, pl. 20, f. 2, map 3","97","1973",
tro-4101517,A,Brassicaceae,,Thelypodium,,"sagittatum",,"","(Nutt.) Endl.",Accepted,,M,TRO,4101517,290433-1,"Repert. Bot. Syst.","1: 172","172","1842",
tro-50109939,A,Brassicaceae,,Thelypodium,,"sagittatum",var.,"crassicarpum","Payson",Synonym,,L,TRO,50109939,251180-2,"Ann. Missouri Bot. Gard.","9(3): 269–270","269","1923",tro-4101514
tro-4101518,A,Brassicaceae,,Thelypodium,,"sagittatum",subsp.,"ovalifolium","(Rydb.) Al-Shehbaz",Accepted,,L,TRO,4101518,251181-2,"Contr. Gray Herb.","204: 121","121","1973",
tro-50130394,A,Brassicaceae,,Thelypodium,,"sagittatum",var.,"ovalifolium","(Rydb.) S.L. Welsh & Reveal",Unresolved,,L,TRO,50130394,251182-2,"Great Basin Naturalist","35(4): 343","343","1975",
tro-50131460,A,Brassicaceae,,Thelypodium,,"sagittatum",subsp.,"sagittatum","",Synonym,,L,TRO,50131460,,"","","","",tro-4101517
tro-4103085,A,Brassicaceae,,Thelypodium,,"sagittatum",var.,"vermicularis","S.L. Welsh & Reveal",Synonym,,L,TRO,4103085,879372-1,"Great Basin Naturalist","37(3): 358","358","1977",tro-50124974
tro-50124691,A,Brassicaceae,,Thelypodium,,"salsugineum",,"","(Pall.) B.L. Rob.",Synonym,,M,TRO,50124691,251184-2,"Syn. Fl. N. Amer.","1(1[1]): 175","175","1895",kew-2805512
tro-50109940,A,Brassicaceae,,Thelypodium,,"simplex",,"","Greene",Synonym,,M,TRO,50109940,251185-2,"Pittonia","4(23): 200","200","1900",tro-4101503
tro-50090539,A,Brassicaceae,,Thelypodium,,"stamineum",,"","Eastw.",Synonym,,M,TRO,50090539,251186-2,"Leafl. W. Bot.","2(1): 7","7","1937",kew-2706038
tro-4101519,A,Brassicaceae,,Thelypodium,,"stenopetalum",,"","S. Watson",Accepted,,M,TRO,4101519,251187-2,"Proc. Amer. Acad. Arts","22(2): 468–469","468","1887",
tro-50109942,A,Brassicaceae,,Thelypodium,,"streptanthoides",,"","Leiberg ex Piper",Synonym,,M,TRO,50109942,251188-2,"Contr. U.S. Natl. Herb.","11: 299","299","1906",kew-2437489
tro-4102860,A,Brassicaceae,,Thelypodium,,"suffrutescens",,"","Rollins",Synonym,,M,TRO,4102860,285998-2,"Ann. Carnegie Mus.","26: 224–225","224","1937",tro-50292793
kew-2437519,A,Brassicaceae,,Thelypodium,,"tenue",,"","Rollins",Accepted,,M,WCSP (in review),,251190-2,"Rhodora","59: 64","","1957",
tro-4101521,A,Brassicaceae,,Thelypodium,,"texanum",,"","(Cory) Rollins",Accepted,,M,TRO,4101521,251191-2,"Contr. Dudley Herb.","3(11): 371","371","1946",
kew-2437491,A,Brassicaceae,,Thelypodium,,"torulosum",,"","A.Heller",Unresolved,,L,WCSP (in review),,251192-2,"Bull. Torrey Bot. Club","25: 265","","1898",
kew-2437603,A,Brassicaceae,,Thelypodium,,"tularense",,"","M.E.Jones",Unresolved,,L,WCSP (in review),,315650-2,"Contr. W. Bot.","18: 21","","1933",
tro-50109927,A,Brassicaceae,,Thelypodium,,"utahense",,"","Rydb.",Synonym,,M,TRO,50109927,251193-2,"Bull. Torrey Bot. Club","29(4): 233","233","1902",kew-2834961
tro-50109928,A,Brassicaceae,,Thelypodium,,"vaseyi",,"","J.M. Coult.",Synonym,,M,TRO,50109928,251194-2,"Contr. U.S. Natl. Herb.","1(2): 30","30","1890",tro-4101497
tro-50109328,A,Brassicaceae,,Thelypodium,,"vernale",,"","Wooton & Standl.",Synonym,,M,TRO,50109328,251195-2,"Contr. U.S. Natl. Herb.","16(4): 128","128","1913",tro-4101496
tro-4101010,A,Brassicaceae,,Thelypodium,,"versicolor",,"","Brandegee",Synonym,,M,TRO,4101010,251196-2,"Univ. Calif. Publ. Bot.","4: 178","178","1911",tro-50204382
tro-4101522,A,Brassicaceae,,Thelypodium,,"wrightii",,"","A. Gray",Accepted,,M,TRO,4101522,290448-1,"Smithsonian Contr. Knowl.","3(5): 7–8","7","1852",
tro-4101523,A,Brassicaceae,,Thelypodium,,"wrightii",subsp.,"oklahomensis","Al-Shehbaz",Synonym,,L,TRO,4101523,251198-2,"Contr. Gray Herb.","204: 128–129, map 5","128","1973",tro-4101522
tro-50109931,A,Brassicaceae,,Thelypodium,,"wrightii",var.,"tenellum","M.E. Jones",Synonym,,L,TRO,50109931,251199-2,"Proc. Calif. Acad. Sci., ser. 2,","5(18): 622–623","622","1895",tro-4101511
