ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2513835,A,Santalaceae,,Thesium,,"abietinum",,"","Schltr.",Unresolved,,L,WCSP (in review),,780684-1,"J. Bot.","35: 282","","1897",
tro-28500091,A,Santalaceae,,Thesium,,"acuminatum",,"","A.W. Hill",Accepted,,M,TRO,28500091,780685-1,"Bull. Misc. Inform. Kew","1915: 22","22","1915",
tro-28500092,A,Santalaceae,,Thesium,,"acutissimum",,"","A. DC.",Accepted,,M,TRO,28500092,,"","","","",
kew-2513832,A,Santalaceae,,Thesium,,"adpressifolium",,"","Sond.",Unresolved,,L,WCSP (in review),,780687-1,"Flora","40: 358","","1857",
kew-2513831,A,Santalaceae,,Thesium,,"adulterinum",,"","Montandon",Unresolved,,L,WCSP (in review),,,"Syn. Fl. Jura","ed. 2: 286","","1868",
tro-28500410,A,Santalaceae,,Thesium,,"aellenianum",,"","Lawalrée",Accepted,,M,TRO,28500410,,"Bull. Jard. Bot. Belg.","55(12): 18 (1985)","18","1985",
tro-28500386,A,Santalaceae,,Thesium,,"affine",,"","Schltr.",Accepted,,M,TRO,28500386,,"Bot. Jaarb.","Syst 27: 115.","115","",
kew-2513828,A,Santalaceae,,Thesium,,"afghanicum",,"","Hendrych",Unresolved,,L,WCSP (in review),,780690-1,"Acta Horti Bot. Prag.","1962: 109","","1962",
tro-28500093,A,Santalaceae,,Thesium,,"aggregatum",,"","A.W. Hill",Accepted,,M,TRO,28500093,780691-1,"Bull. Misc. Inform. Kew","1915: 22","22","1915",
kew-2514528,A,Santalaceae,,Thesium,,"alatavicum",,"","Kar. & Kir.",Unresolved,,L,WCSP (in review),,780692-1,"Bull. Soc. Imp. Naturalistes Moscou","15: 445","","1842",
tro-28500094,A,Santalaceae,,Thesium,,"alatum",,"","Hilliard & B.L. Burtt",Accepted,,M,TRO,28500094,,"","","","",
tro-28500095,A,Santalaceae,,Thesium,,"albomontanum",,"","Compton",Accepted,,M,TRO,28500095,,"","","","",
kew-2514671,A,Santalaceae,,Thesium,,"alpinum",,"","L.",Accepted,,M,WCSP (in review),,780697-1,"Sp. Pl.","207","","1753",
kew-2514731,A,Santalaceae,,Thesium,,"ambiguum",,"","Ten.",Unresolved,,L,WCSP (in review),,780698-1,"Fl. Napol.","3: 312","","1829",
kew-2514649,A,Santalaceae,,Thesium,,"amblystachyum",,"","A.DC.",Unresolved,,L,WCSP (in review),,780699-1,"Esp. Nouv. Thesium","6","","1857",
tro-28500411,A,Santalaceae,,Thesium,,"amicorum",,"","Lawalrée",Accepted,,M,TRO,28500411,,"Bull. Jard. Bot. Belg.","55(12): 18 (1985)","18","1985",
kew-2514789,A,Santalaceae,,Thesium,,"amplexicaule",,"","L.",Unresolved,,L,WCSP (in review),,780700-1,"Mant. Pl.","2: 213","","1771",
kew-2514788,A,Santalaceae,,Thesium,,"andongense",,"","Hiern",Accepted,,M,WCSP (in review),,780701-1,"Cat. Afr. Pl.","1: 987","","1900",
kew-2514787,A,Santalaceae,,Thesium,,"angolense",,"","Pilg.",Accepted,,M,WCSP (in review),,780702-1,"Bot. Jahrb. Syst.","40: 58","","1907",
tro-28500096,A,Santalaceae,,Thesium,,"angulosum",,"","DC.",Accepted,,M,TRO,28500096,780703-1,"Esp. Nouv. Thes.","2","1857","1857",
tro-28500097,A,Santalaceae,,Thesium,,"annulatum",,"","A.W. Hill",Accepted,,M,TRO,28500097,780704-1,"Bull. Misc. Inform. Kew","1915: 23","23","1915",
tro-28500414,A,Santalaceae,,Thesium,,"annuum",,"","Lawalrée",Accepted,,M,TRO,28500414,,"Bull. Jard. Bot. Belg.","55(12): 19 (1985)","19","1985",
tro-50283048,A,Santalaceae,,Thesium,,"aphyllum",,"","Mart. ex A. DC.",Accepted,,M,TRO,50283048,780705-1,"Prodr.","14(2): 671","671","1857",
kew-2514525,A,Santalaceae,,Thesium,,"apiculatum",,"","Sond.",Unresolved,,L,WCSP (in review),,780706-1,"Flora","40: 357","","1857",
tro-28500098,A,Santalaceae,,Thesium,,"archeri",,"","Compton",Accepted,,M,TRO,28500098,,"","","","",
kew-2514523,A,Santalaceae,,Thesium,,"aristatum",,"","Schltr.",Unresolved,,L,WCSP (in review),,780708-1,"Bot. Jahrb. Syst.","27: 116","","1899",
kew-2514583,A,Santalaceae,,Thesium,,"arvense",,"","Horv.",Accepted,,M,WCSP (in review),,780709-1,"Fl. Tyrnav. Indig.","1: 27","","1774",
tro-28500099,A,Santalaceae,,Thesium,,"asperifolium",,"","A.W. Hill",Accepted,,M,TRO,28500099,780710-1,"Bull. Misc. Inform. Kew","1915: 23","23","1915",
kew-2514561,A,Santalaceae,,Thesium,,"asperulum",,"","Boiss. & Buhse",Unresolved,,L,WCSP (in review),,780711-1,"Nouv. Mém. Soc. Imp. Naturalistes Moscou","12: 194","","1860",
kew-2514626,A,Santalaceae,,Thesium,,"assimile",,"","Sond.",Unresolved,,L,WCSP (in review),,780712-1,"Flora","40: 360","","1857",
tro-28500100,A,Santalaceae,,Thesium,,"asterias",,"","A.W. Hill",Accepted,,M,TRO,28500100,780713-1,"Bull. Misc. Inform. Kew","1915: 23","23","1915",
kew-2513859,A,Santalaceae,,Thesium,,"atrum",,"","A.W.Hill",Accepted,,M,WCSP (in review),,780714-1,"Bull. Misc. Inform. Kew","1910: 182","","1910",
tro-50169349,A,Santalaceae,,Thesium,,"aureum",,"","Jaub.",Synonym,,L,TRO,50169349,,"","","","",kew-2720324
kew-2513867,A,Santalaceae,,Thesium,,"auriculatum",,"","Vandas",Accepted,,M,WCSP (in review),,780716-1,"Sitzungsber. Königl. Böhm. Ges. Wiss., Math.-Naturwiss. Cl.","1890-1891: 279","","1890",
tro-50155583,A,Santalaceae,,Thesium,,"australe",,"","R. Br.",Accepted,,M,TRO,50155583,780717-1,"Prodr.","1: 353","353","1810",
tro-28500416,A,Santalaceae,,Thesium,,"bangweolense",,"","R.E. Fr.",Accepted,,M,TRO,28500416,,"Wiss. Erg. Schwed. Rhod.-Kongo-Exped.","21 (1914)","21","1914",
kew-2513863,A,Santalaceae,,Thesium,,"basninianum",,"","Turcz.",Unresolved,,L,WCSP (in review),,780720-1,"Bull. Soc. Imp. Naturalistes Moscou","25(2): 470","","1852",
tro-28500101,A,Santalaceae,,Thesium,,"bathyschistum",,"","Schltr.",Accepted,,M,TRO,28500101,,"Bot. Jaarb.","Syst 27: 116.","116","",
kew-2513861,A,Santalaceae,,Thesium,,"bavarum",,"","Schrank",Accepted,,M,WCSP (in review),,780722-1,"Baier. Reise","129","","1786",
tro-28500417,A,Santalaceae,,Thesium,,"bequaertii",,"","Robyns & Lawalrée",Accepted,,M,TRO,28500417,,"","","","",
kew-2513848,A,Santalaceae,,Thesium,,"bergeri",,"","Zucc.",Accepted,,M,WCSP (in review),,780724-1,"Abh. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss.","2: 324","","1837",
kew-2513858,A,Santalaceae,,Thesium,,"bertramii",,"","Azn.",Unresolved,,L,WCSP (in review),,780725-1,"Magyar Bot. Lapok","17: 66","","1918 publ. 1919",
