ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-28600930,A,Sapindaceae,,Thouinia,,"acuminata",,"","S. Watson",Accepted,,M,TRO,28600930,252733-2,"Proc. Amer. Acad. Arts","25: 145","145","1890",
tro-28601640,A,Sapindaceae,,Thouinia,,"acuminata",var.,"pubicalyx","Radlk.",Synonym,,L,TRO,28601640,252734-2,"Bot. Gaz.","18(6): 200","200","1893",tro-28600930
kew-2520420,A,Sapindaceae,,Thouinia,,"acunae",,"","Borhidi & O.Muñiz",Unresolved,,L,WCSP (in review),,252735-2,"Acta Bot. Acad. Sci. Hung.","21: 222","","1975 publ. 1976",
kew-2520419,A,Sapindaceae,,Thouinia,,"adenophora",,"","Miq.",Unresolved,,L,WCSP (in review),,785364-1,"Pl. Preiss.","1: 224","","1845",kew-2773835
kew-2520407,A,Sapindaceae,,Thouinia,,"australis",,"","A.Rich.",Unresolved,,L,WCSP (in review),,785365-1,"Voy. Astrolabe","2: 31","","1834",kew-2664507
kew-2520417,A,Sapindaceae,,Thouinia,,"baracoensis",,"","Borhidi",Unresolved,,L,WCSP (in review),,252736-2,"Acta Bot. Acad. Sci. Hung.","22: 309","","1976 publ. 1977",
kew-2520427,A,Sapindaceae,,Thouinia,,"brachybotrya",,"","Donn.Sm.",Accepted,,M,WCSP (in review),,252737-2,"Bot. Gaz.","52: 45","","1911",
kew-2520415,A,Sapindaceae,,Thouinia,,"canescens",,"","Radlk.",Unresolved,,L,WCSP (in review),,785368-1,"Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München","8: 281","","1878",
kew-2520414,A,Sapindaceae,,Thouinia,,"clarensis",,"","Lippold",Unresolved,,L,WCSP (in review),,252738-2,"Feddes Repert.","85: 620","","1974",
kew-2520413,A,Sapindaceae,,Thouinia,,"cubensis",,"","Radlk.",Unresolved,,L,WCSP (in review),,252739-2,"Symb. Antill.","9: 75","","1923",
kew-2520412,A,Sapindaceae,,Thouinia,,"decandra",,"","Humb. & Bonpl.",Synonym,,M,WCSP (in review),,785371-1,"Pl. Aequinoct.","1: 198","","1808",kew-2520479
