ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-446673,A,Poaceae,,Trachypogon,,"angustifolius",,"","Nees",Synonym,,H,WCSP,446673,424342-1,"Fl. Bras. Enum. Pl.","2: 342","","1829",kew-446747
tro-50090958,A,Poaceae,,Trachypogon,,"angustifolius",,"","E. Fourn. ex Hemsl.",Accepted,,M,TRO,50090958,424343-1,"Biol. Cent.-Amer., Bot.","3(19): 522","522","1885",
kew-446674,A,Poaceae,,Trachypogon,,"argenteus",,"","(DC.) Nees",Synonym,,H,WCSP,446674,424345-1,"Fl. Bras. Enum. Pl.","2: 348","","1829",kew-399371
kew-446675,A,Poaceae,,Trachypogon,,"avenaceus",,"","Nees",Synonym,Illegitimate,H,WCSP,446675,424347-1,"Fl. Bras. Enum. Pl.","2: 354","","1829",kew-443460
kew-446676,A,Poaceae,,Trachypogon,,"canescens",,"","Nees",Synonym,,H,WCSP,446676,424348-1,"Fl. Bras. Enum. Pl.","2: 343","","1829",kew-446747
kew-446677,A,Poaceae,,Trachypogon,,"capensis",,"","Trin.",Synonym,Illegitimate,H,WCSP,446677,424349-1,"Mém. Acad. Imp. Sci. St.-Pétersbourg, Sér. 6, Sci. Math.","2: 257","","1833",kew-446747
kew-446680,A,Poaceae,,Trachypogon,,"chevalieri",,"","(Stapf) Jacq.-Fél.",Accepted,,H,WCSP,446680,424350-1,"J. Agric. Trop. Bot. Appl.","1: 60","","1954",
kew-446681,A,Poaceae,,Trachypogon,,"dactyloides",,"","(Steud.) E.Fourn.",Synonym,,H,WCSP,446681,424352-1,"Mexic. Pl.","2: 66","","1886",kew-446747
tro-25521306,A,Poaceae,,Trachypogon,,"dactyloides",,"","(Steud.) E. Fourn. ex Hemsl.",Synonym,,M,TRO,25521306,424351-1,"Biol. Cent.-Amer., Bot.","3(19): 523","523","1885",kew-446747
kew-446682,A,Poaceae,,Trachypogon,,"densus",,"","Swallen",Synonym,,H,WCSP,446682,255846-2,"Phytologia","14: 94","","1966",kew-446747
