ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2519978,A,Scrophulariaceae,,Trieenea,,"elsiae",,"","Hilliard",Unresolved,,L,WCSP (in review),,936630-1,"Notes Roy. Bot. Gard. Edinburgh","45: 489","","1988 publ. 1989",
kew-2519977,A,Scrophulariaceae,,Trieenea,,"frigida",,"","Hilliard",Unresolved,,L,WCSP (in review),,936631-1,"Notes Roy. Bot. Gard. Edinburgh","45: 489","","1988 publ. 1989",
tro-50005681,A,Scrophulariaceae,,Trieenea,,"glutinosa",,"","Hilliard",Accepted,,M,TRO,50005681,,"","","","",
kew-2519975,A,Scrophulariaceae,,Trieenea,,"lanciloba",,"","Hilliard",Unresolved,,L,WCSP (in review),,936632-1,"Notes Roy. Bot. Gard. Edinburgh","45: 489","","1988 publ. 1989",
kew-2519974,A,Scrophulariaceae,,Trieenea,,"lasiocephala",,"","Hilliard",Unresolved,,L,WCSP (in review),,936633-1,"Notes Roy. Bot. Gard. Edinburgh","45: 490","","1988 publ. 1989",
kew-2519973,A,Scrophulariaceae,,Trieenea,,"laxiflora",,"","Hilliard",Unresolved,,L,WCSP (in review),,936634-1,"Notes Roy. Bot. Gard. Edinburgh","45: 490","","1988 publ. 1989",
kew-2519972,A,Scrophulariaceae,,Trieenea,,"longipedicellata",,"","Hilliard",Unresolved,,L,WCSP (in review),,936635-1,"Notes Roy. Bot. Gard. Edinburgh","45: 490","","1988 publ. 1989",
kew-2905307,A,Scrophulariaceae,,Trieenea,,"occulta",,"","J.C.Manning & Goldblatt",Unresolved,,L,WCSP (in review),,77109055-1,"Bothalia","40: 85","","2010",
tro-100354800,A,Scrophulariaceae,,Trieenea,,"schlechteri",,"","(Hiern) Hilliard",Accepted,,M,TRO,100354800,946443-1,"Notes Roy. Bot. Gard. Edinburgh","45(3): 490","490","1988",
tro-50005680,A,Scrophulariaceae,,Trieenea,,"taylorii",,"","Hilliard",Accepted,,M,TRO,50005680,,"","","","",
