ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-208979,A,Orchidaceae,,Triphora,,"amazonica",,"","Schltr.",Accepted,,H,WCSP,208979,258566-2,"Beih. Bot. Centralbl.","42(2): 75","","1925",
kew-208980,A,Orchidaceae,,Triphora,,"carnosula",,"","(Rchb.f.) Schltr.",Accepted,,H,WCSP,208980,258567-2,"Beih. Bot. Centralbl.","42(2): 76","","1925",
kew-208981,A,Orchidaceae,,Triphora,,"craigheadii",,"","Luer",Accepted,,H,WCSP,208981,258569-2,"Brittonia","18: 243","","1966",
kew-208982,A,Orchidaceae,,Triphora,,"cubensis",,"","(Rchb.f.) Ames",Synonym,,H,WCSP,208982,258568-2,"Schedul. Orchid.","7: 35","","1924",kew-208986
kew-208983,A,Orchidaceae,,Triphora,,"debilis",,"","(Schltr.) Schltr.",Accepted,,H,WCSP,208983,258570-2,"Repert. Spec. Nov. Regni Veg.","17: 139","","1921",
kew-208984,A,Orchidaceae,,Triphora,,"duckei",,"","Schltr.",Accepted,,H,WCSP,208984,258571-2,"Beih. Bot. Centralbl.","42(2): 75","","1925",
kew-208985,A,Orchidaceae,,Triphora,,"foldatsii",,"","Carnevali",Accepted,,H,WCSP,208985,286387-2,"Ernstia","22: 10","","1984",
kew-208986,A,Orchidaceae,,Triphora,,"gentianoides",,"","(Sw.) Nutt. ex Ames & Schltr.",Accepted,,H,WCSP,208986,1169144-2,"Orchidaceae","7: 5","","1922",
kew-459684,A,Orchidaceae,,Triphora,,"gentianoides",f.,"albidaviridis","P.M.Br. & Steph.Jones",Synonym,,L,WCSP,459684,60453088-2,"N. Amer. Native Orchid J.","15: 45","","2009",kew-208986
kew-208987,A,Orchidaceae,,Triphora,,"hassleriana",,"","(Cogn. ex Chodat & Hassl.) Schltr.",Accepted,,H,WCSP,208987,258572-2,"Beih. Bot. Centralbl.","42(2): 76","","1925",
kew-208988,A,Orchidaceae,,Triphora,,"heringeri",,"","Pabst",Accepted,,H,WCSP,208988,258573-2,"Anais Congr. Soc. Bot. Brasil","15: 110","","1967",
kew-208989,A,Orchidaceae,,Triphora,,"latifolia",,"","G.M.Luer",Synonym,,H,WCSP,208989,660836-1,"Amer. Orchid Soc. Bull.","38: 878","","1969",kew-208979
kew-208990,A,Orchidaceae,,Triphora,,"lutea",,"","(Schltr.) Schltr. ex Mansf.",Synonym,,H,WCSP,208990,660837-1,"Repert. Spec. Nov. Regni Veg. Beih.","58: 7","","1930",kew-208986
kew-208991,A,Orchidaceae,,Triphora,,"mexicana",,"","(S.Watson) Schltr.",Synonym,,H,WCSP,208991,258574-2,"Repert. Spec. Nov. Regni Veg.","17: 139","","1921",kew-209001
tro-23525805,A,Orchidaceae,,Triphora,,"minima",,"","Cogn.",Unresolved,,L,TRO,23525805,,"Not listed in IK.","","","",
kew-208992,A,Orchidaceae,,Triphora,,"miserrima",,"","(Cogn.) Acuña",Accepted,,H,WCSP,208992,941794-1,"Bol. Estaçión Exp. Agron. Santiago de las Vegas","60: 18","","1938 publ. 1939",
kew-208993,A,Orchidaceae,,Triphora,,"nitida",,"","(Schltr.) Schltr.",Accepted,,H,WCSP,208993,258575-2,"Repert. Spec. Nov. Regni Veg.","17: 139","","1921",
kew-208994,A,Orchidaceae,,Triphora,,"pendula",,"","(Muhl. ex Willd.) Nutt.",Synonym,,H,WCSP,208994,660840-1,"Gen. N. Amer. Pl.","2: 193","","1818",kew-208999
kew-208995,A,Orchidaceae,,Triphora,,"pusilla",,"","(Rchb.f. & Warm.) Schltr.",Accepted,,H,WCSP,208995,258576-2,"Beih. Bot. Centralbl.","42(2): 76","","1925",
kew-208996,A,Orchidaceae,,Triphora,,"ravenii",,"","(L.O.Williams) Garay",Accepted,,H,WCSP,208996,258577-2,"Bot. Mus. Leafl.","26: 3","","1978",
kew-208997,A,Orchidaceae,,Triphora,,"rickettii",,"","Luer",Synonym,,H,WCSP,208997,258578-2,"Brittonia","18: 241","","1966",kew-209004
kew-344976,A,Orchidaceae,,Triphora,,"santamariensis",,"","Portalet",Accepted,,H,WCSP,344976,77071942-1,"Bol. CAOB","62: 60","","2006",
kew-208998,A,Orchidaceae,,Triphora,,"surinamensis",,"","(Lindl. ex Benth.) Britton",Accepted,,H,WCSP,208998,258579-2,"Sci. Surv. Porto Rico & Virgin Islands","5: 184","","1924",
kew-208999,A,Orchidaceae,,Triphora,,"trianthophora",,"","(Sw.) Rydb.",Accepted,,H,WCSP,208999,,"Man. Fl. N. States","298","","1901",
kew-209000,A,Orchidaceae,,Triphora,,"trianthophora",f.,"albidoflava","P.E.Keenan",Synonym,,L,WCSP,209000,,"Rhodora","94: 39","","1992",kew-208999
kew-339635,A,Orchidaceae,,Triphora,,"trianthophora",f.,"caerulea","P.M.Br.",Synonym,,L,WCSP,339635,,"N. Amer. Native Orchid J.","7: 94","","2001",kew-208999
kew-209001,A,Orchidaceae,,Triphora,,"trianthophora",subsp.,"mexicana","(S.Watson) Medley",Accepted,,L,WCSP,209001,,"Selbyana","12: 102","","1991",
kew-344977,A,Orchidaceae,,Triphora,,"trianthophora",var.,"mexicana","(S.Watson) P.M.Br.",Synonym,,L,WCSP,344977,,"N. Amer. Native Orchid J.","12: 7","","2006",kew-209001
kew-339636,A,Orchidaceae,,Triphora,,"trianthophora",f.,"rossii","P.M.Br.",Synonym,,L,WCSP,339636,,"N. Amer. Native Orchid J.","5: 6","","1999",kew-208999
kew-339637,A,Orchidaceae,,Triphora,,"trianthophora",var.,"schaffneri","Camp",Synonym,,L,WCSP,339637,,"Rhodora","42: 55","","1940",kew-208999
kew-344978,A,Orchidaceae,,Triphora,,"trianthophora",var.,"texensis","P.M.Br. & Rich.B.Pike",Synonym,,L,WCSP,344978,,"N. Amer. Native Orchid J.","12: 5","","2006",kew-208999
kew-209002,A,Orchidaceae,,Triphora,,"trianthophora",subsp.,"trianthophora","",Synonym,,L,WCSP,209002,,"Unknown","","","",kew-208999
kew-209003,A,Orchidaceae,,Triphora,,"wagneri",,"","Schltr.",Accepted,,H,WCSP,209003,258582-2,"Repert. Spec. Nov. Regni Veg.","17: 139","","1921",
kew-209004,A,Orchidaceae,,Triphora,,"yucatanensis",,"","Ames",Accepted,,H,WCSP,209004,258583-2,"Orchidaceae","7: 39","","1922",
