ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-26601807,P,Lycopodiaceae,,Urostachys,,"acerosus",,"","(Sw.) Herter ex Nessel",Synonym,,M,TRO,26601807,261707-2,"Arch. Bot. São Paulo","1(4): 399, t. 18","399","1927",tro-26615401
tro-26619357,P,Lycopodiaceae,,Urostachys,,"adolfi-friedericii",,"","Herter ex Nessel",Unresolved,,L,TRO,26619357,,"Revista Sudamer. Bot.","6(5–6): 167, t. 13, f. 66","167","1940",
tro-50050950,P,Lycopodiaceae,,Urostachys,,"aellenii",,"","Herter",Unresolved,,L,TRO,50050950,,"Estud. Bot. Reg. Uruguay","20: 51","51","1949",
tro-26616295,P,Lycopodiaceae,,Urostachys,,"affinis",,"","Nessel",Synonym,,M,TRO,26616295,261708-2,"Repert. Spec. Nov. Regni Veg.","39: 69","69","1935",tro-26616292
tro-26617637,P,Lycopodiaceae,,Urostachys,,"affinis",var.,"riobambensis","Nessel",Synonym,,L,TRO,26617637,,"Revista Sudamer. Bot.","6(5–6): 162, t. 10, f. 38","162","1940",tro-26613946
tro-50044388,P,Lycopodiaceae,,Urostachys,,"albescens",,"","(Bailey) Herter",Accepted,,M,TRO,50044388,,"Revista Sudamer. Bot.","8(3): 86","86","1950",
tro-50150400,P,Lycopodiaceae,,Urostachys,,"aloifolius",,"","(Wall. ex Grev. & Hook.) Herter",Accepted,,M,TRO,50150400,,"Bärlappgewächse","70","70","1939",
tro-50009605,P,Lycopodiaceae,,Urostachys,,"andinus",,"","(Rosenst.) Nessel",Synonym,,M,TRO,50009605,261709-2,"Bärlappgewächse","76","76","1939",tro-100364192
tro-26619173,P,Lycopodiaceae,,Urostachys,,"apolinar-marinae",,"","Nessel",Unresolved,,L,TRO,26619173,261710-2,"Repert. Spec. Nov. Regni Veg.","36(12–15): 177, t. 170","177","1934",
tro-26618231,P,Lycopodiaceae,,Urostachys,,"aqualupianus",,"","(Spring) Herter",Synonym,,M,TRO,26618231,261711-2,"Repert. Spec. Nov. Regni Veg.","19(11–13): 166","166","1923",tro-26614210
tro-26619233,P,Lycopodiaceae,,Urostachys,,"archboldianus",,"","Nessel",Unresolved,,L,TRO,26619233,,"Repert. Spec. Nov. Regni Veg.","39(8): 61, t. 189a","61","1935",
tro-26625856,P,Lycopodiaceae,,Urostachys,,"arcturi",,"","Herter",Synonym,,M,TRO,26625856,261712-2,"Revista Sudamer. Bot.","10: 118","118","1953",tro-26625857
tro-26619188,P,Lycopodiaceae,,Urostachys,,"aristei",,"","Nessel",Synonym,,M,TRO,26619188,286535-2,"Repert. Spec. Nov. Regni Veg.","36(12–15): 181, t. 172","181","1934",tro-50048012
tro-50275519,P,Lycopodiaceae,,Urostachys,,"arthuri",,"","Maxon ex Herter",Synonym,,M,TRO,50275519,286536-2,"Revista Sudamer. Bot.","10: 114","114","1953",tro-50308450
tro-26616321,P,Lycopodiaceae,,Urostachys,,"ascendens",,"","Herter ex Nessel",Synonym,,M,TRO,26616321,,"Revista Sudamer. Bot.","6(5–6): 161, t. 9, f. 30","161","1940",tro-26616320
tro-26616336,P,Lycopodiaceae,,Urostachys,,"attenuatus",,"","(Spring) Herter ex Nessel",Synonym,,M,TRO,26616336,261716-2,"Bärlappgewächse","101","101","1939",tro-26616335
tro-26618889,P,Lycopodiaceae,,Urostachys,,"bakerianus",,"","Herter ex Nessel",Unresolved,,L,TRO,26618889,261962-2,"Bärlappgewächse","145, f. 36","145","1939",
tro-26616394,P,Lycopodiaceae,,Urostachys,,"barbatus",,"","Herter ex Nessel",Synonym,,M,TRO,26616394,261717-2,"Bärlappgewächse","30","30","1939",tro-26608482
tro-26616271,P,Lycopodiaceae,,Urostachys,,"bifidus",,"","(Humb. & Bonpl. ex Willd.) Herter ex Nessel",Synonym,,M,TRO,26616271,,"Bärlappgewächse","110, t. 24, f. 4","110","1939",tro-26608503
tro-50050956,P,Lycopodiaceae,,Urostachys,,"biformis",,"","(Hook.) Herter",Synonym,,M,TRO,50050956,260329-2,"Estud. Bot. Reg. Uruguay","20: 52","52","1949",tro-50313166
tro-50001386,P,Lycopodiaceae,,Urostachys,,"binervius",,"","(Herter) Nessel",Synonym,,M,TRO,50001386,260330-2,"Bärlappgewächse","110","110","1939",tro-26613918
tro-26616296,P,Lycopodiaceae,,Urostachys,,"blepharodes",,"","(Maxon) Herter",Synonym,,M,TRO,26616296,260331-2,"Estud. Bot. Reg. Uruguay","20: 53","53","1949",tro-26616292
tro-26612499,P,Lycopodiaceae,,Urostachys,,"bonae-voluntatis",,"","Herter",Synonym,,M,TRO,26612499,260335-2,"Revista Sudamer. Bot.","10: 112","112","1953",tro-26608478
tro-26619189,P,Lycopodiaceae,,Urostachys,,"bonapartei",,"","Nessel",Unresolved,,L,TRO,26619189,,"Repert. Spec. Nov. Regni Veg.","36(12–15): 182, t. 172","182","1934",
tro-50050993,P,Lycopodiaceae,,Urostachys,,"borneensis",,"","Herter",Unresolved,,L,TRO,50050993,,"Philipp. J. Sci.","22: 181","181","1923",
tro-26616552,P,Lycopodiaceae,,Urostachys,,"brachiatus",,"","(Maxon) Herter ex Nessel",Synonym,,M,TRO,26616552,260337-2,"Bärlappgewächse","127","127","1939",tro-26616550
tro-26608468,P,Lycopodiaceae,,Urostachys,,"bradeorus",,"","(Christ) Herter ex Nessel",Synonym,,M,TRO,26608468,260338-2,"Bärlappgewächse","154","154","1939",tro-26616391
tro-26619237,P,Lycopodiaceae,,Urostachys,,"brassii",,"","Nessel",Unresolved,,L,TRO,26619237,,"Repert. Spec. Nov. Regni Veg.","39(8): 62, t. 190a","62","1935",
tro-26616392,P,Lycopodiaceae,,Urostachys,,"brauseanus",,"","(Herter) Herter",Synonym,,M,TRO,26616392,260342-2,"Repert. Spec. Nov. Regni Veg.","19(11–13): 162","162","1923",tro-26616391
tro-26616357,P,Lycopodiaceae,,Urostachys,,"brevifolius",,"","(Grev. & Hook.) Herter",Synonym,,M,TRO,26616357,260343-2,"Estud. Bot. Reg. Uruguay","20: 54","54","1949",tro-26615141
tro-26616267,P,Lycopodiaceae,,Urostachys,,"brongniartii",,"","(Spring) Herter ex Nessel",Synonym,,M,TRO,26616267,260344-2,"Arch. Bot. São Paulo","1(4): 388, t. 8","388","1927",tro-100364203
tro-26608516,P,Lycopodiaceae,,Urostachys,,"bruelkei",,"","Nessel",Synonym,,M,TRO,26608516,260345-2,"Repert. Spec. Nov. Regni Veg.","36(12–15): 184, t. 173","184","1934",tro-26608508
tro-26616284,P,Lycopodiaceae,,Urostachys,,"brutus",,"","(Herter) Herter",Synonym,,M,TRO,26616284,260346-2,"Repert. Spec. Nov. Regni Veg.","19(11–13): 162","162","1923",tro-26616281
tro-50333692,P,Lycopodiaceae,,Urostachys,,"buesii",,"","Herter",Synonym,,M,TRO,50333692,260347-2,"Revista Sudamer. Bot.","10: 126","126","1953",tro-50333691
tro-26616441,P,Lycopodiaceae,,Urostachys,,"callitrichaefolius",,"","(Mett.) Nessel",Synonym,,M,TRO,26616441,260348-2,"Bärlappgewächse","253","253","1939",tro-26616440
tro-26624463,P,Lycopodiaceae,,Urostachys,,"cancellatus",,"","(Spring) Herter ex Nessel",Synonym,,M,TRO,26624463,,"Bärlappgewächse","140, f. 34","140","1939",tro-50048230
tro-26616315,P,Lycopodiaceae,,Urostachys,,"capellae",,"","Herter",Synonym,,M,TRO,26616315,286538-2,"Revista Sudamer. Bot.","10: 114–115","114","1954",tro-26616314
tro-26608474,P,Lycopodiaceae,,Urostachys,,"capillaris",,"","(Sodiro) Herter",Synonym,,M,TRO,26608474,260350-2,"Estud. Bot. Reg. Uruguay","20: 54","54","1949",tro-26614212
tro-50050958,P,Lycopodiaceae,,Urostachys,,"capri",,"","Herter",Unresolved,,L,TRO,50050958,261963-2,"Estud. Bot. Reg. Uruguay","20: 55","55","1949",
tro-26608531,P,Lycopodiaceae,,Urostachys,,"caracasicus",,"","(Herter) Herter ex Nessel",Synonym,,M,TRO,26608531,260351-2,"Bärlappgewächse","90","90","1939",tro-26608527
tro-26621783,P,Lycopodiaceae,,Urostachys,,"carinatus",,"","(Desv. ex Poir.) Herter ex Nessel",Synonym,,M,TRO,26621783,,"Bärlappgewächse","179","179","1939",tro-50048202
