ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-449573,A,Poaceae,,Vahlodea,,"atropurpurea",,"","(Wahlenb.) Fr.",Synonym,,H,WCSP,449573,426293-1,"Bot. Not.","1842: 178","","1842",kew-407546
tro-25511583,A,Poaceae,,Vahlodea,,"atropurpurea",,"","(Wahlenb.) Fr. ex Hartm.",Synonym,,M,TRO,25511583,1023388-2,"Handb. Skand. Fl. (ed. 4)","30","30","1843",kew-407546
tro-25516819,A,Poaceae,,Vahlodea,,"atropurpurea",subsp.,"atropurpurea","",Unresolved,,L,TRO,25516819,,"","","","",
kew-449574,A,Poaceae,,Vahlodea,,"atropurpurea",subsp.,"latifolia","(Hook.) A.E.Porsild",Synonym,,L,WCSP,449574,299304-2,"Bull. Natl. Mus. Canada","121: 86","","1951",kew-407546
tro-50242354,A,Poaceae,,Vahlodea,,"atropurpurea",subsp.,"magellanica","(Hook. f.) Hyl.",Synonym,,L,TRO,50242354,299305-2,"Bot. Not.","1953(3): 356","356","1953",kew-407546
kew-449575,A,Poaceae,,Vahlodea,,"atropurpurea",subsp.,"paramushirensis","(Kudô) Hultén",Synonym,,L,WCSP,449575,299306-2,"Kongl. Svenska Vetensk. Acad. Handl.","III, 5(1): 111","","1927",kew-407546
kew-449576,A,Poaceae,,Vahlodea,,"atropurpurea",var.,"patentissima","Hultén",Synonym,,L,WCSP,449576,,"Fl. Alaska Yukon","181","","1942",kew-407546
kew-449577,A,Poaceae,,Vahlodea,,"flexuosa",,"","(Honda) Ohwi",Synonym,,H,WCSP,449577,426294-1,"Acta Phytotax. Geobot.","2: 33","","1933",kew-407546
kew-449578,A,Poaceae,,Vahlodea,,"latifolia",,"","(Hook.) Hultén",Synonym,,H,WCSP,449578,262110-2,"Fl. Aleutian Isl.","83","","1937",kew-407546
kew-449579,A,Poaceae,,Vahlodea,,"magellanica",,"","(Hook.f.) Tzvelev",Synonym,,H,WCSP,449579,426296-1,"Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R.","22: 68","","1963",kew-407546
kew-449580,A,Poaceae,,Vahlodea,,"paramushirensis",,"","(Kudô) Roshev.",Synonym,,H,WCSP,449580,426297-1,"Fl. URSS","2: 750","","1934",kew-407546
