ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-211631,A,Rubiaceae,,Vangueria,,"abyssinica",,"","A.Rich.",Synonym,,H,WCSP,211631,769693-1,"Tent. Fl. Abyss.","1: 353","","1848",kew-211712
kew-211632,A,Rubiaceae,,Vangueria,,"acuminatissima",,"","K.Schum.",Synonym,,H,WCSP,211632,769844-1,"Pflanzenw. Ost-Afrikas","C: 385","","1895",kew-180866
kew-211633,A,Rubiaceae,,Vangueria,,"acutiloba",,"","Robyns",Synonym,,H,WCSP,211633,769694-1,"Bull. Jard. Bot. État","11: 286","","1928",kew-211711
kew-211634,A,Rubiaceae,,Vangueria,,"adenodonta",,"","K.Schum.",Synonym,,H,WCSP,211634,769695-1,"Bot. Jahrb. Syst.","30: 414","","1901",kew-180869
kew-339732,A,Rubiaceae,,Vangueria,,"agrestis",,"","(Schweinf. ex Hiern) Lantz",Accepted,,H,WCSP,339732,77067582-1,"Pl. Syst. Evol.","253: 179","","2005",
kew-339733,A,Rubiaceae,,Vangueria,,"albosetulosa",,"","(Verdc.) Lantz",Accepted,,H,WCSP,339733,77067583-1,"Pl. Syst. Evol.","253: 179","","2005",
kew-211635,A,Rubiaceae,,Vangueria,,"apiculata",,"","K.Schum.",Accepted,,H,WCSP,211635,769845-1,"Pflanzenw. Ost-Afrikas","C: 385","","1895",
kew-211636,A,Rubiaceae,,Vangueria,,"argentea",,"","Wernham",Synonym,,H,WCSP,211636,769696-1,"Cat. Pl. Oban","49","","1913",kew-180874
kew-211637,A,Rubiaceae,,Vangueria,,"armata",,"","K.Schum.",Synonym,,H,WCSP,211637,769697-1,"Bot. Jahrb. Syst.","28: 69","","1899",kew-158908
kew-211638,A,Rubiaceae,,Vangueria,,"bagshawei",,"","S.Moore",Synonym,,H,WCSP,211638,769699-1,"J. Bot.","45: 42","","1907",kew-180875
kew-211639,A,Rubiaceae,,Vangueria,,"barnimiana",,"","Schweinf.",Synonym,,H,WCSP,211639,,"Pl. Quaed. Nilot.","30","","1862",kew-211683
kew-211640,A,Rubiaceae,,Vangueria,,"beniensis",,"","De Wild.",Synonym,,H,WCSP,211640,769701-1,"Bull. Jard. Bot. État","8: 43","","1922",kew-180878
kew-211641,A,Rubiaceae,,Vangueria,,"bequaertii",,"","De Wild.",Synonym,,H,WCSP,211641,769702-1,"Bull. Jard. Bot. État","8: 44","","1922",kew-180875
kew-211642,A,Rubiaceae,,Vangueria,,"bicolor",,"","K.Schum.",Accepted,,H,WCSP,211642,769703-1,"Bot. Jahrb. Syst.","34: 332","","1904",
kew-211643,A,Rubiaceae,,Vangueria,,"bicolor",var.,"crassiramis","K.Schum.",Synonym,,L,WCSP,211643,,"Bot. Jahrb. Syst.","34: 333","","1904",kew-211779
kew-211644,A,Rubiaceae,,Vangueria,,"binata",,"","K.Schum.",Synonym,,H,WCSP,211644,769704-1,"Bot. Jahrb. Syst.","34: 333","","1904",kew-180880
kew-211645,A,Rubiaceae,,Vangueria,,"bomiliensis",,"","De Wild.",Synonym,,H,WCSP,211645,769705-1,"Bull. Jard. Bot. État","8: 46","","1922",kew-180881
