ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-211830,A,Orchidaceae,,Vanilla,,"abundiflora",,"","J.J.Sm.",Accepted,,H,WCSP,211830,661135-1,"Bull. Jard. Bot. Buitenzorg","III, 2: 21","","1920",
kew-211831,A,Orchidaceae,,Vanilla,,"acuminata",,"","Rolfe",Accepted,,H,WCSP,211831,661136-1,"J. Linn. Soc., Bot.","32: 456","","1896",
kew-211832,A,Orchidaceae,,Vanilla,,"acuta",,"","Rolfe",Synonym,,H,WCSP,211832,262535-2,"J. Linn. Soc., Bot.","32: 453","","1896",kew-211900
kew-211833,A,Orchidaceae,,Vanilla,,"africana",,"","Lindl.",Accepted,,H,WCSP,211833,661139-1,"J. Proc. Linn. Soc., Bot.","6: 137","","1862",
kew-211834,A,Orchidaceae,,Vanilla,,"africana",subsp.,"cucullata","(Kraenzl. ex J.Braun & K.Schum.) Szlach. & Olszewski",Synonym,,L,WCSP,211834,1005184-1,"in Fl. Cameroun","34: 286","","1998",kew-211873
kew-341996,A,Orchidaceae,,Vanilla,,"africana",var.,"gilletii","(De Wild.) Portères",Synonym,,L,WCSP,341996,,"Bull. Soc. Bot. France","98: 126","","1951",kew-211968
kew-341995,A,Orchidaceae,,Vanilla,,"africana",var.,"laurentiana","(De Wild.) Portères",Synonym,,L,WCSP,341995,,"Bull. Soc. Bot. France","98: 126","","1951",kew-211968
kew-211835,A,Orchidaceae,,Vanilla,,"africana",subsp.,"ramosa","(Rolfe) Szlach. & Olszewski",Synonym,,L,WCSP,211835,1005183-1,"in Fl. Cameroun","34: 286","","1998",kew-211968
kew-211836,A,Orchidaceae,,Vanilla,,"albida",,"","Blume",Accepted,,H,WCSP,211836,,"Catalogus","100","","1823",
kew-211837,A,Orchidaceae,,Vanilla,,"anaromatica",,"","Griseb.",Synonym,,H,WCSP,211837,661141-1,"Fl. Brit. W. I.","638","","1864",kew-211929
kew-211838,A,Orchidaceae,,Vanilla,,"andamanica",,"","Rolfe",Accepted,,H,WCSP,211838,661142-1,"Bull. Misc. Inform. Kew","1918: 237","","1918",
kew-211839,A,Orchidaceae,,Vanilla,,"angustifolia",,"","Willd.",Synonym,,H,WCSP,211839,661143-1,"Sp. Pl.","4: 121","","1805",kew-211929
kew-211840,A,Orchidaceae,,Vanilla,,"angustipetala",,"","Schltr.",Accepted,,H,WCSP,211840,262536-2,"Anexos Mem. Inst. Butantan, Secç. Bot.","1(4): 19","","1922",
kew-211841,A,Orchidaceae,,Vanilla,,"annamica",,"","Gagnep.",Accepted,,H,WCSP,211841,661145-1,"Bull. Mus. Natl. Hist. Nat.","II, 3: 686","","1931",
kew-211842,A,Orchidaceae,,Vanilla,,"anomala",,"","Ames & L.O.Williams",Synonym,,H,WCSP,211842,661146-1,"Bot. Mus. Leafl.","5: 108","","1938",kew-166573
kew-211843,A,Orchidaceae,,Vanilla,,"aphylla",,"","Blume",Accepted,,H,WCSP,211843,661147-1,"Bijdr.","422","","1825",
kew-211844,A,Orchidaceae,,Vanilla,,"appendiculata",,"","Rolfe",Accepted,,H,WCSP,211844,262538-2,"Bull. Misc. Inform. Kew","1895: 178","","1895",
kew-211845,A,Orchidaceae,,Vanilla,,"argentina",,"","Hicken",Synonym,,H,WCSP,211845,,"Vanilla Argent.","3","","1917",kew-211996
kew-211846,A,Orchidaceae,,Vanilla,,"aromatica",,"","Willd.",Synonym,Illegitimate,H,WCSP,211846,661152-1,"Sp. Pl.","4: 121","","1805",kew-211955
kew-211847,A,Orchidaceae,,Vanilla,,"aromatica",,"","Sw.",Synonym,,H,WCSP,211847,,"Nova Acta Regiae Soc. Sci. Upsal.","6: 66","","1799",kew-211929
kew-211848,A,Orchidaceae,,Vanilla,,"articulata",,"","Northr.",Synonym,,H,WCSP,211848,262539-2,"Mem. Torrey Bot. Club","12: 31","","1902",kew-211853
kew-211849,A,Orchidaceae,,Vanilla,,"axillaris",,"","Mill.",Synonym,,H,WCSP,211849,661155-1,"Gard. Dict. ed. 8","2","","1768",kew-211929
kew-211850,A,Orchidaceae,,Vanilla,,"bahiana",,"","Hoehne",Accepted,,H,WCSP,211850,262540-2,"Arq. Bot. Estado São Paulo","n.s., f.m., 2: 108","","1950",
kew-211851,A,Orchidaceae,,Vanilla,,"bakeri",,"","Schltr.",Synonym,,H,WCSP,211851,262541-2,"Repert. Spec. Nov. Regni Veg.","8: 561","","1910",kew-211853
kew-211852,A,Orchidaceae,,Vanilla,,"bampsiana",,"","Geerinck",Synonym,,H,WCSP,211852,901203-1,"Bull. Jard. Bot. Natl. Belg.","52: 345","","1982",kew-211955
kew-211853,A,Orchidaceae,,Vanilla,,"barbellata",,"","Rchb.f.",Accepted,,H,WCSP,211853,661158-1,"Flora","48: 274","","1865",
kew-211854,A,Orchidaceae,,Vanilla,,"barrereana",,"","Veyret & Szlach.",Synonym,,H,WCSP,211854,,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","16: 220","","1994 publ. 1995",kew-211908
kew-211855,A,Orchidaceae,,Vanilla,,"beauchenei",,"","A.Chev.",Synonym,Invalid,H,WCSP,211855,661159-1,"Études Fl. Afr. Centr. Franç.","1: 297","","1913",kew-211968
kew-211856,A,Orchidaceae,,Vanilla,,"bertoniensis",,"","Bertoni",Accepted,,H,WCSP,211856,262542-2,"Anales Ci. Parag.","8: 10","","1910",
kew-211857,A,Orchidaceae,,Vanilla,,"bicolor",,"","Lindl.",Accepted,,H,WCSP,211857,661161-1,"Edwards's Bot. Reg.","24(Misc.): 37","","1838",
kew-211858,A,Orchidaceae,,Vanilla,,"borneensis",,"","Rolfe",Accepted,,H,WCSP,211858,661162-1,"J. Linn. Soc., Bot.","32: 460","","1896",
kew-211859,A,Orchidaceae,,Vanilla,,"bradei",,"","Schltr. ex Mansf.",Accepted,,H,WCSP,211859,661163-1,"Repert. Spec. Nov. Regni Veg.","24: 243","","1928",
kew-211860,A,Orchidaceae,,Vanilla,,"calopogon",,"","Rchb.f.",Accepted,,H,WCSP,211860,661164-1,"Otia Bot. Hamburg.","40","","1878",
kew-211861,A,Orchidaceae,,Vanilla,,"calyculata",,"","Schltr.",Accepted,,H,WCSP,211861,262544-2,"Repert. Spec. Nov. Regni Veg. Beih.","7: 42","","1920",
kew-211862,A,Orchidaceae,,Vanilla,,"carinata",,"","Rolfe",Synonym,,H,WCSP,211862,262545-2,"J. Linn. Soc., Bot.","32: 468","","1896",kew-211891
kew-211863,A,Orchidaceae,,Vanilla,,"chalotii",,"","Finet",Accepted,,H,WCSP,211863,661167-1,"Bull. Soc. Bot. France","56: 102","","1909",
kew-211864,A,Orchidaceae,,Vanilla,,"chamissonis",,"","Klotzsch",Accepted,,H,WCSP,211864,306651-2,"Bot. Zeitung (Berlin)","4: 564","","1846",
kew-339772,A,Orchidaceae,,Vanilla,,"chamissonis",var.,"brevifolia","Cogn.",Synonym,,L,WCSP,339772,262546-2,"Fl. Bras.","3(4): 149","","1893",kew-211864
kew-211865,A,Orchidaceae,,Vanilla,,"claviculata",,"","Lindl.",Misapplied,,H,WCSP,211865,,"Ann. Mag. Nat. Hist.","III, 1: 334","","1858",kew-211857
kew-211866,A,Orchidaceae,,Vanilla,,"claviculata",,"","Sw.",Accepted,,H,WCSP,211866,661170-1,"Nova Acta Regiae Soc. Sci. Upsal.","6: 66","","1799",
kew-211867,A,Orchidaceae,,Vanilla,,"columbiana",,"","Rolfe",Accepted,,H,WCSP,211867,262547-2,"J. Linn. Soc., Bot.","32: 468","","1896",
kew-211868,A,Orchidaceae,,Vanilla,,"correllii",,"","Sauleda & R.M.Adams",Synonym,,H,WCSP,211868,262548-2,"Brittonia","33: 192","","1981",kew-211959
kew-461960,A,Orchidaceae,,Vanilla,,"costaricensis",,"","Soto Arenas",Accepted,,H,WCSP,461960,77106513-1,"Lankesteriana","9: 297","","2010",
kew-211869,A,Orchidaceae,,Vanilla,,"coursii",,"","H.Perrier",Accepted,,H,WCSP,211869,661172-1,"Rev. Int. Bot. Appl. Agric. Colon.","30: 435","","1950",
kew-211870,A,Orchidaceae,,Vanilla,,"crenulata",,"","Rolfe",Accepted,,H,WCSP,211870,661173-1,"J. Linn. Soc., Bot.","32: 477","","1896",
kew-461968,A,Orchidaceae,,Vanilla,,"cribbiana",,"","Soto Arenas",Accepted,,H,WCSP,461968,77106514-1,"Lankesteriana","9: 300","","2010",
kew-211871,A,Orchidaceae,,Vanilla,,"cristagalli",,"","Hoehne",Accepted,,H,WCSP,211871,262549-2,"Arq. Bot. Estado São Paulo","n.s., f.m., 1: 125","","1944",
kew-211872,A,Orchidaceae,,Vanilla,,"cristatocallosa",,"","Hoehne",Synonym,,H,WCSP,211872,262550-2,"Arq. Bot. Estado São Paulo","n.s., f.m., 1: 126","","1944",kew-211871
kew-211873,A,Orchidaceae,,Vanilla,,"cucullata",,"","Kraenzl. ex J.Braun & K.Schum.",Accepted,,H,WCSP,211873,661176-1,"Mitt. Deutsch. Schutzgeb.","2: 161","","1889",
kew-211874,A,Orchidaceae,,Vanilla,,"decaryana",,"","H.Perrier",Accepted,,H,WCSP,211874,661177-1,"Bull. Mus. Natl. Hist. Nat.","II, 6: 194","","1934",
kew-211875,A,Orchidaceae,,Vanilla,,"denticulata",,"","Pabst",Synonym,,H,WCSP,211875,895972-1,"Anais Soc. Bot. Brasil","23: 109","","1972 publ. 1973",kew-211935
kew-211876,A,Orchidaceae,,Vanilla,,"diabolica",,"","P.O'Byrne",Accepted,,H,WCSP,211876,994444-1,"Malayan Orchid Rev.","30: 67","","1996",
kew-211877,A,Orchidaceae,,Vanilla,,"dietschiana",,"","Edwall",Accepted,,H,WCSP,211877,262551-2,"Revista Centro Sci. Campinas","2: 192","","1903",
kew-211878,A,Orchidaceae,,Vanilla,,"dilloniana",,"","Correll",Accepted,,H,WCSP,211878,262552-2,"Amer. Orchid Soc. Bull.","15: 331","","1946",
kew-211879,A,Iridaceae,,Vanilla,,"domestica",,"","(L.) Druce",Synonym,,H,WCSP,211879,661181-1,"Rep. Bot. Exch. Club Soc. Brit. Isles","3: 425","","1913 publ. 1914",kew-334601
kew-461963,A,Orchidaceae,,Vanilla,,"dressleri",,"","Soto Arenas",Accepted,,H,WCSP,461963,77106515-1,"Lankesteriana","9: 303","","2010",
kew-211880,A,Orchidaceae,,Vanilla,,"dubia",,"","Hoehne",Accepted,,H,WCSP,211880,262553-2,"Arq. Bot. Estado São Paulo","n.s., f.m., 1: 126","","1944",
kew-211881,A,Orchidaceae,,Vanilla,,"duckei",,"","Huber",Synonym,,H,WCSP,211881,262554-2,"Bol. Mus. Goeldi Hist. Nat. Ethnogr.","5: 327","","1909",kew-211955
kew-211882,A,Orchidaceae,,Vanilla,,"dungsii",,"","Pabst",Accepted,,H,WCSP,211882,262555-2,"Bradea","2: 49","","1975",
kew-211883,A,Orchidaceae,,Vanilla,,"edwallii",,"","Hoehne",Accepted,,H,WCSP,211883,262556-2,"Arq. Bot. Estado São Paulo","n.s., f.m., 1: 61","","1941",
kew-211884,A,Orchidaceae,,Vanilla,,"eggersii",,"","Rolfe",Synonym,,H,WCSP,211884,262557-2,"J. Linn. Soc., Bot.","32: 472","","1896",kew-211959
tro-23525836,A,Orchidaceae,,Vanilla,,"ellipticum",,"","Williams & Summerhayes",Unresolved,,L,TRO,23525836,,"Not listed in IK.","","","",
kew-211885,A,Orchidaceae,,Vanilla,,"ensifolia",,"","Rolfe",Synonym,,H,WCSP,211885,262558-2,"Bull. Misc. Inform. Kew","1892: 141","","1892",kew-211935
kew-211886,A,Orchidaceae,,Vanilla,,"epidendrum",,"","Mirb.",Synonym,,H,WCSP,211886,,"Hist. Nat. Pl.","ed. 2, 9: 249","","1804",kew-211929
kew-461959,A,Orchidaceae,,Vanilla,,"espondae",,"","Soto Arenas",Accepted,,H,WCSP,461959,,"Lankesteriana","9: 281","","2010",
kew-211887,A,Orchidaceae,,Vanilla,,"fasciola",,"","(G.Forst.) Spreng.",Synonym,,H,WCSP,211887,661190-1,"Pl. Min. Cogn. Pug.","2: 83","","1815",kew-201109
kew-211888,A,Orchidaceae,,Vanilla,,"fimbriata",,"","Rolfe",Accepted,,H,WCSP,211888,262559-2,"Bull. Misc. Inform. Kew","1899: 133","","1899",
kew-211889,A,Orchidaceae,,Vanilla,,"fragrans",,"","Ames",Synonym,Illegitimate,H,WCSP,211889,661192-1,"Schedul. Orchid.","7: 36","","1924",kew-211955
kew-211890,A,Orchidaceae,,Vanilla,,"francoisii",,"","H.Perrier",Accepted,,H,WCSP,211890,661193-1,"Notul. Syst. (Paris)","8: 37","","1939",
kew-211891,A,Orchidaceae,,Vanilla,,"gardneri",,"","Rolfe",Accepted,,H,WCSP,211891,262561-2,"Bull. Misc. Inform. Kew","1895: 177","","1895",
kew-211892,A,Orchidaceae,,Vanilla,,"giulianettii",,"","F.M.Bailey",Accepted,,H,WCSP,211892,661195-1,"Queensland Agric. J.","7: 350","","1900",
kew-211893,A,Orchidaceae,,Vanilla,,"grandiflora",,"","Lindl.",Synonym,,H,WCSP,211893,661196-1,"Gen. Sp. Orchid. Pl.","435","","1840",kew-461966
kew-211894,A,Orchidaceae,,Vanilla,,"grandifolia",,"","Lindl.",Accepted,,H,WCSP,211894,661197-1,"J. Proc. Linn. Soc., Bot.","6: 138","","1862",
kew-211895,A,Orchidaceae,,Vanilla,,"grandifolia",var.,"lujae","(De Wild.) Geerinck",Synonym,,L,WCSP,211895,887911-1,"Bull. Soc. Roy. Bot. Belgique","107: 58","","1974",kew-211910
kew-211896,A,Orchidaceae,,Vanilla,,"gratiosa",,"","Griseb.",Synonym,,H,WCSP,211896,661198-1,"Cat. Pl. Cub.","267","","1866",kew-211857
kew-211897,A,Orchidaceae,,Vanilla,,"griffithii",,"","Rchb.f.",Accepted,,H,WCSP,211897,661199-1,"Bonplandia (Hannover)","2: 88","","1854",
kew-211898,A,Orchidaceae,,Vanilla,,"griffithii",var.,"formosana","T.Itô",Synonym,,L,WCSP,211898,,"Icon. Pl. Japon.","1: 1","","1911",kew-211983
