ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2454215,A,Scrophulariaceae,,Verbascum,×,"abandense",,"","Hub.-Mor.",Unresolved,,L,WCSP (in review),,810676-1,"Bauhinia","1: 10","","1955",
kew-2454194,A,Scrophulariaceae,,Verbascum,,"abieticola",,"","Bornm.",Unresolved,,L,WCSP (in review),,810677-1,"Repert. Spec. Nov. Regni Veg.","27: 357","","1930",
kew-2454195,A,Scrophulariaceae,,Verbascum,,"abietinum",,"","Borbás",Synonym,,M,WCSP (in review),,810678-1,"Verh. Bot. Vereins Prov. Brandenburg","17: 60","","1875",kew-2454871
kew-2454196,A,Scrophulariaceae,,Verbascum,,"abyadicum",,"","Hemaid",Unresolved,,L,WCSP (in review),,20008470-1,"Pakistan J. Bot.","33: 316","","2001",
kew-2454197,A,Scrophulariaceae,,Verbascum,,"acaule",,"","(Bory & Chaub.) Kuntze",Accepted,,M,WCSP (in review),,810679-1,"Revis. Gen. Pl.","2: 469","","1891",
kew-2454198,A,Scrophulariaceae,,Verbascum,,"acuminatum",,"","Schrad. ex Steud.",Unresolved,,L,WCSP (in review),,810680-1,"Nomencl. Bot.","1: 871","","1821",
kew-2454208,A,Scrophulariaceae,,Verbascum,,"acutifolium",,"","Halácsy",Synonym,,M,WCSP (in review),,810681-1,"Verh. K. K. Zool.-Bot. Ges. Wien","48: 136","","1898",kew-2453499
kew-2454200,A,Scrophulariaceae,,Verbascum,,"adamovicii",,"","Velen.",Unresolved,,L,WCSP (in review),,810682-1,"Fl. Bulg.","Suppl. 1: 207","","1898",
kew-2454193,A,Scrophulariaceae,,Verbascum,,"adeliae",,"","Heldr.",Accepted,,M,WCSP (in review),,810683-1,"Diagn. Pl. Orient.","II, 3: 145","","1856",
kew-2454202,A,Scrophulariaceae,,Verbascum,,"adenanthum",,"","Bornm.",Accepted,,M,WCSP (in review),,810684-1,"Repert. Spec. Nov. Regni Veg.","18: 137","","1922",
kew-2454203,A,Scrophulariaceae,,Verbascum,,"adenocarpum",,"","Hub.-Mor.",Unresolved,,L,WCSP (in review),,810685-1,"Bauhinia","3: 324","","1967",
kew-2454204,A,Scrophulariaceae,,Verbascum,,"adenocaulon",,"","Boiss. & Balansa",Unresolved,,L,WCSP (in review),,810686-1,"Diagn. Pl. Orient.","II, 6: 128","","1859",
kew-2454205,A,Scrophulariaceae,,Verbascum,,"adenophorum",,"","Godr.",Unresolved,,L,WCSP (in review),,810687-1,"Mém. Sect. Med. Acad. Sci. Montpellier","1: 442","","1853",
kew-2454206,A,Scrophulariaceae,,Verbascum,,"adenophorum",,"","Boiss. & Balansa",Unresolved,,L,WCSP (in review),,810688-1,"Diagn. Pl. Orient.","4: 61","","1844",
kew-2454230,A,Scrophulariaceae,,Verbascum,,"adenosepalum",,"","(Murb.) Karyagin",Unresolved,,L,WCSP (in review),,,"in Fl. Azerbaidzhana","7: 424","","1957",
kew-2454199,A,Scrophulariaceae,,Verbascum,,"adenotrichum",,"","Halácsy",Synonym,,M,WCSP (in review),,810689-1,"Verh. K. K. Zool.-Bot. Ges. Wien","48: 130","","1898",kew-2455098
kew-2454222,A,Scrophulariaceae,,Verbascum,,"adrianopolitanum",,"","Podp.",Accepted,,M,WCSP (in review),,810690-1,"Verh. K. K. Zool.-Bot. Ges. Wien","52: 665","","1902",
kew-2454241,A,Scrophulariaceae,,Verbascum,×,"adulterinum",,"","W.D.J.Koch",Unresolved,,L,WCSP (in review),,810691-1,"Syn. Fl. Germ. Helv.","1: 512","","1837",
kew-2454242,A,Scrophulariaceae,,Verbascum,,"adulterinum",,"","Biroli ex Colla",Unresolved,,L,WCSP (in review),,810692-1,"Herb. Pedem.","4: 296","","1835",
kew-2454243,A,Scrophulariaceae,,Verbascum,,"adzharicum",,"","P.P.Gritz.",Unresolved,,L,WCSP (in review),,,"Novosti Sist. Vyssh. Rast.","1968: 185","","1968",
kew-2454244,A,Scrophulariaceae,,Verbascum,,"aethiopicum",,"","Ehrenb. ex Sweet",Unresolved,,L,WCSP (in review),,810694-1,"Hort. Brit.","ed. 2: 381","","1830",
kew-2454245,A,Scrophulariaceae,,Verbascum,,"affine",,"","(A.Rich.) Hub.-Mor.",Unresolved,,L,WCSP (in review),,810695-1,"Bauhinia","5: 151","","1975",
kew-2454246,A,Scrophulariaceae,,Verbascum,,"afyonense",,"","Hub.-Mor.",Unresolved,,L,WCSP (in review),,810696-1,"Bauhinia","5: 232","","1976",
kew-2454255,A,Scrophulariaceae,,Verbascum,,"agastachyum",,"","Hub.-Mor.",Unresolved,,L,WCSP (in review),,810697-1,"Candollea","12: 191","","1949",
tro-29205650,A,Scrophulariaceae,,Verbascum,,"agrimoniifolium",,"","Huber-Morath",Accepted,,M,TRO,29205650,,"","","","",
kew-2454251,A,Scrophulariaceae,,Verbascum,,"agrimonioides",,"","Degen & Borbás ex Formánek",Synonym,,M,WCSP (in review),,810700-1,"Verh. Naturf. Vereins Brünn","35: 46","","1897",kew-2455098
