ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50116446,A,Brassicaceae,,Vesicaria,,"alpina",,"","Nutt.",Synonym,,M,TRO,50116446,291004-1,"Fl. N. Amer.","1(1): 102","102","1838",tro-50221370
kew-2456052,A,Brassicaceae,,Vesicaria,,"andicola",,"","Gillies ex Hook. & Arn.",Unresolved,,L,WCSP (in review),,291005-1,"Bot. Misc.","3: 138","","1833",
tro-50116454,A,Brassicaceae,,Vesicaria,,"angustifolia",,"","Nutt. ex Torr. & A. Gray",Synonym,,M,TRO,50116454,264781-2,"Fl. N. Amer.","1(1): 101","101","1838",tro-50221271
kew-2456066,A,Brassicaceae,,Vesicaria,,"arctica",,"","(Wormsk. ex Hornem.) Richardson",Synonym,,M,WCSP (in review),,264782-2,"Narr. Journey Polar Sea","743","","1823",kew-2338771
tro-100360301,A,Brassicaceae,,Vesicaria,,"arctica",,"","Hook.",Synonym,,M,TRO,100360301,,"Bot. Mag.","56: tab. 2882.","tab. 2882.","1829",kew-2415569
tro-50123136,A,Brassicaceae,,Vesicaria,,"arctica",var.,"leiocarpa","Trautv.",Synonym,,L,TRO,50123136,,"Trudy Imp. S.-Peterburgsk. Bot. Sada","5(1): 19","19","1877",kew-2338771
tro-50116452,A,Brassicaceae,,Vesicaria,,"arenosa",,"","Richardson",Synonym,,M,TRO,50116452,264783-2,"Narr. Journey Polar Sea","743–744","743","1823",tro-50221274
tro-50129596,A,Brassicaceae,,Vesicaria,,"argentea",,"","S. Schauer",Synonym,,M,TRO,50129596,264784-2,"Linnaea","20: 720","720","1847",tro-50221277
tro-50116562,A,Brassicaceae,,Vesicaria,,"argyraea",,"","A. Gray",Synonym,,M,TRO,50116562,264785-2,"Boston J. Nat. Hist.","6(2): 146–147","146","1850",tro-50221278
tro-50116437,A,Brassicaceae,,Vesicaria,,"auriculata",,"","Engelm. & A. Gray",Synonym,,M,TRO,50116437,264786-2,"Boston J. Nat. Hist.","5(2): 240–241","240","1845",tro-50221388
kew-2456064,A,Brassicaceae,,Vesicaria,,"barrelieri",,"","Parl.",Unresolved,,L,WCSP (in review),,291017-1,"Index Seminum (FI)","1863: 25","","1863",
kew-2456042,A,Brassicaceae,,Vesicaria,,"berlandieri",,"","A.Gray",Unresolved,,L,WCSP (in review),,,"Bibl. Index N. Amer. Bot.","75","","1878",
tro-50116520,A,Brassicaceae,,Vesicaria,,"brevistyla",,"","Torr. & A. Gray",Synonym,,M,TRO,50116520,291019-1,"Fl. N. Amer.","1(1): 102","102","1838",tro-50221390
kew-2456057,A,Brassicaceae,,Vesicaria,,"canescens",,"","Schrank",Unresolved,,L,WCSP (in review),,291020-1,"Syll. Pl. Nov.","2: 63","","1828",
kew-2456035,A,Brassicaceae,,Vesicaria,,"cochlearioides",,"","Spreng.",Unresolved,,L,WCSP (in review),,291021-1,"Syst. Veg.","2: 872","","1825",kew-2729850
kew-2456036,A,Brassicaceae,,Vesicaria,,"corymbosa",,"","Nyman",Unresolved,,L,WCSP (in review),,291022-1,"Syll. Fl. Eur.","202","","1855",kew-2666567
kew-2456037,A,Brassicaceae,,Vesicaria,,"cretica",,"","(L.) Poir.",Synonym,,M,WCSP (in review),,291023-1,"Encycl.","8: 570","","1808",kew-2631850
kew-2456038,A,Brassicaceae,,Vesicaria,,"dasycarpa",,"","Poir.",Unresolved,,L,WCSP (in review),,291024-1,"Encycl.","8: 571","","1808",kew-2632056
kew-2456039,A,Brassicaceae,,Vesicaria,,"deltoidea",,"","Poir.",Unresolved,,L,WCSP (in review),,291025-1,"Encycl.","8: 572","","1808",
tro-50090812,A,Brassicaceae,,Vesicaria,,"densiflora",,"","A. Gray",Synonym,,M,TRO,50090812,264788-2,"Boston J. Nat. Hist.","6(2): 145–146","145","1850",tro-50221296
kew-2456041,A,Brassicaceae,,Vesicaria,,"dentata",,"","Sm.",Unresolved,,L,WCSP (in review),,291027-1,"Cycl.","37: no. 1","","1817",kew-2732207
kew-2456034,A,Brassicaceae,,Vesicaria,,"didymocarpa",,"","Hook.",Synonym,,M,WCSP (in review),,264789-2,"Fl. Bor.-Amer.","1: 49","","1830",kew-2411686
tro-100360895,A,Brassicaceae,,Vesicaria,,"digitata",,"","C.A. Mey.",Synonym,,M,TRO,100360895,,"Verz. Pfl. Casp. Meer.","180.","180.","1831",tro-4104277
kew-2456044,A,Brassicaceae,,Vesicaria,,"edentula",,"","Poir.",Unresolved,,L,WCSP (in review),,291030-1,"Encycl.","8: 572","","1808",kew-2666580
tro-50090816,A,Brassicaceae,,Vesicaria,,"engelmannii",,"","A. Gray",Synonym,,M,TRO,50090816,264790-2,"Gen. Amer. Bor.","1: 162, pl. 70","162","1849",tro-50221300
tro-50116571,A,Brassicaceae,,Vesicaria,,"fendleri",,"","A. Gray",Synonym,,M,TRO,50116571,264792-2,"Mem. Amer. Acad. Arts, n.s.","4: 9–10","9","1849",tro-50221301
kew-2456047,A,Brassicaceae,,Vesicaria,,"frigida",,"","Turcz.",Synonym,,M,WCSP (in review),,264793-2,"Bull. Soc. Imp. Naturalistes Moscou","27(1): 296","","1854",kew-2776604
kew-2456048,A,Brassicaceae,,Vesicaria,,"fruticulosa",,"","Desv.",Unresolved,,L,WCSP (in review),,291034-1,"J. Bot. Agric.","3: 171","","1814 publ. 1815",kew-2666567
kew-2455999,A,Brassicaceae,,Vesicaria,,"gemonensis",,"","Poir.",Unresolved,,L,WCSP (in review),,291035-1,"Encycl.","8: 571","","1808",kew-2666580
tro-50067019,A,Brassicaceae,,Vesicaria,,"geyeri",,"","Hook.",Synonym,,M,TRO,50067019,264794-2,"London J. Bot.","6: 70, pl. 5","70","1847",tro-4102269
tro-100360896,A,Brassicaceae,,Vesicaria,,"glabrescens",,"","Boiss. ex Balansa",Synonym,,M,TRO,100360896,,"Diagn. Pl. Orient., ser. 2","3(5): 32.","32.","1856",kew-2679816
tro-50116474,A,Brassicaceae,,Vesicaria,,"globosa",,"","Desv.",Synonym,,M,TRO,50116474,,"J. Bot. Agric.","3(4): 184","184","1814",tro-50221305
tro-100360050,A,Brassicaceae,,Vesicaria,,"gnaphalodes",,"","Boiss.",Synonym,,L,TRO,100360050,291039-1,"Ann. Sci. Nat., Bot., sér. 2,","17: 161.","161.","1842",tro-4104210
tro-50116572,A,Brassicaceae,,Vesicaria,,"gordonii",,"","A. Gray",Synonym,,M,TRO,50116572,264795-2,"Boston J. Nat. Hist.","6(2): 149","149","1850",tro-50221308
tro-50116574,A,Brassicaceae,,Vesicaria,,"gracilis",,"","Hook.",Synonym,,M,TRO,50116574,264796-2,"Bot. Mag.","63: pl. 3533","pl. 3533","1836",tro-50221311
kew-2455959,A,Brassicaceae,,Vesicaria,,"graeca",,"","Reut. ex Boiss.",Synonym,,M,WCSP (in review),,,"Fl. Orient.","1: 262","","1867",kew-2631861
tro-4103273,A,Brassicaceae,,Vesicaria,,"graeca",,"","Reut.",Synonym,,M,TRO,4103273,,"","","","",kew-2631860
tro-50116436,A,Brassicaceae,,Vesicaria,,"grandiflora",,"","Hook.",Synonym,,M,TRO,50116436,264797-2,"Bot. Mag.","63: pl. 3464","pl. 3464","1836",tro-50221390
tro-50116640,A,Brassicaceae,,Vesicaria,,"grandiflora",var.,"pallida","Torr. & A. Gray",Synonym,,L,TRO,50116640,264798-2,"Fl. N. Amer.","1(1): 101","101","1838",tro-50221352
tro-50116521,A,Brassicaceae,,Vesicaria,,"grandiflora",var.,"pinnatifida","A. Gray",Synonym,,L,TRO,50116521,264799-2,"Boston J. Nat. Hist.","6(2): 146","146","1850",tro-50221390
kew-2455961,A,Brassicaceae,,Vesicaria,,"incana",,"","Desv.",Unresolved,,L,WCSP (in review),,291044-1,"J. Bot. Agric.","3: 171","","1814 publ. 1815",kew-2675159
tro-50116440,A,Brassicaceae,,Vesicaria,,"kingii",,"","S. Watson",Synonym,,M,TRO,50116440,291045-1,"Proc. Amer. Acad. Arts","20: 353","353","1885",tro-50221327
kew-2455963,A,Brassicaceae,,Vesicaria,,"lanuginosa",,"","Poir.",Unresolved,,L,WCSP (in review),,291046-1,"Encycl.","8: 572","","1808",kew-2728734
tro-50116438,A,Brassicaceae,,Vesicaria,,"lasiocarpa",,"","Hook. ex A. Gray",Synonym,,M,TRO,50116438,264801-2,"Smithsonian Contr. Knowl.","5(6): 13","13","1853",tro-50221391
tro-4104056,A,Brassicaceae,,Vesicaria,,"leiocarpa",,"","(Trautv.) N. Busch",Synonym,,M,TRO,4104056,291048-1,"Fl. URSS","8: 362","362","1939",kew-2338771
tro-50116471,A,Brassicaceae,,Vesicaria,,"lescurii",,"","A. Gray",Synonym,,M,TRO,50116471,264802-2,"Manual (ed. 2)","38","38","1856",tro-50221395
tro-50090821,A,Brassicaceae,,Vesicaria,,"lindheimeri",,"","A. Gray",Synonym,,M,TRO,50090821,264803-2,"Boston J. Nat. Hist.","6(2): 145","145","1850",tro-50221336
kew-2455962,A,Brassicaceae,,Vesicaria,,"ludoviciana",,"","(Nutt.) DC.",Synonym,,M,WCSP (in review),,264804-2,"Syst. Nat.","2: 297","","1821",kew-2338690
kew-2455960,A,Brassicaceae,,Vesicaria,,"macrocarpa",,"","(Jáv.) O.E.Schulz",Unresolved,,L,WCSP (in review),,291052-1,"Bot. Jahrb. Syst.","66: 99","","1933",
kew-2455938,A,Brassicaceae,,Vesicaria,,"mendocina",,"","Phil.",Synonym,,M,WCSP (in review),,291053-1,"Linnaea","33: 12","","1864",kew-2415569
tro-100360897,A,Brassicaceae,,Vesicaria,,"microcarpa",,"","Vis.",Synonym,,M,TRO,100360897,20006397-1,"","1: 18.","18.","1829",kew-2666580
tro-50116586,A,Brassicaceae,,Vesicaria,,"montana",,"","A. Gray",Synonym,,M,TRO,50116586,291055-1,"Proc. Acad. Nat. Sci. Philadelphia","15(3): 58","58","1863",tro-50116666
