ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-215256,A,Sapotaceae,,Xantolis,,"assamica",,"","(C.B.Clarke) P.Royen",Accepted,,H,WCSP,215256,790057-1,"Blumea","8: 230","","1957",
kew-215257,A,Sapotaceae,,Xantolis,,"australis",,"","(R.Br.) Baehni",Synonym,,H,WCSP,215257,790058-1,"Boissiera","11: 22","","1965",kew-156782
kew-215258,A,Sapotaceae,,Xantolis,,"baranensis",,"","(Lecomte) P.Royen",Accepted,,H,WCSP,215258,790059-1,"Blumea","8: 218","","1957",
kew-215259,A,Sapotaceae,,Xantolis,,"boniana",,"","(Dubard) P.Royen",Accepted,,H,WCSP,215259,790060-1,"Blumea","8: 212","","1957",
kew-215260,A,Sapotaceae,,Xantolis,,"boniana",var.,"boniana","",Synonym,,L,WCSP,215260,,"Unknown","","","",kew-215259
kew-215261,A,Sapotaceae,,Xantolis,,"boniana",var.,"pavieana","(Pierre ex Dubard) P.Royen",Accepted,,L,WCSP,215261,,"Blumea","8: 213","","1957",
kew-215262,A,Sapotaceae,,Xantolis,,"boniana",var.,"rostrata","(Merr.) P.Royen",Accepted,,L,WCSP,215262,,"Blumea","8: 213","","1957",
kew-215263,A,Sapotaceae,,Xantolis,,"burmanica",,"","(Collett & Hemsl.) P.Royen",Accepted,,H,WCSP,215263,790061-1,"Blumea","8: 223","","1957",
kew-215264,A,Sapotaceae,,Xantolis,,"burmanica",var.,"lenticellata","(Fletcher) P.Royen",Synonym,,L,WCSP,215264,,"Blumea","8: 226","","1957",kew-215263
kew-215265,A,Sapotaceae,,Xantolis,,"cambodiana",,"","(Pierre ex Dubard) P.Royen",Accepted,,H,WCSP,215265,790062-1,"Blumea","8: 228","","1957",
kew-215266,A,Sapotaceae,,Xantolis,,"cambodiana",var.,"thorelii","(Lecomte) P.Royen",Synonym,,L,WCSP,215266,,"Blumea","8: 230","","1957",kew-215265
kew-215267,A,Sapotaceae,,Xantolis,,"cinerea",,"","(Pancher ex Baill.) Baehni",Synonym,,H,WCSP,215267,790063-1,"Boissiera","11: 24","","1965",kew-156805
kew-215268,A,Sapotaceae,,Xantolis,,"cotinifolia",,"","(A.DC.) Baehni",Synonym,,H,WCSP,215268,790064-1,"Boissiera","11: 22","","1965",kew-156815
kew-215269,A,Sapotaceae,,Xantolis,,"dongnaiensis",,"","(Pierre ex Dubard) Aubrév.",Synonym,,H,WCSP,215269,790065-1,"in Fl. Camb., Laos & Vietn.","3: 81","","1963",kew-215294
kew-215270,A,Sapotaceae,,Xantolis,,"embeliifolia",,"","(Merr.) P.Royen",Synonym,,H,WCSP,215270,790066-1,"Blumea","8: 231","","1957",kew-215275
kew-215271,A,Sapotaceae,,Xantolis,,"euphlebia",,"","(F.Muell.) Baehni",Synonym,,H,WCSP,215271,790067-1,"Boissiera","11: 22","","1965",kew-156835
kew-215272,A,Sapotaceae,,Xantolis,,"hookeri",,"","(C.B.Clarke) P.Royen",Accepted,,H,WCSP,215272,790068-1,"Blumea","8: 214","","1957",
kew-215273,A,Sapotaceae,,Xantolis,,"lauracea",,"","(Baill.) Baehni",Synonym,,H,WCSP,215273,790069-1,"Boissiera","11: 22","","1965",kew-156876
kew-215274,A,Sapotaceae,,Xantolis,,"lifuana",,"","(Baill.) Baehni",Synonym,,H,WCSP,215274,790070-1,"Boissiera","11: 23","","1965",kew-156884
kew-215275,A,Sapotaceae,,Xantolis,,"longispinosa",,"","(Merr.) H.S.Low",Accepted,,H,WCSP,215275,790071-1,"in Fl. Hainan.","3: 575","","1974",
kew-215276,A,Sapotaceae,,Xantolis,,"malaccensis",,"","(C.B.Clarke) Baehni",Synonym,,H,WCSP,215276,790072-1,"Boissiera","11: 23","","1965",kew-164253
kew-215277,A,Sapotaceae,,Xantolis,,"maritima",,"","(Pierre ex Dubard) P.Royen",Accepted,,H,WCSP,215277,790073-1,"Blumea","8: 222","","1957",
kew-215278,A,Sapotaceae,,Xantolis,,"mindanaensis",,"","(H.J.Lam) Baehni",Synonym,,H,WCSP,215278,790074-1,"Boissiera","11: 23","","1965",kew-156905
kew-215279,A,Sapotaceae,,Xantolis,,"myrsinoides",,"","(A.Cunn. ex Benth.) Baehni",Synonym,,H,WCSP,215279,790075-1,"Boissiera","11: 23","","1965",kew-156908
kew-215280,A,Sapotaceae,,Xantolis,,"nitida",,"","(Blume) Baehni",Synonym,,H,WCSP,215280,790076-1,"Boissiera","11: 23","","1965",kew-156829
