ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-4468422,A,Salicaceae,,Xylosma,,"acunae",,"","Borhidi & O.Muñiz",Unresolved,,L,WCSP (in review),,269875-2,"Ci. Biol. Acad. Ci. Cuba","1: 144","","1977",
tro-13200915,A,Salicaceae,,Xylosma,,"albida",,"","Lundell",Synonym,,M,TRO,13200915,269876-2,"Wrightia","4(4): 141","141","1970",kew-4467352
kew-4468459,A,Salicaceae,,Xylosma,,"amara",,"","Koord.",Unresolved,,L,WCSP (in review),,366032-1,"Proc. Sect. Sci. Kon. Akad. Wetensch. Amsterdam","12: 118","","1909",kew-4813222
tro-13200275,A,Salicaceae,,Xylosma,,"anisophylla",,"","Standl.",Synonym,,M,TRO,13200275,269877-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","11(4): 135–136","135","1932",kew-4468398
tro-50171688,A,Salicaceae,,Xylosma,,"apactis",,"","Koidz.",Synonym,,L,TRO,50171688,366034-1,"Bot. Mag. (Tokyo)","39: 316","316","1925",kew-49673
tro-50146444,A,Salicaceae,,Xylosma,,"aquifolia",,"","Sprague",Synonym,,M,TRO,50146444,366035-1,"Bull. Misc. Inform. Kew","1914: 151","151","1914",kew-4387688
kew-4468455,A,Salicaceae,,Xylosma,,"archboldiana",,"","A.C.Sm.",Unresolved,,L,WCSP (in review),,,"Sargentia","1: 61","","1942",
tro-13200470,A,Salicaceae,,Xylosma,,"armata",,"","J.F. Macbr.",Synonym,,M,TRO,13200470,269878-2,"Candollea","5: 391","391","1934",tro-13200467
tro-50337732,A,Salicaceae,,Xylosma,,"arnoldii",,"","Monach.",Synonym,,M,TRO,50337732,269879-2,"Caribbean Forest.","8: 237","237","1947",kew-4468398
kew-4468452,A,Salicaceae,,Xylosma,,"austrocaledonica",,"","(Schltr.) Sleumer",Unresolved,,L,WCSP (in review),,366039-1,"Notizbl. Bot. Gart. Berlin-Dahlem","14: 289","","1938",
tro-50150752,A,Salicaceae,,Xylosma,,"avilae",,"","Sleumer",Accepted,,M,TRO,50150752,269880-2,"Fl. Neotrop.","22: 174","174","1980",
tro-50150727,A,Salicaceae,,Xylosma,,"bahamensis",,"","(Britton) Standl.",Accepted,,M,TRO,50150727,269881-2,"Trop. Woods","34: 41","41","1933",
