ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50124318,A,Poaceae,,Yushania,,"actinoseta",,"","W.T. Lin & Z.M. Wu",Synonym,,M,TRO,50124318,,"J. South China Agr. Univ.","16(3): 49–50","49","1995",kew-450227
kew-450217,A,Poaceae,,Yushania,,"acuminata",,"","(Munro) McClure",Synonym,,H,WCSP,450217,270456-2,"Smithsonian Contr. Bot.","9: 119","","1973",kew-426912
kew-450995,A,Poaceae,,Yushania,,"addingtonii",,"","Demoly",Accepted,,H,WCSP,450995,77078441-1,"Acta Bot. Gallica","153: 335","","2006",
kew-450218,A,Poaceae,,Yushania,,"adpressa",,"","(T.P.Yi) Demoly",Synonym,,H,WCSP,450218,77067120-1,"Bambou Bull. A. E. B., Sect. France","46: 7","","2005",kew-414146
kew-450219,A,Poaceae,,Yushania,,"ailuropodina",,"","T.P.Yi",Accepted,,H,WCSP,450219,990818-1,"J. Bamboo Res.","15(3): 6","","1996",
kew-450220,A,Poaceae,,Yushania,,"alpina",,"","(K.Schum.) W.C.Lin",Accepted,,H,WCSP,450220,426778-1,"Bull. Taiwan Forest. Res. Inst.","248: 14","","1974",
kew-450221,A,Poaceae,,Yushania,,"ambositrensis",,"","(A.Camus) Ohrnb.",Synonym,,H,WCSP,450221,999649-1,"Bamboos World Intro.","3: 14","","1996",kew-450270
kew-450222,A,Poaceae,,Yushania,,"anceps",,"","(Mitford) W.C.Lin",Accepted,,H,WCSP,450222,426779-1,"Bull. Taiwan Forest. Res. Inst.","248: 9","","1974",
kew-450223,A,Poaceae,,Yushania,,"andropogonoides",,"","(Hand.-Mazz.) T.P.Yi",Accepted,,H,WCSP,450223,942478-1,"J. Bamboo Res.","5(1): 66","","1986",
kew-451670,A,Poaceae,,Yushania,,"angustifolia",,"","T.P.Yi & J.Y.Shi",Accepted,,H,WCSP,451670,77087434-1,"Bull. Bot. Res., Harbin","27: 645","","2007",
kew-450224,A,Poaceae,,Yushania,,"auctiaurita",,"","T.P.Yi",Accepted,,H,WCSP,450224,959212-1,"Acta Bot. Yunnan.","13: 145","","1991",
kew-450225,A,Poaceae,,Yushania,,"aztecorum",,"","McClure & E.W.Sm.",Synonym,,H,WCSP,450225,270256-2,"Smithsonian Contr. Bot.","9: 116","","1973",kew-426914
kew-450226,A,Poaceae,,Yushania,,"baishanzuensis",,"","Z.P.Wang & G.H.Ye",Accepted,,H,WCSP,450226,957806-1,"J. Nanjing Univ., Nat. Sci. Ed.","1983(3): 494","","1983",
kew-450227,A,Poaceae,,Yushania,,"basihirsuta",,"","(McClure) Z.P.Wang & G.H.Ye",Accepted,,H,WCSP,450227,961850-1,"J. Nanjing Univ., Nat. Sci. Ed.","1981(1): 92","","1981",
kew-450228,A,Poaceae,,Yushania,,"baviensis",,"","(Balansa) J.J.N.Campb. ex Ohrnb.",Synonym,,H,WCSP,450228,999650-1,"Bamboos World Intro.","3: 14","","1996",kew-456862
kew-450229,A,Poaceae,,Yushania,,"bojieiana",,"","T.P.Yi",Accepted,,H,WCSP,450229,929443-1,"J. Bamboo Res.","5(1): 8","","1986",
kew-450230,A,Poaceae,,Yushania,,"boliana",,"","Demoly",Unresolved,,L,WCSP,450230,1020072-1,"Bambou Bull. A. E. B., Sect. France","35: 3","","2000",
kew-450231,A,Poaceae,,Yushania,,"brevipaniculata",,"","(Hand.-Mazz.) T.P.Yi",Accepted,,H,WCSP,450231,942476-1,"J. Bamboo Res.","5(1): 44","","1986",
kew-450232,A,Poaceae,,Yushania,,"brevis",,"","T.P.Yi",Accepted,,H,WCSP,450232,929444-1,"J. Bamboo Res.","5(1): 11","","1986",
kew-450233,A,Poaceae,,Yushania,,"burmanica",,"","T.P.Yi",Accepted,,H,WCSP,450233,982876-1,"J. Bamboo Res.","14(2): 1","","1995",
kew-450234,A,Poaceae,,Yushania,,"canoviridis",,"","G.H.Ye & Z.P.Wang",Accepted,,H,WCSP,450234,938005-1,"Acta Phytotax. Sin.","27: 228","","1989",
kew-450235,A,Poaceae,,Yushania,,"cartilaginea",,"","T.H.Wen",Accepted,,H,WCSP,450235,905549-1,"J. Bamboo Res.","3(2): 28","","1984",
kew-450236,A,Poaceae,,Yushania,,"cava",,"","T.P.Yi",Accepted,,H,WCSP,450236,907293-1,"J. Bamboo Res.","4(2): 33","","1985",
kew-450237,A,Poaceae,,Yushania,,"chingii",,"","T.P.Yi",Accepted,,H,WCSP,450237,929458-1,"J. Bamboo Res.","5(1): 45","","1986",
kew-450238,A,Poaceae,,Yushania,,"chungii",,"","(Keng) Z.P.Wang & G.H.Ye",Synonym,,H,WCSP,450238,961851-1,"J. Nanjing Univ., Nat. Sci. Ed.","1981(1): 93","","1981",kew-450231
kew-450239,A,Poaceae,,Yushania,,"collina",,"","T.P.Yi",Accepted,,H,WCSP,450239,929445-1,"J. Bamboo Res.","5(1): 13","","1986",
kew-450240,A,Poaceae,,Yushania,,"communis",,"","(T.P.Yi) Demoly",Synonym,,H,WCSP,450240,77067126-1,"Bambou Bull. A. E. B., Sect. France","46: 7","","2005",kew-414165
kew-450241,A,Poaceae,,Yushania,,"complanata",,"","T.P.Yi",Accepted,,H,WCSP,450241,929446-1,"J. Bamboo Res.","5(1): 15","","1986",
kew-450242,A,Poaceae,,Yushania,,"confusa",,"","(McClure) Z.P.Wang & G.H.Ye",Accepted,,H,WCSP,450242,961849-1,"J. Nanjing Univ., Nat. Sci. Ed.","1981(1): 92","","1981",
kew-450243,A,Poaceae,,Yushania,,"contracta",,"","(T.P.Yi) Demoly",Synonym,,H,WCSP,450243,77067127-1,"Bambou Bull. A. E. B., Sect. France","46: 7","","2005",kew-414170
kew-450244,A,Poaceae,,Yushania,,"contracta",f.,"evacuata","(T.P.Yi) Demoly",Synonym,,L,WCSP,450244,77067128-1,"Bambou Bull. A. E. B., Sect. France","46: 7","","2005",kew-414170
kew-450245,A,Poaceae,,Yushania,,"crassicollis",,"","T.P.Yi",Accepted,,H,WCSP,450245,935616-1,"Bull. Bot. Res., Harbin","8(4): 68","","1988",
kew-450246,A,Poaceae,,Yushania,,"crispata",,"","T.P.Yi",Accepted,,H,WCSP,450246,958802-1,"J. Bamboo Res.","10(1): 26","","1991",
kew-450247,A,Poaceae,,Yushania,,"dafengdingensis",,"","T.P.Yi",Accepted,,H,WCSP,450247,990819-1,"J. Bamboo Res.","15(3): 9","","1996",
kew-450248,A,Poaceae,,Yushania,,"densifolia",,"","(Munro) R.B.Majumdar",Accepted,,H,WCSP,450248,962132-1,"Fl. Ind. Enumerat. - Monocot.","282","","1989",
tro-50315883,A,Poaceae,,Yushania,,"donganensis",,"","(B.M. Yang) T.P. Yi",Accepted,,M,TRO,50315883,,"J. Sichuan For. Sci. & Techn.","28(3): 18","18","2007",
kew-450998,A,Poaceae,,Yushania,,"dura",,"","(T.P.Yi) Demoly",Synonym,,H,WCSP,450998,77079287-1,"Bambou Bull. A. E. B., Sect. France","48: 12","","2006",kew-414183
kew-450249,A,Poaceae,,Yushania,,"edulis",,"","(Hsueh & T.P.Yi) Demoly",Synonym,,H,WCSP,450249,77067121-1,"Bambou Bull. A. E. B., Sect. France","46: 7","","2005",kew-414184
